ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
MF,GO:0005096,GTPase activator activity,44/1377,257/20660,0.171206226,2.568715049,6.762354394,6.86E-09,5.53E-06,4.96E-06,stxbp5b/stxbp5a/rap1gap2b/arhgap32b/si:ch211-266k8.4/tbc1d5/tbc1d4/arhgap39/prex2/arhgap12b/stard13b/agfg1a/sipa1l3/arhgap44a/depdc5/arhgap17a/tbc1d1/garnl3/myo9aa/rasa1a/arhgap21a/arhgap21b/tsc2/rap1gapa/rgs7a/agfg2/si:dkey-33c9.6/ralgapa2/arhgap15/sgsm1a/syngap1b/acap3b/chn1/ophn1/arhgap10/arhgap27l/tbcd/agap2/elmod1/srgap1a/sipa1l2/dock3/dab2ipb/prex1,44
MF,GO:0008047,enzyme activator activity,61/1377,435/20660,0.140229885,2.103957462,6.21851978,2.73E-08,1.10E-05,9.88E-06,stxbp5b/ppp2r5cb/stxbp5a/rap1gap2b/arhgap32b/si:ch211-266k8.4/tbc1d5/tbc1d4/ccnk/arhgap39/prex2/arhgap12b/stard13b/agfg1a/sipa1l3/arhgap44a/sh3pxd2aa/depdc5/gprc5bb/parp6b/arhgap17a/tbc1d1/garnl3/myo9aa/rasa1a/wdr4/arhgap21a/arhgap21b/tsc2/camk1b/rap1gapa/rgs7a/ccnt2a/agfg2/si:dkey-33c9.6/ralgapa2/arhgap15/nrg1/sgsm1a/syngap1b/naa25/acap3b/chn1/ophn1/psme4b/arhgap10/arhgap27l/tbcd/ncf2/tiprl/adrm1/agap2/elmod1/srgap1a/rictorb/wrnip1/sipa1l2/si:dkey-220o5.5/dock3/dab2ipb/prex1,61
MF,GO:0015276,ligand-gated monoatomic ion channel activity,38/1377,228/20660,0.166666667,2.50060518,6.088534093,1.48E-07,2.99E-05,2.68E-05,ryr2b/tmem63c/chrna11/gabrg2/gabrg1/gria4b/ryr3/kcnh2a/gria1a/grik2/kcnma1a/kcnh7/mcoln1b/ttyh3b/grin2aa/ttyh2/grin3ba/grin1b/gria1b/gria3b/tmem63ba/gabrb4/kcnn2/ttyh1/grik3/grin2bb/gabrd/asic4a/gria2b/ttyh2l/glrbb/kcnt1b/asic1c/chrnb5a/itpr1b/grid1a/asic2/si:ch211-251b21.1,38
MF,GO:0022834,ligand-gated channel activity,38/1377,228/20660,0.166666667,2.50060518,6.088534093,1.48E-07,2.99E-05,2.68E-05,ryr2b/tmem63c/chrna11/gabrg2/gabrg1/gria4b/ryr3/kcnh2a/gria1a/grik2/kcnma1a/kcnh7/mcoln1b/ttyh3b/grin2aa/ttyh2/grin3ba/grin1b/gria1b/gria3b/tmem63ba/gabrb4/kcnn2/ttyh1/grik3/grin2bb/gabrd/asic4a/gria2b/ttyh2l/glrbb/kcnt1b/asic1c/chrnb5a/itpr1b/grid1a/asic2/si:ch211-251b21.1,38
CC,GO:0097060,synaptic membrane,42/1440,280/21740,0.15,2.264583333,5.672370881,5.65E-07,0.00016433,0.000144591,shank2b/grid2ipb/gphna/dmd/chrna11/shisa7b/dbn1/si:ch211-200p22.4/gria4b/gria1a/grik2/adam23a/kcnma1a/lrrc7/adgrl1a/picalma/grin2aa/rims1a/dlg1b/grin3ba/grin1b/gria1b/gria3b/shank3b/clcn2b/snap91a/drd2a/grik3/grin2bb/itsn1/gria2b/glrbb/nlgn3a/dlg3/dbnlb/gpr158b/snap91b/chrnb5a/grid1a/cacng2a/si:ch211-251b21.1/clcn2a,42
MF,GO:0022836,gated channel activity,55/1377,413/20660,0.133171913,1.998062251,5.475031617,7.12E-07,0.000114772,0.000102976,cacnb4b/ryr2b/tmem63c/hcn4/chrna11/gabrg2/gabrg1/gria4b/ryr3/kcnh2a/tmem266/gria1a/grik2/cacna1aa/kcnma1a/kcnh7/mcoln1b/kcnk6/zgc:56235/ttyh3b/cacna1da/grin2aa/ttyh2/grin3ba/grin1b/gria1b/gria3b/tmem63ba/kcnq5a/clcn2b/gabrb4/cacna1ha/kcnn2/ttyh1/grik3/grin2bb/gabrd/asic4a/gria2b/ttyh2l/glrbb/cacna1ab/kcnt1b/cacna1ia/tpcn1/asic1c/cacna1eb/snap25a/chrnb5a/itpr1b/grid1a/cacng2a/asic2/si:ch211-251b21.1/clcn2a,55
CC,GO:0098794,postsynapse,52/1440,384/21740,0.135416667,2.044415509,5.499611061,7.19E-07,0.00016433,0.000144591,camk2g1/shank2b/grid2ipb/gphna/ptk2bb/dmd/chrna11/shisa7b/dbn1/gabrg2/gabrg1/gria4b/ppp1r9ala/ctnnd2a/farp1/arhgap44a/gria1a/grik2/kcnma1a/camk2b1/lrrc7/apba2b/tanc2a/grin2aa/ctnnd2b/si:dkey-33c9.6/dlg1b/grin3ba/grin1b/gria1b/gria3b/clta/shank3b/clcn2b/adgrb1a/grik3/grin2bb/slc8a1b/camk2g2/gria2b/rgs7bpa/glrbb/nlgn3a/dlg3/dbnlb/gpr158b/chrnb5a/camk2d2/grid1a/cacng2a/si:ch211-251b21.1/clcn2a,52
MF,GO:0004169,dolichyl-phosphate-mannose-protein mannosyltransferase activity,7/1377,11/20660,0.636363636,9.547765234,7.577635892,1.50E-06,0.000201098,0.000180429,pomt2/tmtc2a/tmtc4/tmtc1/dpm1/pomt1/tmtc2a,7
CC,GO:0014069,postsynaptic density,28/1440,162/21740,0.172839506,2.609396433,5.476056947,2.69E-06,0.000262541,0.000231004,camk2g1/shank2b/shisa7b/dbn1/gria4b/ppp1r9ala/ctnnd2a/arhgap44a/gria1a/camk2b1/lrrc7/grin2aa/ctnnd2b/dlg1b/grin3ba/gria1b/gria3b/shank3b/adgrb1a/grin2bb/camk2g2/gria2b/dlg3/dbnlb/camk2d2/grid1a/cacng2a/si:ch211-251b21.1,28
CC,GO:0099572,postsynaptic specialization,30/1440,181/21740,0.165745856,2.502302026,5.405492168,2.94E-06,0.000262541,0.000231004,camk2g1/shank2b/gphna/shisa7b/dbn1/gria4b/ppp1r9ala/ctnnd2a/arhgap44a/gria1a/camk2b1/lrrc7/grin2aa/ctnnd2b/dlg1b/grin3ba/gria1b/gria3b/shank3b/adgrb1a/grin2bb/camk2g2/gria2b/nlgn3a/dlg3/dbnlb/camk2d2/grid1a/cacng2a/si:ch211-251b21.1,30
