ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0044282,small molecule catabolic process,30/797,269/21022,0.111524164,2.941607235,6.362219674,1.37E-07,0.000332777,0.000320945,zgc:85777/zgc:172295/uox/npl/acox3/hal/fah/decr1/gcshb/lpin1a/aldh1l1/tkfc/acadm/ech1/cdab/hoga1/phyh/sardh/hagh/galm/haao/adh8a/abhd3/tat/abcd3a/hpda/abhd2a/acaa1/miox/hsd17b4,30
BP,GO:0072329,monocarboxylic acid catabolic process,14/797,82/21022,0.170731707,4.503289776,6.309663968,2.27E-06,0.002765192,0.002666873,zgc:85777/acox3/fah/decr1/lpin1a/acadm/ech1/hoga1/phyh/abhd3/abcd3a/abhd2a/acaa1/hsd17b4,14
BP,GO:0032787,monocarboxylic acid metabolic process,34/797,389/21022,0.087403599,2.305393297,5.158774822,5.94E-06,0.004817516,0.004646225,zgc:85777/pdk4/acot20/acbd5a/hpgd/acox3/hal/fah/decr1/lpin1a/hacd3/pparaa/acadm/ech1/agxtb/hoga1/phyh/acot11b/hagh/ppardb/acsf3/cyp7b1/pdk2a/haao/abhd3/pgk1/abcd3a/abhd2a/adpgk/acaa1/eno1a/park7/hsd17b4/acot11a,34
BP,GO:0016054,organic acid catabolic process,22/797,203/21022,0.108374384,2.858527359,5.282002796,9.94E-06,0.004842646,0.004670461,zgc:85777/npl/acox3/hal/fah/decr1/gcshb/lpin1a/aldh1l1/acadm/ech1/hoga1/phyh/sardh/haao/abhd3/tat/abcd3a/hpda/abhd2a/acaa1/hsd17b4,22
BP,GO:0046395,carboxylic acid catabolic process,22/797,203/21022,0.108374384,2.858527359,5.282002796,9.94E-06,0.004842646,0.004670461,zgc:85777/npl/acox3/hal/fah/decr1/gcshb/lpin1a/aldh1l1/acadm/ech1/hoga1/phyh/sardh/haao/abhd3/tat/abcd3a/hpda/abhd2a/acaa1/hsd17b4,22
BP,GO:0009062,fatty acid catabolic process,12/797,73/21022,0.164383562,4.335848473,5.667580253,1.78E-05,0.007228144,0.00697114,zgc:85777/acox3/decr1/lpin1a/acadm/ech1/phyh/abhd3/abcd3a/abhd2a/acaa1/hsd17b4,12
BP,GO:0035459,vesicle cargo loading,5/797,12/21022,0.416666667,10.99017148,6.871667249,4.91E-05,0.017063223,0.016456523,sec24c/sec31a/sec23a/mia2/sec24a,5
BP,GO:0006631,fatty acid metabolic process,23/797,249/21022,0.092369478,2.436375363,4.526156769,8.08E-05,0.024607906,0.023732946,zgc:85777/pdk4/acot20/acbd5a/hpgd/acox3/decr1/lpin1a/hacd3/pparaa/acadm/ech1/phyh/acot11b/ppardb/acsf3/pdk2a/abhd3/abcd3a/abhd2a/acaa1/hsd17b4/acot11a,23
BP,GO:0019395,fatty acid oxidation,9/797,57/21022,0.157894737,4.164696559,4.749344261,0.000271835,0.071741212,0.069190378,zgc:85777/acox3/decr1/acadm/ech1/phyh/abcd3a/acaa1/hsd17b4,9
BP,GO:0060560,developmental growth involved in morphogenesis,19/797,204/21022,0.093137255,2.456626565,4.150069688,0.000294625,0.071741212,0.069190378,hnrnpr/dbn1/ctnnd1/katna1/plxnb1b/ppp1r12a/gna13a/nrxn2a/pard3ab/stim1a/kif1b/ap2a1/mycbp2/stat3/fus/ext2/dbnlb/sec14l8/fn1a,19
