ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,,,,,,,,,,,,,,,,,,,,,
BP,GO:0044282,small molecule catabolic process,25/653,269/21022,0.092936803,2.991910371,5.887133881,1.19E-06,0.002710975,0.002648843,ldhd/zgc:85777/uox/acox3/hal/decr1/gcshb/uroc1/crot/ech1/cdab/hoga1/gldc/phyh/sardh/hagh/kmo/galm/haao/oat/tat/zgc:172295/cdo1/cyp24a1/hao1,25,,,,,,,,,,,,,,,,,,,,,
BP,GO:0032787,monocarboxylic acid metabolic process,30/653,389/21022,0.077120823,2.482747218,5.285172323,5.13E-06,0.005861882,0.005727537,ldhd/zgc:85777/pdk4/acbd5a/pm20d1.2/hpgd/acox3/hal/decr1/acaca/uroc1/acss2/crot/adpgk/ech1/agxtb/hoga1/phyh/acot11b/hagh/ppardb/kmo/cyp7b1/pdk2a/peds1/haao/pgk1/hao1/acsl1a/hyi,30,,,,,,,,,,,,,,,,,,,,,
BP,GO:0016054,organic acid catabolic process,19/653,203/21022,0.093596059,3.013133774,5.160468651,2.02E-05,0.011540819,0.011276323,ldhd/zgc:85777/acox3/hal/decr1/gcshb/uroc1/crot/ech1/hoga1/gldc/phyh/sardh/kmo/haao/oat/tat/cdo1/hao1,19,,,,,,,,,,,,,,,,,,,,,
BP,GO:0046395,carboxylic acid catabolic process,19/653,203/21022,0.093596059,3.013133774,5.160468651,2.02E-05,0.011540819,0.011276323,ldhd/zgc:85777/acox3/hal/decr1/gcshb/uroc1/crot/ech1/hoga1/gldc/phyh/sardh/kmo/haao/oat/tat/cdo1/hao1,19,,,,,,,,,,,,,,,,,,,,,
BP,GO:0070646,protein modification by small protein removal,11/653,103/21022,0.106796117,3.438082636,4.441145446,0.000357611,0.163428311,0.159682804,otub1a/senp2/usp24/usp38/usp10/senp7b/usp45/usp20/usp43b/usp25/usp33,11,,,,,,,,,,,,,,,,,,,,,
BP,GO:0048532,anatomical structure arrangement,4/653,13/21022,0.307692308,9.905524797,5.750782275,0.000527267,0.170452799,0.166546303,camk2g1/pi4kb/exosc8/camk2g2,4,,,,,,,,,,,,,,,,,,,,,
BP,GO:0060560,developmental growth involved in morphogenesis,16/653,204/21022,0.078431373,2.524937693,3.918736876,0.000665492,0.170452799,0.166546303,cbsb/ctnnd1/myo10l1/katna1/plxnb1b/ppp1r12a/traf4a/nrxn2a/pard3ab/stim1a/kif1b/mycbp2/stat3/fus/ext2/dbnlb,16,,,,,,,,,,,,,,,,,,,,,
BP,GO:0072329,monocarboxylic acid catabolic process,9/653,82/21022,0.109756098,3.533373174,4.115439084,0.000990763,0.170452799,0.166546303,ldhd/zgc:85777/acox3/decr1/crot/ech1/hoga1/phyh/hao1,9,,,,,,,,,,,,,,,,,,,,,
BP,GO:0044272,sulfur compound biosynthetic process,12/653,135/21022,0.088888889,2.861596052,3.885194121,0.001042619,0.170452799,0.166546303,cbsb/pdk4/tpk1/acaca/acss2/csgalnact1a/mtrr/ndst2a/pdk2a/ext2/cdo1/acsl1a,12,,,,,,,,,,,,,,,,,,,,,
BP,GO:0009069,serine family amino acid metabolic process,5/653,26/21022,0.192307692,6.190952998,4.742025785,0.001089472,0.170452799,0.166546303,cbsb/gcshb/agxtb/gldc/cdo1,5,,,,,,,,,,,,,,,,,,,,,
BP,GO:0009743,response to carbohydrate,5/653,26/21022,0.192307692,6.190952998,4.742025785,0.001089472,0.170452799,0.166546303,abcc8/hif1ab/gys2/khk/slc39a14,5,,,,,,,,,,,,,,,,,,,,,
BP,GO:0009746,response to hexose,5/653,26/21022,0.192307692,6.190952998,4.742025785,0.001089472,0.170452799,0.166546303,abcc8/hif1ab/gys2/khk/slc39a14,5,,,,,,,,,,,,,,,,,,,,,
BP,GO:0009749,response to glucose,5/653,26/21022,0.192307692,6.190952998,4.742025785,0.001089472,0.170452799,0.166546303,abcc8/hif1ab/gys2/khk/slc39a14,5,,,,,,,,,,,,,,,,,,,,,
BP,GO:0034284,response to monosaccharide,5/653,26/21022,0.192307692,6.190952998,4.742025785,0.001089472,0.170452799,0.166546303,abcc8/hif1ab/gys2/khk/slc39a14,5,,,,,,,,,,,,,,,,,,,,,
BP,GO:0048675,axon extension,10/653,101/21022,0.099009901,3.187421346,3.945484446,0.001184121,0.170452799,0.166546303,myo10l1/katna1/plxnb1b/nrxn2a/stim1a/kif1b/mycbp2/fus/ext2/dbnlb,10,,,,,,,,,,,,,,,,,,,,,
BP,GO:0051668,localization within membrane,24/653,389/21022,0.061696658,1.986197774,3.515248667,0.001193543,0.170452799,0.166546303,camk2g1/rab11fip3/stxbp5b/gphna/snx17/hycc2/c2cd5/scrib/rab41/stx1b/ank2b/zdhhc14/pacs2/camk2d1/mffa/pacs1a/efr3a/camk2g2/snx30/arl5a/phaf1/dennd1a/sec61b/tm9sf4,24,,,,,,,,,,,,,,,,,,,,,
BP,GO:0016579,protein deubiquitination,9/653,86/21022,0.104651163,3.369030236,3.941589544,0.001393618,0.18731867,0.183025636,otub1a/usp24/usp38/usp10/usp45/usp20/usp43b/usp25/usp33,9,,,,,,,,,,,,,,,,,,,,,
BP,GO:1990778,protein localization to cell periphery,12/653,142/21022,0.084507042,2.720531458,3.683324361,0.001613599,0.20483745,0.200142914,camk2g1/hycc2/c2cd5/scrib/stx1b/ank2b/pacs2/camk2d1/pacs1a/efr3a/camk2g2/phaf1,12,,,,,,,,,,,,,,,,,,,,,
BP,GO:1901606,alpha-amino acid catabolic process,10/653,106/21022,0.094339623,3.037071282,3.764595034,0.001710557,0.205716996,0.201002302,hal/gcshb/uroc1/gldc/sardh/kmo/haao/oat/tat/cdo1,10,,,,,,,,,,,,,,,,,,,,,
BP,GO:0019395,fatty acid oxidation,7/653,57/21022,0.122807018,3.953520862,3.997868085,0.001856247,0.212076275,0.207215837,zgc:85777/acox3/decr1/crot/ech1/phyh/hao1,7,,,,,,,,,,,,,,,,,,,,,
BP,GO:0006631,fatty acid metabolic process,17/653,249/21022,0.068273092,2.197912631,3.40465907,0.002103699,0.228902508,0.223656441,zgc:85777/pdk4/acbd5a/pm20d1.2/hpgd/acox3/decr1/acaca/crot/ech1/phyh/acot11b/ppardb/pdk2a/peds1/hao1/acsl1a,17,,,,,,,,,,,,,,,,,,,,,
BP,GO:1905475,regulation of protein localization to membrane,5/653,31/21022,0.161290323,5.192412192,4.182410734,0.002476406,0.239858522,0.234361361,camk2g1/c2cd5/camk2d1/mffa/camk2g2,5,,,,,,,,,,,,,,,,,,,,,
BP,GO:0072659,protein localization to plasma membrane,11/653,131/21022,0.083969466,2.703225279,3.501277638,0.002613337,0.239858522,0.234361361,camk2g1/hycc2/c2cd5/scrib/ank2b/pacs2/camk2d1/pacs1a/efr3a/camk2g2/phaf1,11,,,,,,,,,,,,,,,,,,,,,
BP,GO:0048588,developmental cell growth,11/653,132/21022,0.083333333,2.682746299,3.472440496,0.002773125,0.239858522,0.234361361,myo10l1/katna1/plxnb1b/nrxn2a/pard3ab/stim1a/kif1b/mycbp2/fus/ext2/dbnlb,11,,,,,,,,,,,,,,,,,,,,,
BP,GO:0046486,glycerolipid metabolic process,18/653,278/21022,0.064748201,2.084435973,3.258955906,0.00281167,0.239858522,0.234361361,pi4kb/pgap2/synj1/hycc2/pikfyve/pip4k2aa/impa1/cetp/pnpla6/gpat3/etnk1/slc30a5/mogat2/crls1/inpp5l/dgkh/ocrl/zgc:172295,18,,,,,,,,,,,,,,,,,,,,,
BP,GO:0042762,regulation of sulfur metabolic process,3/653,10/21022,0.3,9.657886677,4.903166302,0.003040612,0.239858522,0.234361361,cbsb/pdk4/pdk2a,3,,,,,,,,,,,,,,,,,,,,,
BP,GO:0090110,COPII-coated vesicle cargo loading,3/653,10/21022,0.3,9.657886677,4.903166302,0.003040612,0.239858522,0.234361361,sec24c/sec23a/sec24a,3,,,,,,,,,,,,,,,,,,,,,
BP,GO:1990138,neuron projection extension,10/653,115/21022,0.086956522,2.799387443,3.464385152,0.003125536,0.239858522,0.234361361,myo10l1/katna1/plxnb1b/nrxn2a/stim1a/kif1b/mycbp2/fus/ext2/dbnlb,10,,,,,,,,,,,,,,,,,,,,,
BP,GO:0006897,endocytosis,22/653,373/21022,0.058981233,1.898780222,3.135861215,0.003248086,0.239858522,0.234361361,reps1/met/synj1/rubcn/pikfyve/si:dkey-32e23.4/cltcb/hip1/sh3gl3a/picalma/csnk1g1/ywhaba/havcr1/clta/pacsin2/usp20/itsn1/elmo2/ocrl/gak/dennd1a/usp33,22,,,,,,,,,,,,,,,,,,,,,
BP,GO:0009063,amino acid catabolic process,10/653,116/21022,0.086206897,2.775254792,3.432832695,0.003327808,0.239858522,0.234361361,hal/gcshb/uroc1/gldc/sardh/kmo/haao/oat/tat/cdo1,10,,,,,,,,,,,,,,,,,,,,,
BP,GO:0035268,protein mannosylation,4/653,21/21022,0.19047619,6.131991541,4.212830776,0.003622773,0.239858522,0.234361361,pomt2/large2/tmtc4/pomt1,4,,,,,,,,,,,,,,,,,,,,,
BP,GO:0035269,protein O-linked mannosylation,4/653,21/21022,0.19047619,6.131991541,4.212830776,0.003622773,0.239858522,0.234361361,pomt2/large2/tmtc4/pomt1,4,,,,,,,,,,,,,,,,,,,,,
BP,GO:0090114,COPII-coated vesicle budding,4/653,21/21022,0.19047619,6.131991541,4.212830776,0.003622773,0.239858522,0.234361361,sec24c/sec16b/sec23a/sec24a,4,,,,,,,,,,,,,,,,,,,,,
BP,GO:0097502,mannosylation,4/653,21/21022,0.19047619,6.131991541,4.212830776,0.003622773,0.239858522,0.234361361,pomt2/large2/tmtc4/pomt1,4,,,,,,,,,,,,,,,,,,,,,
BP,GO:0072657,protein localization to membrane,19/653,308/21022,0.061688312,1.985929079,3.12095474,0.003714123,0.239858522,0.234361361,camk2g1/gphna/hycc2/c2cd5/scrib/rab41/stx1b/ank2b/zdhhc14/pacs2/camk2d1/mffa/pacs1a/efr3a/camk2g2/arl5a/phaf1/sec61b/tm9sf4,19,,,,,,,,,,,,,,,,,,,,,
BP,GO:0090407,organophosphate biosynthetic process,25/653,449/21022,0.055679287,1.792480823,3.039215826,0.003778953,0.239858522,0.234361361,gphna/pdk4/pi4kb/pgap2/hycc2/tpk1/pip4k2aa/impa1/gnpnat1/prpsap2/gpat3/acaca/acss2/etnk1/ampd2b/slc30a5/nadkb/impdh1b/chpt1/kmo/crls1/pdk2a/haao/zgc:172295/acsl1a,25,,,,,,,,,,,,,,,,,,,,,
BP,GO:0034440,lipid oxidation,7/653,65/21022,0.107692308,3.466933679,3.566547549,0.003951403,0.244025824,0.238433156,zgc:85777/acox3/decr1/crot/ech1/phyh/hao1,7,,,,,,,,,,,,,,,,,,,,,
BP,GO:0009074,aromatic amino acid family catabolic process,5/653,35/21022,0.142857143,4.598993656,3.815384795,0.004273102,0.253133042,0.247331651,hal/uroc1/kmo/haao/tat,5,,,,,,,,,,,,,,,,,,,,,
BP,GO:0002098,tRNA wobble uridine modification,4/653,22/21022,0.181818182,5.853264653,4.077876699,0.004320433,0.253133042,0.247331651,alkbh8/urm1/elp1/elp6,4,,,,,,,,,,,,,,,,,,,,,
BP,GO:0006650,glycerophospholipid metabolic process,15/653,227/21022,0.066079295,2.127287814,3.057501659,0.005056701,0.276373545,0.270039521,pi4kb/pgap2/synj1/hycc2/pikfyve/pip4k2aa/impa1/cetp/pnpla6/gpat3/etnk1/slc30a5/crls1/inpp5l/ocrl,15,,,,,,,,,,,,,,,,,,,,,
BP,GO:0006544,glycine metabolic process,3/653,12/21022,0.25,8.048238897,4.372770006,0.005321854,0.276373545,0.270039521,gcshb/agxtb/gldc,3,,,,,,,,,,,,,,,,,,,,,
BP,GO:0035459,vesicle cargo loading,3/653,12/21022,0.25,8.048238897,4.372770006,0.005321854,0.276373545,0.270039521,sec24c/sec23a/sec24a,3,,,,,,,,,,,,,,,,,,,,,
BP,GO:0046037,GMP metabolic process,3/653,12/21022,0.25,8.048238897,4.372770006,0.005321854,0.276373545,0.270039521,impdh1b/nt5c2a/nt5c2b,3,,,,,,,,,,,,,,,,,,,,,
BP,GO:0097475,motor neuron migration,3/653,12/21022,0.25,8.048238897,4.372770006,0.005321854,0.276373545,0.270039521,scrib/rest/nhsl1b,3,,,,,,,,,,,,,,,,,,,,,
BP,GO:0170039,proteinogenic amino acid metabolic process,12/653,165/21022,0.072727273,2.341305861,3.097007781,0.005520769,0.280332363,0.273907609,cbsb/hal/gcshb/uroc1/agxtb/gldc/mtrr/kmo/haao/oat/tat/cdo1,12,,,,,,,,,,,,,,,,,,,,,
