ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
CC,GO:0005840,ribosome,37/1428,177/19331,0.209039548,2.829792369,6.906783274,6.31E-09,2.04E-06,1.84E-06,ptcd3/mrpl30/rpl5a/mrpl43/mrpl44/mrpl39/mrpl58/mrps21/mrpl22/mrpl33/mrps18b/mrps27/mrpl47/rps27.1/mrps35/mrpl37/mrps7/mrpl10/mrpl41/mrps9/mrpl52/rpl7l1/rpl19/mrpl34/mrpl17/mrps22/mrps24/rpl35/rps13/mrpl20/mrpl18/zgc:114188/mrps6/rps9/mrps26/rpl13a/rpl31,37
CC,GO:0098798,mitochondrial protein-containing complex,28/1428,113/19331,0.247787611,3.354329342,7.088746852,8.93E-09,2.04E-06,1.84E-06,mrpl43/timm50/chchd6a/mrpl44/mrpl58/mrpl22/mrpl47/mrps35/micos10/hadhab/smdt1b/mrps7/mrpl10/mrpl41/mrps9/mrpl52/afg3l2/mrpl34/tomm20a/grpel1/mrpl17/mrps22/mrps24/immp2l/timm22/tomm40/mrps6/mrps26,28
BP,GO:0022613,ribonucleoprotein complex biogenesis,53/1371,319/18773,0.166144201,2.275000057,6.446659105,1.39E-08,3.35E-05,3.16E-05,tsr1/nop10/mphosph10/rpl5a/rrp7a/ruvbl2/prmt7/bud23/mrpl44/sbds/ftsj3/znf593/tma16/srfbp1/pop7/snrpe/ptges3a/rps27.1/riok2/npm1a/rrp36/las1l/ddx49/riok1/exosc7/mrto4/mrps7/prpf31/isy1/rpl7l1/eif3eb/grwd1/snrpd3l/nop16/c1d/exosc9/snrpc/eif3c/ddx54/tbl3/mpv17l2/rpl35/nhp2/ngdn/sart1/utp6/mrm1/gemin5/mak16/yju2/clns1a/rps9/urb1,53
BP,GO:0006412,translation,69/1371,473/18773,0.145877378,1.997487983,6.167186984,2.47E-08,3.35E-05,3.16E-05,ptcd3/trim2a/abce1/mrpl30/mif4gdb/rpl5a/mrpl43/eif4e1c/hars/ssb/eif1ad/mrpl44/srp9/piwil2/eef2k/rida/ncbp2/gars1/mtrfr/mrpl58/mrps21/mrpl22/eif4a2/eif4ba/mrpl33/mrps18b/mrpl47/rps27.1/mrps35/nanos1/supt5h/eef1da/mrpl37/igf2bp2a/mrps7/tsfm/mrpl10/magoh/mrpl41/mars1/mrps9/mrpl52/eif3eb/rpl19/mrpl34/igf2bp1/rars1/coa3a/mrpl17/eif3c/mrps24/rpl35/rps13/ngdn/mrpl20/lrpprc/polr2g/gspt1l/mrpl18/eif2ak2/eef1b2/nars1/zgc:114188/mrps6/trim3b/rps9/rpl13a/rpl31/caprin1a,69
BP,GO:0032543,mitochondrial translation,15/1371,41/18773,0.365853659,5.009606661,7.213998415,8.59E-08,7.78E-05,7.35E-05,ptcd3/mrpl43/hars/mrpl44/gars1/mrpl58/mrps18b/mrpl47/mrps35/mrps7/tsfm/mrpl52/coa3a/mrps24/lrpprc,15
BP,GO:0042254,ribosome biogenesis,40/1371,226/18773,0.17699115,2.423526526,6.043066395,1.47E-07,9.96E-05,9.41E-05,tsr1/nop10/mphosph10/rpl5a/rrp7a/bud23/mrpl44/sbds/ftsj3/znf593/tma16/srfbp1/pop7/rps27.1/riok2/npm1a/rrp36/las1l/ddx49/riok1/exosc7/mrto4/mrps7/rpl7l1/grwd1/nop16/c1d/exosc9/ddx54/tbl3/mpv17l2/rpl35/nhp2/ngdn/sart1/utp6/mrm1/mak16/rps9/urb1,40
MF,GO:0003735,structural constituent of ribosome,31/1349,154/18430,0.201298701,2.750137187,6.129034867,2.07E-07,0.000163778,0.000158868,mrpl30/rpl5a/mrpl43/mrps21/mrpl22/mrpl33/mrps18b/mrpl47/rps27.1/mrps35/mrpl37/mrps7/mrpl10/mrpl41/mrps9/mrpl52/rpl7l1/rpl19/mrpl34/mrpl17/mrps22/mrps24/rpl35/rps13/mrpl20/mrpl18/zgc:114188/mrps6/rps9/rpl13a/rpl31,31
CC,GO:0000313,organellar ribosome,18/1428,62/19331,0.290322581,3.930130117,6.5263489,3.11E-07,3.55E-05,3.19E-05,mrpl43/mrpl44/mrpl58/mrpl22/mrpl47/mrps35/mrps7/mrpl10/mrpl41/mrps9/mrpl52/mrpl34/mrpl17/mrps22/mrps24/mrpl20/mrps6/mrps26,18
CC,GO:0005761,mitochondrial ribosome,18/1428,62/19331,0.290322581,3.930130117,6.5263489,3.11E-07,3.55E-05,3.19E-05,mrpl43/mrpl44/mrpl58/mrpl22/mrpl47/mrps35/mrps7/mrpl10/mrpl41/mrps9/mrpl52/mrpl34/mrpl17/mrps22/mrps24/mrpl20/mrps6/mrps26,18
CC,GO:0031966,mitochondrial membrane,59/1428,426/19331,0.138497653,1.874858629,5.156695215,2.13E-06,0.000179856,0.000161981,spata18/cox4i2/slc25a48/hccsb/timm50/nme3/slc25a25a/chchd6a/atpsckmt/zgc:112052/lpin1a/tmem14a/mgst1.2/ndufb10/cox8a/maip1/oxa1l/dhodh/coq10b/fundc1/uqcrq/uqcc6/cisd2/becn1/micos10/slc25a18/smdt1b/uqcr10/flvcr2b/cyc1/afg3l2/yme1l1a/adck1/slc25a19/mul2/tomm20a/grpel1/coa3a/uqcrb/samm50/tmem177/gdap1/mpv17l2/atp5mea/coq5/tomm22/zgc:56235/acad11/uqcrh/atp5f1d/hk2/immp2l/cox6a2/zgc:73226/timm22/tomm40/ndufa12/atp5meb/ndufc2,59
CC,GO:0005740,mitochondrial envelope,62/1428,457/19331,0.135667396,1.836545121,5.111314693,2.36E-06,0.000179856,0.000161981,spata18/cox4i2/slc25a48/hccsb/timm50/nme3/slc25a25a/chchd6a/atpsckmt/zgc:112052/lpin1a/tmem14a/ciapin1/triap1/mgst1.2/ndufb10/cox8a/maip1/oxa1l/dhodh/coq10b/fundc1/uqcrq/uqcc6/cisd2/becn1/micos10/slc25a18/smdt1b/uqcr10/flvcr2b/cyc1/afg3l2/yme1l1a/adck1/slc25a19/mul2/tomm20a/grpel1/coa3a/uqcrb/samm50/tmem177/gdap1/mpv17l2/atp5mea/coq5/tomm22/zgc:56235/acad11/coa7/uqcrh/atp5f1d/hk2/immp2l/cox6a2/zgc:73226/timm22/tomm40/ndufa12/atp5meb/ndufc2,62
CC,GO:0044391,ribosomal subunit,27/1428,141/19331,0.191489362,2.592213481,5.35908309,4.05E-06,0.000264467,0.000238182,mrpl30/rpl5a/mrpl43/mrpl44/mrpl58/mrpl22/mrpl47/rps27.1/mrps35/mrps7/mrpl10/mrpl41/mrps9/mrpl52/rpl7l1/rpl19/mrpl34/mrpl17/mrps22/mrps24/rpl35/rps13/mrps6/rps9/mrps26/rpl13a/rpl31,27
BP,GO:0006364,rRNA processing,29/1371,161/18773,0.180124224,2.466427461,5.245071576,5.13E-06,0.002586035,0.002444413,tsr1/nop10/mphosph10/rrp7a/bud23/mrpl44/ftsj3/srfbp1/pop7/riok2/rrp36/las1l/ddx49/riok1/exosc7/mrto4/rpl7l1/c1d/exosc9/ddx54/tbl3/rpl35/nhp2/ngdn/sart1/utp6/mrm1/mak16/urb1,29
