ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0008299,isoprenoid biosynthetic process,7/282,28/18773,0.25,16.6427305,10.2293605,1.45E-07,0.0002143,0.000201954,dhdds/hmgcs1/lss/lef1/nus1/kdm1a/pdss1,7
BP,GO:0006720,isoprenoid metabolic process,8/282,57/18773,0.140350877,9.343287296,7.790543121,2.05E-06,0.001517134,0.001429732,dhdds/hmgcs1/lss/lef1/dhrs3a/nus1/kdm1a/pdss1,8
BP,GO:0046165,alcohol biosynthetic process,8/282,78/18773,0.102564103,6.82778687,6.369243535,2.22E-05,0.010930979,0.010301242,dhdds/itpkcb/hmgcs1/cyp27a1.1/cyp51/lss/ebp/nus1,8
BP,GO:0016114,terpenoid biosynthetic process,4/282,14/18773,0.285714286,19.02026342,8.329519305,4.43E-05,0.015798008,0.014887881,hmgcs1/lss/lef1/kdm1a,4
BP,GO:0021536,diencephalon development,8/282,88/18773,0.090909091,6.051901999,5.866098211,5.34E-05,0.015798008,0.014887881,zic2a/sox14/tcf7l2/sec61a1a/lef1/lhx9/csrnp1b/ulk2,8
BP,GO:0009628,response to abiotic stimulus,17/282,381/18773,0.044619423,2.970356099,4.798354816,6.88E-05,0.016965259,0.015987887,hsp90aa1.1/dhdds/ddit4/hspa5/igfbp1a/bmal2/nyx/rad9b/alas2/dnaja1/opn3/cry2/dhx30/inip/ninj1/cahz/parapinopsina,17
MF,GO:0017017,MAP kinase tyrosine/serine/threonine phosphatase activity,4/284,16/18430,0.25,16.22359155,7.621187509,8.68E-05,0.034378747,0.033994933,dusp1/si:ch1073-184j22.2/dusp16/si:ch211-195b15.8,4
BP,GO:0006457,protein folding,10/282,156/18773,0.064102564,4.267366794,5.06063446,0.000127376,0.026930824,0.025379332,hsp90aa1.1/hspa4a/hsp70.3/hspa5/calr3a/fkbp5/ahsa1b/ppil1/dnaja1/tor1,10
BP,GO:1901617,organic hydroxy compound biosynthetic process,8/282,112/18773,0.071428571,4.755065856,4.922194157,0.000289684,0.048613425,0.045812794,dhdds/itpkcb/hmgcs1/cyp27a1.1/cyp51/lss/ebp/nus1,8
MF,GO:0033549,MAP kinase phosphatase activity,4/284,22/18430,0.181818182,11.79897567,6.34030576,0.000324405,0.053964167,0.053361696,dusp1/si:ch1073-184j22.2/dusp16/si:ch211-195b15.8,4
BP,GO:0008610,lipid biosynthetic process,16/282,394/18773,0.040609137,2.703387695,4.219881983,0.000325493,0.048613425,0.045812794,dhdds/fitm2/hmgcs1/acsbg2/nsdhl/cyp27a1.1/cyp51/lss/ebp/ch25hl3/lef1/pigw/nus1/pgap1/kdm1a/pdss1,16
BP,GO:0051604,protein maturation,15/282,355/18773,0.042253521,2.812855859,4.258492084,0.000328469,0.048613425,0.045812794,hsp90aa1.1/hspa4a/hsp70.3/hspa5/calr3a/fkbp5/ahsa1b/ppil1/fgb/kel/dnaja1/tor1/pigw/atg4c/pgap1,15
CC,GO:0032476,polyprenyl diphosphate synthase complex,3/287,10/19331,0.3,20.20662021,7.457855037,0.000359718,0.071959668,0.068722094,dhdds/nus1/pdss1,3
BP,GO:0006721,terpenoid metabolic process,5/282,42/18773,0.119047619,7.92510976,5.548434354,0.000398458,0.051968508,0.048974589,hmgcs1/lss/lef1/dhrs3a/kdm1a,5
BP,GO:0031101,fin regeneration,7/282,92/18773,0.076086957,5.065178847,4.826953756,0.00047264,0.051968508,0.048974589,serpinh1b/erbb2/ezh2/lef1/lfng/pou5f3/junbb,7
BP,GO:0006695,cholesterol biosynthetic process,4/282,25/18773,0.16,10.65134752,5.96321013,0.000491594,0.051968508,0.048974589,hmgcs1/cyp51/lss/ebp,4
BP,GO:1902653,secondary alcohol biosynthetic process,4/282,25/18773,0.16,10.65134752,5.96321013,0.000491594,0.051968508,0.048974589,hmgcs1/cyp51/lss/ebp,4
MF,GO:0008330,protein tyrosine/threonine phosphatase activity,3/284,11/18430,0.272727273,17.69846351,6.930418046,0.000545093,0.053964167,0.053361696,dusp1/dusp16/si:ch211-195b15.8,3
MF,GO:0033550,MAP kinase tyrosine phosphatase activity,3/284,11/18430,0.272727273,17.69846351,6.930418046,0.000545093,0.053964167,0.053361696,dusp1/dusp16/si:ch211-195b15.8,3
CC,GO:0005788,endoplasmic reticulum lumen,5/287,46/19331,0.108695652,7.321239206,5.269253689,0.00058032,0.071959668,0.068722094,hspa5/calr3a/tor1/tor3a/sumf2,5
