ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0044282,small molecule catabolic process,73/2545,218/18773,0.334862385,2.470087057,8.645845848,3.66E-14,1.10E-10,9.76E-11,glud1b/cyp46a1.5/zgc:92040/aldh6a1/qdpra/tha1/abhd3/cpt1b/kmo/ido1/adh8a/eci1/acadl/asrgl1/hacl1/hoga1/pck1/cpt1ab/aldh4a1/hadhab/sardh/fah/phyh/hgd/prodha/cpt2/crot/urad/acad11/acaa1/gstz1/pah/nos1/hadh/oxct1a/zgc:103586/esd/gcat/kynu/cyp24a1/bckdhb/etfb/amdhd1/bckdha/abcd1/cyp46a1.1/acot7/cyp7a1/cdab/acaa2/got2a/dctd/gls2a/decr2/glb1l/lpin1a/acads/zgc:162816/cdadc1/ech1/decr1/echdc2/aldh1l2/abhd2a/echs1/tpi1b/ftcd/arg1/gcshb/ddo/thnsl2/tkfc/zgc:172295,73
BP,GO:0016054,organic acid catabolic process,57/2545,165/18773,0.345454545,2.548219325,7.910269391,5.42E-12,5.46E-09,4.82E-09,glud1b/zgc:92040/aldh6a1/qdpra/tha1/abhd3/cpt1b/kmo/ido1/eci1/acadl/asrgl1/hacl1/hoga1/pck1/cpt1ab/aldh4a1/hadhab/sardh/fah/phyh/hgd/prodha/cpt2/crot/acad11/acaa1/gstz1/pah/nos1/hadh/gcat/kynu/bckdhb/etfb/amdhd1/bckdha/abcd1/acot7/acaa2/got2a/gls2a/decr2/lpin1a/acads/zgc:162816/ech1/decr1/echdc2/aldh1l2/abhd2a/echs1/ftcd/arg1/gcshb/ddo/thnsl2,57
BP,GO:0046395,carboxylic acid catabolic process,57/2545,165/18773,0.345454545,2.548219325,7.910269391,5.42E-12,5.46E-09,4.82E-09,glud1b/zgc:92040/aldh6a1/qdpra/tha1/abhd3/cpt1b/kmo/ido1/eci1/acadl/asrgl1/hacl1/hoga1/pck1/cpt1ab/aldh4a1/hadhab/sardh/fah/phyh/hgd/prodha/cpt2/crot/acad11/acaa1/gstz1/pah/nos1/hadh/gcat/kynu/bckdhb/etfb/amdhd1/bckdha/abcd1/acot7/acaa2/got2a/gls2a/decr2/lpin1a/acads/zgc:162816/ech1/decr1/echdc2/aldh1l2/abhd2a/echs1/ftcd/arg1/gcshb/ddo/thnsl2,57
BP,GO:0032787,monocarboxylic acid metabolic process,88/2545,319/18773,0.275862069,2.034875686,7.382525121,2.17E-11,1.64E-08,1.45E-08,agxtb/gck/prkag2b/slc27a2a/abhd3/fasn2/lipg/cpt1b/aclya/kmo/eci1/acadl/hacl1/asah1b/hoga1/pck1/cpt1ab/elovl6/pdk2a/fgfr4/gamt/hadhab/elovl8b/fah/hkdc1/acsl3b/phyh/acsf2/gapdh/pdk4/slc38a9/ptgr2/cpt2/crot/ldhba/amacr/zgc:56585/zgc:113054/kdm1a/acad11/acaa1/hadh/me1/kynu/hsd17b10/etfb/amdhd1/mmut/abcd1/aldob/acot7/cyp7a1/acaa2/cryl1/olah/idh1/acot20/zgc:152891/hk2/dcaf5/dagla/decr2/lpin1a/acacb/mlycd/mpc1/acads/acot11a/eno1a/pdk1/ech1/hpgd/fasn/ccdc57/decr1/echdc2/slc7a3a/ptges/pdhb/abhd2a/echs1/tpi1b/fads2/ftcd/thnsl2/peds1/pklr/me2,88
BP,GO:0016042,lipid catabolic process,62/2545,198/18773,0.313131313,2.309789447,7.337301029,7.57E-11,4.57E-08,4.04E-08,cyp46a1.5/prdx6/abhd3/lipg/cpt1b/eci1/acadl/abhd12/hacl1/asah1b/pck1/cpt1ab/plce1/hadhab/plcxd3/phyh/cpt2/crot/plcg1/acad11/acaa1/hadh/rab7a/oxct1a/hexa/bco2l/plpp6/cyp24a1/etfb/pld1a/abcd1/cyp46a1.1/hsd17b14/plcb1/neu1/acot7/fitm2/cyp7a1/acaa2/enpp6/zgc:195173/plcb3/abhd6a/dagla/si:ch1073-406l10.2/decr2/cel.1/lpin1a/plch1/acads/pla2g12a/ech1/decr1/echdc2/gdpd1/abhd2a/echs1/smpd1/pnpla3/pla1a/pla2g4f.1/bco1l,62
BP,GO:0007059,chromosome segregation,59/2545,189/18773,0.312169312,2.302693319,7.12804046,2.48E-10,1.14E-07,1.01E-07,mapre2/kif11/ccnb1/ttll11/mki67/top2a/smc2/aurkb/ndel1b/prc1b/mad2l1/espl1/cdca8/dlgap5/nusap1/ttk/ncapg/knl1/kif4/ncaph/cenpi/clasp1a/bub1bb/birc6/ndc80/si:dkey-6i22.5/nuf2/spc24/birc5a/ncapd3/spc25/pttg1/cenph/tlk1b/mapre3b/kif23/kntc1/si:dkey-25o16.4/ska3/mos/zw10/kif2c/kif18a/tubgcp5/haus5/racgap1/anapc15/zwilch/map9/smc4/incenp/anapc5/knstrn/ncapd2/cep63/cenpk/ska1/haus1/si:ch211-161h7.4,59
BP,GO:0000070,mitotic sister chromatid segregation,33/2545,77/18773,0.428571429,3.161324726,7.525887144,2.65E-10,1.14E-07,1.01E-07,kif11/ccnb1/smc2/aurkb/prc1b/mad2l1/cdca8/nusap1/ttk/ncapg/ncaph/cenpi/clasp1a/bub1bb/ndc80/nuf2/ncapd3/kif23/kntc1/ska3/zw10/kif18a/racgap1/anapc15/zwilch/map9/smc4/anapc5/knstrn/ncapd2/cenpk/ska1/si:ch211-161h7.4,33
CC,GO:0000779,"condensed chromosome, centromeric region",31/2610,70/19331,0.442857143,3.280027367,7.550135077,3.06E-10,1.50E-07,1.37E-07,plk1/aurkb/firrm/ndel1b/mad2l1/spout1/cfdp1/ttk/cenpi/clasp1a/ndc80/si:dkey-6i22.5/nuf2/spc24/ncapd3/spc25/cenph/ckap5/kntc1/ska3/zw10/kif2c/gpatch11/ppp1cc/zwilch/ercc6l/incenp/knstrn/ncapd2/ska1/si:ch211-161h7.4,31
BP,GO:0000819,sister chromatid segregation,35/2545,86/18773,0.406976744,3.00203317,7.369149515,4.29E-10,1.62E-07,1.43E-07,kif11/ccnb1/top2a/smc2/aurkb/prc1b/mad2l1/cdca8/nusap1/ttk/ncapg/ncaph/cenpi/clasp1a/bub1bb/ndc80/nuf2/ncapd3/kif23/kntc1/ska3/mos/zw10/kif18a/racgap1/anapc15/zwilch/map9/smc4/anapc5/knstrn/ncapd2/cenpk/ska1/si:ch211-161h7.4,35
BP,GO:0006631,fatty acid metabolic process,61/2545,208/18773,0.293269231,2.163278298,6.680892495,1.96E-09,6.57E-07,5.81E-07,prkag2b/slc27a2a/abhd3/fasn2/lipg/cpt1b/aclya/eci1/acadl/hacl1/asah1b/pck1/cpt1ab/elovl6/pdk2a/hadhab/elovl8b/acsl3b/phyh/acsf2/pdk4/ptgr2/cpt2/crot/zgc:56585/zgc:113054/acad11/acaa1/hadh/hsd17b10/etfb/mmut/abcd1/acot7/acaa2/cryl1/olah/acot20/zgc:152891/dcaf5/dagla/decr2/lpin1a/acacb/mlycd/acads/acot11a/pdk1/ech1/hpgd/fasn/ccdc57/decr1/echdc2/slc7a3a/ptges/abhd2a/echs1/fads2/thnsl2/peds1,61
CC,GO:0000793,condensed chromosome,37/2610,99/19331,0.373737374,2.76809087,6.968110211,2.11E-09,5.17E-07,4.72E-07,smc2/plk1/aurkb/firrm/ndel1b/mad2l1/spout1/cfdp1/ttk/ncapg/cenpi/rad50/clasp1a/ndc80/si:dkey-6i22.5/nuf2/spc24/ncapd3/spc25/cenph/ckap5/kntc1/ska3/zw10/rad51/kif2c/nsmce4a/gpatch11/ppp1cc/zwilch/ercc6l/incenp/smc5/knstrn/ncapd2/ska1/si:ch211-161h7.4,37
