ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
CC,GO:0005840,ribosome,112/3978,177/19331,0.632768362,3.074923378,14.11596741,4.03E-35,2.09E-32,1.67E-32,mrpl10/rps16/ptcd3/rpl17/rpl15/zgc:171772/rpl28/rps17/rpl34/rpl10/mrps35/rpl38/rps19/rpl32/rpsa/rps4x/faua/rpl22/rps6/mrpl44/rps26/rpl3/rps8b/mrpl20/rps27.2/rpl36a/rpl24/rps11/dap3/rpl30/rps27a/rps14/rpl5a/rpl6/rplp2/rps23/rplp1/rpl35a/rps18/rpl7a/rpl13/rps7/rpl26/rps21/rpl4/rpl18a/rpl39/mrpl30/rps15a/rps3/rpl36/mrps16/rps25/rpl21/rpl27/rpl23/rpl10a/rpl7/mrpl33/rplp0/uba52/rps10/rpl8/rps5/rpl18/rack1/rpl37/mrps18b/rpl31/rpl11/rpl19/rps24/rps29/rpl14/rps13/rpl13a/hspa14/rpl35/rpl12/zgc:114188/gadd45gip1/mrps14/rpl22l1/mrps24/eif2a/mrpl51/rps3a/mrps22/rpl23a/mrps21/rps2/mrpl1/rps9/rpl9/mrpl43/mrpl21/mrps17/mrpl28/mrps15/mrpl34/mrpl4/mrpl17/mrps34/mrpl53/mrpl47/mrps28/mrpl32/mrpl22/mrpl52/mrpl12/mrps31/mrpl49,112
MF,GO:0003735,structural constituent of ribosome,102/3772,154/18430,0.662337662,3.236183223,14.13600008,7.16E-35,6.47E-32,5.66E-32,mrpl10/rps16/rpl17/rpl15/zgc:171772/rpl28/rps17/rpl34/rpl10/mrps35/rpl38/rps19/rpl32/rpsa/rps4x/faua/rpl22/rps6/rps26/rpl3/rps8b/mrpl20/rps27.2/rpl36a/rpl24/rps11/dap3/rpl30/rps27a/rps14/rpl5a/rpl6/rplp2/rps23/rplp1/rpl35a/rps18/rpl13/rps7/rpl26/rps21/rpl4/rpl18a/rpl39/mrpl30/rps15a/rps3/rpl36/mrps16/rps25/rpl21/rpl27/rpl23/rpl10a/rpl7/mrpl33/rplp0/uba52/rps10/rpl8/rps5/rpl18/rpl37/mrps18b/rpl31/rpl11/rpl19/rps24/rps29/rpl14/rps13/rpl13a/rpl35/rpl12/zgc:114188/mrps14/rpl22l1/mrps24/mrpl51/rps3a/mrps22/rpl23a/mrps21/rps2/rps9/rpl9/mrpl43/mrpl21/mrps17/mrpl28/mrps15/mrpl34/mrpl4/mrpl17/mrps34/mrpl47/mrpl32/mrpl22/mrpl52/mrpl12/mrps31/mrpl49,102
CC,GO:0044391,ribosomal subunit,94/3978,141/19331,0.666666667,3.239651416,13.58639352,2.27E-32,5.87E-30,4.69E-30,mrpl10/rps16/rpl17/rpl15/zgc:171772/rpl28/rpl34/rpl10/mrps35/rpl38/rps19/rpl32/rpsa/rps4x/faua/mrpl44/rps26/rpl3/rps8b/rps27.2/rpl36a/rpl24/rps11/dap3/rpl30/rps14/rpl5a/rpl6/rplp2/rps23/rplp1/rpl35a/rps18/rpl7a/rpl13/rps7/rpl26/rps21/rpl4/rpl18a/rpl39/mrpl30/rps15a/rps3/rpl36/mrps16/rps25/rpl21/rpl27/rpl23/rpl10a/rpl7/rplp0/rps10/rpl8/rps5/rpl18/rpl37/rpl31/rpl11/rpl19/rps24/rps29/rpl14/rps13/rpl13a/rpl35/rpl12/mrps14/mrps24/eif2a/mrpl51/rps3a/mrps22/rpl23a/rps2/rps9/mrpl43/mrpl21/mrps17/mrpl28/mrps15/mrpl34/mrpl4/mrpl17/mrps34/mrpl53/mrpl47/mrps28/mrpl32/mrpl22/mrpl52/mrpl12/mrps31,94
CC,GO:0022626,cytosolic ribosome,65/3978,79/19331,0.82278481,3.998303963,13.59261354,8.48E-32,1.46E-29,1.17E-29,rps16/rpl17/rpl15/zgc:171772/rpl28/rpl34/rpl10/rpl38/rps19/rpl32/rpsa/rps4x/faua/rps26/rpl3/rps8b/rps27.2/rpl36a/rpl24/rps11/rpl30/rps14/rpl5a/rpl6/rplp2/rps23/rplp1/rpl35a/rpl7a/rpl13/rps7/rpl26/rps21/rpl4/rpl18a/rpl39/rps15a/rps3/rpl36/rps25/rpl21/rpl27/rpl23/rpl10a/rpl7/rplp0/rps10/rpl8/rps5/rpl18/rpl37/rpl31/rpl11/rpl19/rps29/rpl14/rps13/rpl13a/rpl35/rpl12/eif2a/rps3a/rpl23a/rps2/rps9,65
CC,GO:0022625,cytosolic large ribosomal subunit,41/3978,45/19331,0.911111111,4.427523602,11.71702405,3.68E-24,4.76E-22,3.80E-22,rpl17/rpl15/zgc:171772/rpl28/rpl34/rpl10/rpl38/rpl32/rpl3/rpl36a/rpl24/rpl30/rpl5a/rpl6/rplp2/rplp1/rpl35a/rpl7a/rpl13/rpl26/rpl4/rpl18a/rpl39/rpl36/rpl21/rpl27/rpl23/rpl10a/rpl7/rplp0/rpl8/rpl18/rpl37/rpl31/rpl11/rpl19/rpl14/rpl13a/rpl35/rpl12/rpl23a,41
BP,GO:0006412,translation,189/3857,473/18773,0.399577167,1.944843701,10.58324628,1.32E-22,4.13E-19,3.57E-19,eif4e3/mrpl10/dap1b/msi1b/rps16/ptcd3/rpl17/rbm24a/eif4g2a/rpl15/zgc:171772/kbtbd8/rpl28/tars1/rps17/rpl34/rpl10/mrps35/rpl38/rps19/rpl32/rpsa/rps4x/faua/rpl22/rps6/mrpl44/farsa/rps26/rpl3/rps8b/mrpl20/rps27.2/igf2bp2a/rpl36a/coa3a/rpl24/rps11/rps27a/kars1/rps14/rpl5a/rpl6/rplp2/gfm1/rps23/rplp1/eif3ja/rpl35a/rps18/rpl13/rps7/rpl26/ddx61/rps21/eif3ha/rpl4/rpl18a/rpl39/mrpl30/rps15a/rps3/rpl36/mrps16/rpl21/eif4g1a/rpl27/rpl23/rpl10a/mrpl33/rplp0/uba52/eif4a2/ogfod1/polr2g/rpl8/trmt10c/rps5/secisbp2/eif4ebp2/rpl18/rack1/rpl37/mrps18b/gfm2/rpl31/lrrc47/rpl11/rpl19/rps24/igf2bp3/bzw2/gtpbp1l/eif4e1c/rps29/rpl14/rps13/rpl13a/mif4gdb/eif6/cpeb4a/mars2/rpl35/eif3k/ybx1/mettl17/rpl12/ltn1/eefsec/eif3ea/zgc:114188/mrps14/rpl22l1/pelo/mrps24/eif2a/rars1/mrpl51/eif3s6ip/eif2ak2/rps3a/si:ch211-256m1.8/samd4a/rpl23a/larp1/gspt1l/mrps21/rps2/eef2k/rps9/rpl9/larp4aa/mrpl43/nanos1/tnrc6c1/znf598/mettl3/mknk1/eif3m/ddx6/rida/mrps17/elof1/eef1e1/rmnd1/eif4ebp1/fxr2/mtg1/mrps15/eif4e2/nelfb/nars2/eif5a/eif4h/mrpl34/eif3d/ufl1/mrpl4/rbm8a/drg1/eif3f/mrpl17/uhmk1/mrps34/iars1/pars2/rwdd1/mtrfr/mrpl47/eif1ad/eef2b/mrpl32/lars2/mrpl22/mrpl52/eif4g3a/eef1a1l1/eif4eb/tcea3/mrpl12/eef1g/caprin1b/magoh/denr/eif5b/eif4a1a/mrpl49/paip1/eif2s3,189
CC,GO:0015934,large ribosomal subunit,57/3978,84/19331,0.678571429,3.297502334,10.74152077,9.69E-21,1.00E-18,8.02E-19,mrpl10/rpl17/rpl15/zgc:171772/rpl28/rpl34/rpl10/rpl38/rpl32/mrpl44/rpl3/rpl36a/rpl24/rpl30/rpl5a/rpl6/rplp2/rplp1/rpl35a/rpl7a/rpl13/rpl26/rpl4/rpl18a/rpl39/mrpl30/rpl36/rpl21/rpl27/rpl23/rpl10a/rpl7/rplp0/rpl8/rpl18/rpl37/rpl31/rpl11/rpl19/rpl14/rpl13a/rpl35/rpl12/mrpl51/rpl23a/mrpl43/mrpl21/mrpl28/mrpl34/mrpl4/mrpl17/mrpl53/mrpl47/mrpl32/mrpl22/mrpl52/mrpl12,57
CC,GO:0015935,small ribosomal subunit,36/3978,56/19331,0.642857143,3.12394958,8.102008873,1.59E-12,1.37E-10,1.10E-10,rps16/mrps35/rps19/rpsa/rps4x/faua/rps26/rps8b/rps27.2/rps11/dap3/rps14/rps23/rps18/rps7/rps21/rps15a/rps3/mrps16/rps25/rps10/rps5/rps29/rps13/mrps14/mrps24/eif2a/rps3a/mrps22/rps2/rps9/mrps17/mrps15/mrps34/mrps28/mrps31,36
CC,GO:0022627,cytosolic small ribosomal subunit,24/3978,32/19331,0.75,3.644607843,7.621150871,5.76E-11,4.26E-09,3.40E-09,rps16/rps19/rpsa/rps4x/faua/rps26/rps8b/rps27.2/rps11/rps14/rps23/rps7/rps21/rps15a/rps3/rps25/rps10/rps5/rps29/rps13/eif2a/rps3a/rps2/rps9,24
CC,GO:0043292,contractile muscle fiber,66/3978,154/19331,0.428571429,2.082633053,6.865987365,2.90E-10,1.81E-08,1.45E-08,tnni2a.2/tnnt1/actn2b/unc45b/ryr1a/lmod3/klhl41a/mybpc1/csrp1a/tnni2a.4/pdlim3b/myom2a/casq2/tnnc1a/tnni1d/nrap/si:ch211-125o16.4/myoz3a/rtn2b/hsp90aa1.1/fhl2a/myom1b/lmod2b/igfn1.3/ahnak/mybpha/ttn.2/prx/casq1a/pdlim5a/twf2b/tcap/frg1/mybpc2a/tnni1b/ldb3b/fhl5/capza1a/tpm2/smyd1b/mybpc2b/bag3/pdlim4/desma/tnni2a.3/adprhl1/pdlim7/pdlim1/nexn/klhl40a/tnnc2.1/mob4/myl2b/mybpc3/ilk/pyroxd1/abrab/pdlim5b/csrp2/synm/abraa/tnni4b.2/rtn2a/csrp3/tnnt2c/tnnt2e,66
