ONTOLOGY,ID,Description,pvalue_ASG_brain_AF,pvalue_ASG_brain_AR,pvalue_ASG_brain_FR,pvalue_DEG_brain_AF,pvalue_DEG_brain_AR,pvalue_DEG_brain_FR
MF,GO:0005096,GTPase activator activity,8.7e-12,6.86e-9,0.00482717,NA,NA,NA
MF,GO:0008047,enzyme activator activity,4.16e-9,2.73e-8,0.006880528,NA,NA,NA
CC,GO:0099572,postsynaptic specialization,4.66e-8,2.94e-6,0.001834373,NA,NA,NA
BP,GO:0007411,axon guidance,1.05e-7,3.12946e-4,5.77e-8,NA,NA,NA
BP,GO:0097485,neuron projection guidance,1.05e-7,3.12946e-4,5.77e-8,NA,NA,NA
BP,GO:0051656,establishment of organelle localization,1.48e-7,2.98e-5,9.90681e-4,NA,NA,NA
MF,GO:0005085,guanyl-nucleotide exchange factor activity,3.42e-7,1.75e-5,1.34e-7,NA,NA,NA
BP,GO:0050808,synapse organization,4.74e-7,6.22754e-4,0.010344352,NA,NA,NA
CC,GO:0014069,postsynaptic density,8.23e-7,2.69e-6,0.004718635,NA,NA,NA
BP,GO:0051640,organelle localization,9.2e-7,3.71e-5,0.003035598,NA,NA,NA
BP,GO:0010975,regulation of neuron projection development,9.26e-7,0.016128758,1.92576e-4,NA,NA,NA
CC,GO:0032279,asymmetric synapse,1.09e-6,3.45e-6,0.005228149,NA,NA,NA
CC,GO:0098984,neuron to neuron synapse,1.09e-6,3.45e-6,0.005228149,NA,NA,NA
BP,GO:0016358,dendrite development,1.31e-6,2.16329e-4,8.2103e-4,NA,NA,NA
BP,GO:0048813,dendrite morphogenesis,1.61e-6,6.35e-5,0.003110564,0.011775145,NA,NA
CC,GO:0098794,postsynapse,1.77e-6,7.19e-7,0.002364543,NA,NA,NA
BP,GO:0048675,axon extension,2.98e-6,0.018838625,1.37e-5,NA,NA,NA
MF,GO:0015631,tubulin binding,3.98e-6,8.61324e-4,3.73e-5,NA,NA,NA
BP,GO:0099003,vesicle-mediated transport in synapse,8.27e-6,0.019106825,2.13822e-4,NA,NA,NA
BP,GO:0099504,synaptic vesicle cycle,8.27e-6,0.019106825,2.13822e-4,NA,NA,NA
BP,GO:1990138,neuron projection extension,9.16e-6,0.047692651,1.44e-5,NA,NA,NA
MF,GO:0005543,phospholipid binding,1.03e-5,7.36e-5,0.042228554,NA,NA,NA
BP,GO:0060560,developmental growth involved in morphogenesis,1.06e-5,0.011404262,4.4e-5,NA,NA,NA
BP,GO:0048588,developmental cell growth,1.19e-5,0.033909776,7.41e-5,NA,NA,NA
BP,GO:0016049,cell growth,1.23e-5,0.029472616,8.11e-5,NA,NA,NA
BP,GO:1902414,protein localization to cell junction,1.72e-5,4.83287e-4,NA,NA,NA,NA
BP,GO:0120035,regulation of plasma membrane bounded cell projection organization,1.92e-5,NA,0.009491766,NA,NA,NA
MF,GO:0035091,phosphatidylinositol binding,2.07e-5,1.698e-4,0.027216197,NA,NA,NA
CC,GO:0005938,cell cortex,2.12e-5,0.002339151,NA,NA,NA,NA
BP,GO:0006897,endocytosis,2.2e-5,4.61405e-4,NA,NA,NA,NA
BP,GO:0050773,regulation of dendrite development,2.23e-5,0.032885707,NA,0.015809755,NA,NA
BP,GO:0050770,regulation of axonogenesis,2.37e-5,0.03466946,0.001633852,NA,NA,NA
BP,GO:0031344,regulation of cell projection organization,2.54e-5,NA,0.010590804,NA,NA,NA
CC,GO:0097060,synaptic membrane,3.03e-5,5.65e-7,3.80471e-4,NA,NA,NA
BP,GO:0060997,dendritic spine morphogenesis,3.18e-5,1.06052e-4,NA,NA,NA,NA
MF,GO:0042578,phosphoric ester hydrolase activity,3.24e-5,7.36099e-4,0.01333115,NA,NA,NA
MF,GO:1901981,phosphatidylinositol phosphate binding,3.9e-5,9.09e-6,0.015392434,NA,NA,NA
BP,GO:0050772,positive regulation of axonogenesis,3.94e-5,NA,0.013289235,NA,NA,NA
BP,GO:0006836,neurotransmitter transport,4.41e-5,NA,1.97e-5,NA,NA,NA
CC,GO:0005874,microtubule,4.65e-5,8.9474e-4,3.023e-4,NA,NA,NA
BP,GO:0061387,regulation of extent of cell growth,4.85e-5,NA,0.005311383,NA,NA,NA
BP,GO:0097061,dendritic spine organization,5.11e-5,1.58113e-4,NA,NA,NA,NA
BP,GO:0106027,neuron projection organization,5.15e-5,1.20464e-4,NA,NA,NA,NA
MF,GO:0008017,microtubule binding,5.56e-5,0.001146114,3.95e-5,NA,NA,NA
BP,GO:0008361,regulation of cell size,6.87e-5,NA,0.028491647,NA,NA,NA
BP,GO:0045921,positive regulation of exocytosis,6.93e-5,0.002402937,7.62e-6,NA,NA,NA
MF,GO:0004169,dolichyl-phosphate-mannose-protein mannosyltransferase activity,8.05e-5,1.5e-6,2.13e-5,NA,NA,NA
BP,GO:0051650,establishment of vesicle localization,8.42e-5,4.42741e-4,0.01105976,NA,NA,NA
BP,GO:0035418,protein localization to synapse,8.74e-5,0.00403083,NA,NA,NA,NA
BP,GO:0009743,response to carbohydrate,1.06424e-4,2.26523e-4,0.001999073,NA,NA,NA
BP,GO:0009746,response to hexose,1.06424e-4,2.26523e-4,0.001999073,NA,NA,NA
BP,GO:0009749,response to glucose,1.06424e-4,2.26523e-4,0.001999073,NA,NA,NA
BP,GO:0034284,response to monosaccharide,1.06424e-4,2.26523e-4,0.001999073,NA,NA,NA
CC,GO:0099738,cell cortex region,1.0681e-4,0.001910424,0.035651601,NA,NA,NA
MF,GO:0000030,mannosyltransferase activity,1.09772e-4,3.31e-6,2.43069e-4,NA,NA,NA
BP,GO:0007264,small GTPase-mediated signal transduction,1.13927e-4,4.66e-5,NA,NA,NA,NA
BP,GO:1904375,regulation of protein localization to cell periphery,1.14732e-4,4.25329e-4,NA,NA,NA,NA
BP,GO:0035268,protein mannosylation,1.19262e-4,3.23578e-4,6.88e-5,NA,NA,NA
BP,GO:0035269,protein O-linked mannosylation,1.19262e-4,3.23578e-4,6.88e-5,NA,NA,NA
BP,GO:0097502,mannosylation,1.19262e-4,3.23578e-4,6.88e-5,NA,NA,NA
MF,GO:0004970,glutamate-gated receptor activity,1.22397e-4,1.41329e-4,0.010501773,NA,NA,NA
BP,GO:0051648,vesicle localization,1.29486e-4,5.46576e-4,0.019479371,NA,NA,NA
BP,GO:0045017,glycerolipid biosynthetic process,1.34894e-4,0.016869596,NA,NA,NA,NA
BP,GO:0034330,cell junction organization,1.37417e-4,0.00220233,0.03201587,NA,NA,NA
BP,GO:0031503,protein-containing complex localization,1.44874e-4,0.006553097,NA,NA,NA,NA
BP,GO:0043087,regulation of GTPase activity,1.52543e-4,6.0987e-4,NA,NA,NA,NA
BP,GO:0043484,regulation of RNA splicing,1.61386e-4,0.005857016,0.039638371,NA,NA,NA
MF,GO:0015171,amino acid transmembrane transporter activity,1.71943e-4,0.00294105,0.020482744,NA,NA,NA
BP,GO:0048915,posterior lateral line system development,1.87862e-4,0.025179425,NA,NA,NA,NA
BP,GO:0006650,glycerophospholipid metabolic process,2.28289e-4,0.011416862,NA,NA,NA,NA
CC,GO:0030425,dendrite,2.30611e-4,2.93858e-4,NA,NA,NA,NA
CC,GO:0097447,dendritic tree,2.30611e-4,2.93858e-4,NA,NA,NA,NA
BP,GO:0001558,regulation of cell growth,2.37292e-4,NA,0.005119088,NA,NA,NA
BP,GO:0097120,receptor localization to synapse,2.48747e-4,0.005596309,NA,NA,NA,NA
BP,GO:0060996,dendritic spine development,2.49074e-4,6.05165e-4,NA,NA,NA,NA
BP,GO:0090407,organophosphate biosynthetic process,2.55913e-4,NA,NA,5e-6,NA,NA
MF,GO:0070739,protein-glutamic acid ligase activity,2.6014e-4,NA,NA,NA,NA,NA
MF,GO:0070740,tubulin-glutamic acid ligase activity,2.6014e-4,NA,NA,NA,NA,NA
BP,GO:0046474,glycerophospholipid biosynthetic process,2.67528e-4,0.041361364,NA,NA,NA,NA
BP,GO:0043547,positive regulation of GTPase activity,2.71529e-4,0.00121033,NA,NA,NA,NA
BP,GO:0048814,regulation of dendrite morphogenesis,2.77183e-4,0.029926406,NA,0.002435713,NA,NA
BP,GO:0051130,positive regulation of cellular component organization,2.77463e-4,NA,NA,NA,NA,NA
BP,GO:0050769,positive regulation of neurogenesis,3.04982e-4,NA,0.031902038,NA,NA,NA
BP,GO:0048881,mechanosensory lateral line system development,3.15988e-4,0.032968252,NA,NA,NA,NA
BP,GO:0046486,glycerolipid metabolic process,3.29956e-4,0.00797141,NA,0.04297355,0.031316987,NA
BP,GO:0000226,microtubule cytoskeleton organization,3.39933e-4,NA,9.41e-5,NA,NA,NA
MF,GO:0016879,"ligase activity, forming carbon-nitrogen bonds",3.41856e-4,0.02314537,0.02383362,NA,NA,NA
BP,GO:0048639,positive regulation of developmental growth,3.47872e-4,NA,NA,NA,NA,NA
CC,GO:0036477,somatodendritic compartment,3.51276e-4,6.42e-5,NA,NA,NA,NA
BP,GO:0048570,notochord morphogenesis,3.65008e-4,0.049169997,NA,NA,NA,NA
MF,GO:0015103,inorganic anion transmembrane transporter activity,3.7872e-4,6.878e-4,0.006921039,NA,NA,NA
BP,GO:0048488,synaptic vesicle endocytosis,3.91099e-4,4.83287e-4,0.003971736,NA,NA,NA
BP,GO:0140238,presynaptic endocytosis,3.91099e-4,4.83287e-4,0.003971736,NA,NA,NA
BP,GO:0099536,synaptic signaling,3.95582e-4,2.51377e-4,NA,NA,NA,NA
BP,GO:0099173,postsynapse organization,4.08266e-4,0.001680335,NA,NA,NA,NA
BP,GO:0045773,positive regulation of axon extension,4.09052e-4,0.035929333,NA,NA,NA,NA
BP,GO:0030277,maintenance of gastrointestinal epithelium,4.15558e-4,0.001695944,NA,NA,NA,NA
BP,GO:0032252,secretory granule localization,4.15558e-4,0.0121481,0.001202421,NA,NA,NA
BP,GO:0032253,dense core granule localization,4.15558e-4,0.0121481,0.001202421,NA,NA,NA
CC,GO:0030133,transport vesicle,4.19942e-4,NA,0.008877209,NA,NA,NA
BP,GO:0060627,regulation of vesicle-mediated transport,4.22524e-4,0.020128453,0.027989293,NA,NA,NA
MF,GO:0080025,"phosphatidylinositol-3,5-bisphosphate binding",4.24725e-4,1.63434e-4,NA,NA,NA,NA
CC,GO:0031252,cell leading edge,4.3327e-4,0.03467488,0.005250318,NA,NA,NA
BP,GO:0099072,regulation of postsynaptic membrane neurotransmitter receptor levels,4.43412e-4,0.01107556,NA,NA,NA,NA
BP,GO:1905475,regulation of protein localization to membrane,4.78565e-4,2.36e-5,NA,NA,NA,NA
MF,GO:0004721,phosphoprotein phosphatase activity,4.79583e-4,0.028471402,NA,NA,NA,NA
MF,GO:0008509,monoatomic anion transmembrane transporter activity,4.87452e-4,0.001100265,0.003320984,NA,NA,NA
BP,GO:0006900,vesicle budding from membrane,4.95968e-4,0.006745021,0.009237059,NA,NA,NA
BP,GO:0070593,dendrite self-avoidance,5.503e-4,2.68447e-4,2.8272e-4,0.015648378,NA,NA
BP,GO:0006325,chromatin organization,5.51667e-4,NA,NA,0.011047622,NA,NA
MF,GO:0015276,ligand-gated monoatomic ion channel activity,5.62046e-4,1.48e-7,0.003244333,NA,NA,NA
MF,GO:0022834,ligand-gated channel activity,5.62046e-4,1.48e-7,0.003244333,NA,NA,NA
CC,GO:0030658,transport vesicle membrane,5.68828e-4,NA,0.010357185,NA,NA,NA
CC,GO:0030135,coated vesicle,5.71479e-4,0.003747737,0.006379154,NA,NA,NA
MF,GO:0016791,phosphatase activity,5.74093e-4,0.015868558,NA,NA,NA,NA
CC,GO:0000407,phagophore assembly site,5.77131e-4,0.00609959,NA,0.036249747,NA,NA
MF,GO:0030276,clathrin binding,5.77587e-4,1.41329e-4,3.2945e-4,NA,NA,NA
BP,GO:0022603,regulation of anatomical structure morphogenesis,6.26029e-4,0.024341619,6.80424e-4,NA,NA,NA
BP,GO:1903076,regulation of protein localization to plasma membrane,6.46423e-4,2.81958e-4,NA,NA,NA,NA
BP,GO:0030705,cytoskeleton-dependent intracellular transport,6.92327e-4,0.041361364,0.013285487,NA,NA,NA
CC,GO:0099513,polymeric cytoskeletal fiber,7.28243e-4,0.037878903,0.004064207,NA,NA,NA
CC,GO:0070971,endoplasmic reticulum exit site,7.46814e-4,NA,0.035651601,NA,NA,0.025792767
CC,GO:0005925,focal adhesion,8.79399e-4,0.026300627,0.031254063,NA,NA,NA
CC,GO:0034045,phagophore assembly site membrane,8.88619e-4,0.018348898,NA,NA,NA,NA
MF,GO:0008066,glutamate receptor activity,8.90191e-4,1.82982e-4,0.041854032,NA,NA,NA
CC,GO:0098793,presynapse,8.9384e-4,NA,0.025183328,NA,NA,NA
BP,GO:0035249,"synaptic transmission, glutamatergic",9.02959e-4,0.003882214,0.048232161,NA,NA,NA
MF,GO:0003727,single-stranded RNA binding,9.13645e-4,8.03e-6,NA,NA,NA,NA
BP,GO:0007164,establishment of tissue polarity,9.43309e-4,NA,NA,NA,NA,NA
BP,GO:0016185,synaptic vesicle budding from presynaptic endocytic zone membrane,9.43309e-4,3.3e-5,4.31767e-4,NA,NA,NA
BP,GO:0030242,autophagy of peroxisome,9.43309e-4,4.64679e-4,NA,NA,NA,NA
BP,GO:0045956,positive regulation of calcium ion-dependent exocytosis,9.43309e-4,0.034000135,2.19e-5,NA,0.031620913,NA
BP,GO:1903307,positive regulation of regulated secretory pathway,9.43309e-4,0.034000135,2.19e-5,NA,0.031620913,NA
BP,GO:0048670,regulation of collateral sprouting,9.65437e-4,NA,0.017836199,NA,NA,NA
BP,GO:0006887,exocytosis,9.71734e-4,0.014156674,4.89083e-4,NA,NA,NA
MF,GO:1902936,phosphatidylinositol bisphosphate binding,9.87326e-4,1.86184e-4,0.006176043,NA,NA,NA
MF,GO:0140993,histone modifying activity,9.98321e-4,0.00493983,NA,NA,0.017941898,0.024260936
CC,GO:0045211,postsynaptic membrane,9.99686e-4,6.14e-5,0.01145056,NA,NA,NA
MF,GO:0003729,mRNA binding,0.00106319,0.002903635,NA,0.023554429,NA,NA
MF,GO:0003712,transcription coregulator activity,0.001071682,NA,NA,0.007062483,NA,0.042757677
BP,GO:0051047,positive regulation of secretion,0.001105878,0.009937451,4.13e-6,NA,0.037457463,NA
BP,GO:1903532,positive regulation of secretion by cell,0.001105878,0.009937451,4.13e-6,NA,0.037457463,NA
BP,GO:0002098,tRNA wobble uridine modification,0.001121651,NA,NA,NA,NA,NA
MF,GO:0032266,phosphatidylinositol-3-phosphate binding,0.00114861,4.0318e-4,NA,NA,NA,NA
BP,GO:0048925,lateral line system development,0.001221553,NA,0.047488931,NA,NA,NA
BP,GO:0022600,digestive system process,0.00125722,0.001977608,NA,NA,NA,NA
MF,GO:0004725,protein tyrosine phosphatase activity,0.001312941,0.030630302,NA,NA,NA,NA
CC,GO:0099634,postsynaptic specialization membrane,0.001321413,8.12955e-4,0.023439943,NA,NA,NA
BP,GO:0031346,positive regulation of cell projection organization,0.001329352,NA,NA,NA,NA,NA
BP,GO:0048916,posterior lateral line development,0.001339029,NA,NA,NA,NA,NA
BP,GO:0017157,regulation of exocytosis,0.001344116,NA,0.004011358,NA,NA,NA
BP,GO:0032940,secretion by cell,0.001366947,NA,0.002538671,NA,NA,NA
BP,GO:0051962,positive regulation of nervous system development,0.001402177,NA,NA,NA,NA,NA
BP,GO:0048489,synaptic vesicle transport,0.001422548,5.18576e-4,0.003304805,NA,NA,NA
BP,GO:0007268,chemical synaptic transmission,0.001475324,6.69605e-4,NA,NA,NA,NA
BP,GO:0098916,anterograde trans-synaptic signaling,0.001475324,6.69605e-4,NA,NA,NA,NA
CC,GO:0005815,microtubule organizing center,0.001486758,NA,0.009767453,NA,NA,NA
BP,GO:0044804,nucleophagy,0.001503404,0.017133763,NA,NA,NA,0.03913638
BP,GO:0035459,vesicle cargo loading,0.001512219,0.043100864,NA,NA,NA,0.009344358
BP,GO:0010976,positive regulation of neuron projection development,0.0015603,NA,NA,NA,NA,NA
BP,GO:0016050,vesicle organization,0.001584936,NA,0.013887629,NA,NA,NA
BP,GO:0099537,trans-synaptic signaling,0.001624141,7.36726e-4,NA,NA,NA,NA
CC,GO:0030055,cell-substrate junction,0.001640838,0.037834859,0.040647202,NA,NA,NA
BP,GO:1990778,protein localization to cell periphery,0.00175344,0.001460335,0.012837292,NA,NA,NA
BP,GO:0045927,positive regulation of growth,0.001807108,NA,NA,0.035966842,NA,NA
BP,GO:0008654,phospholipid biosynthetic process,0.001919626,NA,NA,NA,NA,NA
BP,GO:0007269,neurotransmitter secretion,0.00192592,NA,0.005119088,NA,NA,NA
BP,GO:0099643,signal release from synapse,0.00192592,NA,0.005119088,NA,NA,NA
BP,GO:0048638,regulation of developmental growth,0.001945374,NA,0.015056579,NA,NA,NA
BP,GO:0062237,protein localization to postsynapse,0.001950757,NA,NA,NA,NA,NA
BP,GO:0098877,neurotransmitter receptor transport to plasma membrane,0.001950757,NA,NA,NA,NA,NA
BP,GO:0098969,neurotransmitter receptor transport to postsynaptic membrane,0.001950757,NA,NA,NA,NA,NA
BP,GO:1903539,protein localization to postsynaptic membrane,0.001950757,NA,NA,NA,NA,NA
BP,GO:1903540,establishment of protein localization to postsynaptic membrane,0.001950757,NA,NA,NA,NA,NA
MF,GO:0003725,double-stranded RNA binding,0.001959558,0.025238456,NA,NA,NA,NA
BP,GO:0002097,tRNA wobble base modification,0.001979211,NA,NA,NA,NA,NA
CC,GO:0035097,histone methyltransferase complex,0.001980218,NA,NA,NA,NA,NA
BP,GO:0051345,positive regulation of hydrolase activity,0.002019616,4.5698e-4,NA,NA,NA,NA
MF,GO:0005315,phosphate transmembrane transporter activity,0.002025633,0.019152264,NA,NA,NA,NA
BP,GO:0051046,regulation of secretion,0.002067637,NA,0.014734764,NA,NA,NA
BP,GO:0098876,vesicle-mediated transport to the plasma membrane,0.00216181,0.006725113,NA,NA,NA,NA
CC,GO:0030027,lamellipodium,0.00217804,NA,0.009855638,NA,NA,NA
MF,GO:0005516,calmodulin binding,0.002197589,6.25117e-4,NA,NA,NA,NA
BP,GO:0050804,modulation of chemical synaptic transmission,0.002274143,0.005274572,NA,NA,NA,NA
BP,GO:0099177,regulation of trans-synaptic signaling,0.002274143,0.005274572,NA,NA,NA,NA
BP,GO:0051056,regulation of small GTPase mediated signal transduction,0.002297619,4.55e-6,NA,0.01657915,NA,NA
BP,GO:0048532,anatomical structure arrangement,0.002298323,NA,NA,NA,NA,NA
BP,GO:0060729,intestinal epithelial structure maintenance,0.002298323,0.00916177,NA,NA,NA,NA
BP,GO:0061001,regulation of dendritic spine morphogenesis,0.002298323,0.00916177,NA,NA,NA,NA
BP,GO:0070142,synaptic vesicle budding,0.002298323,1.08784e-4,8.83657e-4,NA,NA,NA
BP,GO:0008610,lipid biosynthetic process,0.00229871,0.005111636,NA,NA,NA,3.25493e-4
