ONTOLOGY,ID,Description,pvalue_ASG_liver_AF,pvalue_ASG_liver_AR,pvalue_ASG_liver_FR,pvalue_DEG_liver_AF,pvalue_DEG_liver_AR,pvalue_DEG_liver_FR
BP,GO:0044282,small molecule catabolic process,1.37e-7,1.19e-6,9.64e-7,1.39e-11,3.66e-14,NA
BP,GO:0072329,monocarboxylic acid catabolic process,2.27e-6,9.90763e-4,0.008534011,1.9e-6,2.54e-8,NA
BP,GO:0032787,monocarboxylic acid metabolic process,5.94e-6,5.13e-6,1.14963e-4,1.42e-8,2.17e-11,0.004995635
BP,GO:0016054,organic acid catabolic process,9.94e-6,2.02e-5,1.6e-5,3.32e-11,5.42e-12,NA
BP,GO:0046395,carboxylic acid catabolic process,9.94e-6,2.02e-5,1.6e-5,3.32e-11,5.42e-12,NA
BP,GO:0009062,fatty acid catabolic process,1.78e-5,0.00748301,0.025757105,4.68e-6,2.37e-8,NA
BP,GO:0035459,vesicle cargo loading,4.91e-5,0.005321854,NA,NA,NA,NA
BP,GO:0006631,fatty acid metabolic process,8.08e-5,0.002103699,4.87312e-4,4.21e-8,1.96e-9,0.004046028
BP,GO:0019395,fatty acid oxidation,2.71835e-4,0.001856247,0.011289389,2.83515e-4,1.51e-6,NA
BP,GO:0060560,developmental growth involved in morphogenesis,2.94625e-4,6.65492e-4,NA,NA,NA,NA
BP,GO:0090110,COPII-coated vesicle cargo loading,3.58592e-4,0.003040612,NA,NA,NA,NA
BP,GO:0006635,fatty acid beta-oxidation,5.39186e-4,0.019094076,0.007152424,4.29949e-4,3.08e-6,NA
BP,GO:0034440,lipid oxidation,7.37758e-4,0.003951403,0.017603468,0.00197407,4.46e-6,NA
BP,GO:0090114,COPII-coated vesicle budding,9.4852e-4,0.003622773,NA,NA,NA,NA
BP,GO:0030258,lipid modification,9.50843e-4,0.010062439,NA,0.009291847,3.99e-5,NA
BP,GO:0046486,glycerolipid metabolic process,9.71739e-4,0.00281167,NA,0.034205112,0.002606786,NA
BP,GO:0048532,anatomical structure arrangement,0.001114603,5.27267e-4,0.016319359,NA,NA,NA
BP,GO:0043484,regulation of RNA splicing,0.001162477,NA,NA,NA,NA,NA
BP,GO:0002098,tRNA wobble uridine modification,0.001189524,0.004320433,0.004418172,NA,NA,NA
BP,GO:0006694,steroid biosynthetic process,0.001315319,NA,NA,NA,NA,3.92e-5
BP,GO:0006066,alcohol metabolic process,0.001455086,NA,NA,0.012445937,2.9e-5,9.45e-7
BP,GO:0048675,axon extension,0.001549318,0.001184121,NA,NA,NA,NA
BP,GO:1901615,organic hydroxy compound metabolic process,0.001599648,NA,NA,0.036742494,9.02e-6,9.68e-5
BP,GO:0002097,tRNA wobble base modification,0.001803161,0.005975738,0.005677211,NA,NA,NA
BP,GO:0016126,sterol biosynthetic process,0.00183762,NA,NA,NA,0.046910601,1.92e-6
BP,GO:0008610,lipid biosynthetic process,0.002185579,NA,NA,2.7084e-4,0.002048273,3.12e-6
BP,GO:0019216,regulation of lipid metabolic process,0.002334005,NA,0.01302419,0.008233941,8.53e-6,NA
BP,GO:0009743,response to carbohydrate,0.002621219,0.001089472,NA,NA,NA,NA
BP,GO:0009746,response to hexose,0.002621219,0.001089472,NA,NA,NA,NA
BP,GO:0009749,response to glucose,0.002621219,0.001089472,NA,NA,NA,NA
BP,GO:0034284,response to monosaccharide,0.002621219,0.001089472,NA,NA,NA,NA
BP,GO:0048925,lateral line system development,0.002641419,0.045539026,0.017990956,0.021772485,NA,NA
BP,GO:0055123,digestive system development,0.002728056,NA,0.009709655,9.66826e-4,0.002045862,0.016276608
BP,GO:1990778,protein localization to cell periphery,0.002952078,0.001613599,0.022314758,NA,NA,NA
BP,GO:1904263,positive regulation of TORC1 signaling,0.003117942,0.00917182,NA,NA,NA,NA
BP,GO:0051640,organelle localization,0.003183806,0.005696915,0.017545156,0.001869555,0.010749978,NA
BP,GO:0060914,heart formation,0.003264116,NA,NA,NA,NA,NA
BP,GO:0099518,vesicle cytoskeletal trafficking,0.003264116,0.032144181,0.021669076,NA,NA,NA
BP,GO:0048892,lateral line nerve development,0.003287662,NA,NA,NA,NA,NA
BP,GO:0006639,acylglycerol metabolic process,0.00339299,NA,NA,5.55045e-4,0.001607475,NA
BP,GO:0072657,protein localization to membrane,0.0034992,0.003714123,0.008225833,NA,NA,NA
BP,GO:0006638,neutral lipid metabolic process,0.003727951,NA,NA,7.29124e-4,6.84507e-4,NA
BP,GO:0016125,sterol metabolic process,0.0037313480000000002,NA,NA,NA,0.024691972,4.57e-7
BP,GO:0016049,cell growth,0.003939607,0.013631952,NA,NA,NA,NA
BP,GO:0042552,myelination,0.004152264,NA,NA,0.047033109,NA,NA
BP,GO:0072659,protein localization to plasma membrane,0.004182386,0.002613337,0.015639331,NA,NA,NA
BP,GO:1990138,neuron projection extension,0.004311657,0.003125536,NA,NA,NA,NA
BP,GO:0048588,developmental cell growth,0.004446504,0.002773125,NA,NA,NA,NA
