ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
MF,GO:0005096,GTPase activator activity,55/1639,257/20660,0.214007782,2.697620975,8.038735353,8.70E-12,7.44E-09,6.62E-09,zgc:92360/arhgap23b/rap1gap2b/arhgap32b/si:ch211-266k8.4/rab3gap1/ranbp2/tbc1d5/tbc1d4/acap2b/ect2/arhgap39/prex2/arhgap12b/stard13b/agfg1a/arhgap44a/tbc1d1/garnl3/myo9aa/rasa2/ranbp3b/rin2a/arhgap21b/tsc2/rap1gapa/rgs7a/agfg2/si:dkey-33c9.6/ralgapa2/arhgap15/arhgap42a/smap1/llgl2/sec23a/srgap1b/si:ch211-288d18.1/syngap1b/arhgap24/rin3/zgc:162872/chn1/ophn1/arhgap10/arhgap27l/tbcd/tbc1d22b/arhgap27/tbck/racgap1/agap2/elmod1/srgap1a/dock3/dab2ipb,55
MF,GO:0008047,enzyme activator activity,71/1639,435/20660,0.163218391,2.057408148,6.542902786,4.16E-09,1.78E-06,1.58E-06,zgc:92360/arhgap23b/ppp2r5cb/rap1gap2b/arhgap32b/si:ch211-266k8.4/rab3gap1/ranbp2/tbc1d5/tbc1d4/ccnk/acap2b/ect2/arhgap39/prex2/arhgap12b/stard13b/agfg1a/arhgap44a/sh3pxd2aa/gprc5bb/parp6b/tbc1d1/garnl3/myo9aa/wdr4/rasa2/ranbp3b/si:ch211-195h23.3/rin2a/arhgap21b/tsc2/camk1b/rap1gapa/rgs7a/ccnt2a/agfg2/si:dkey-33c9.6/ralgapa2/arhgap15/arhgap42a/smap1/llgl2/sec23a/srgap1b/si:ch211-288d18.1/syngap1b/naa25/arhgap24/rin3/zgc:162872/chn1/ophn1/psme4b/arhgap10/arhgap27l/tbcd/ppp2r5d/ncf2/tbc1d22b/tiprl/arhgap27/adrm1/tbck/racgap1/agap2/elmod1/srgap1a/rictorb/dock3/dab2ipb,71
CC,GO:0099572,postsynaptic specialization,37/1691,181/21740,0.20441989,2.628083026,6.387733031,4.66E-08,2.21E-05,1.88E-05,kalrnb/camk2g1/shank2b/gphna/gphnb/ppp1r9a/dbn1/gria4b/ctnnd2a/scrib/arhgap44a/dlgap4b/gria1a/camk2b1/usp8/si:dkey-40c11.2/camk2d2/grik1a/nlgn2a/grin2aa/dtnbp1a/ctnnd2b/add3a/dlg1b/grin3ba/gria1b/gria3b/shank3b/grin2da/adgrb1a/grin2bb/camk2g2/gria2b/nlgn3a/dlg3/dbnlb/grid2,37
BP,GO:0007411,axon guidance,54/1661,322/21022,0.167701863,2.122473553,5.945200288,1.05E-07,0.000145529,0.000132223,dzip1/anos1a/kalrnb/ank3a/evlb/lama4/ppp1r12a/nrcama/efna3a/robo3/sema5ba/hif1ab/epha3/nexn/scrib/ephb2b/robo2/sema6d/apc/spast/plxna2/vegfaa/tenm4/tenm3/tncb/unc5ca/nrxn2a/plxna3/nfasca/cntn2/cntn3a.2/plod3/dscaml1/kif5c/usp33/chodl/trioa/rest/rab33a/chn1/lamc1/ahi1/dscama/rtn4a/enah/cdh11/kif1b/unc5a/stat3/ext2/rbpms2b/si:ch211-113g11.6/sema5a/col15a1b,54
BP,GO:0097485,neuron projection guidance,54/1661,322/21022,0.167701863,2.122473553,5.945200288,1.05E-07,0.000145529,0.000132223,dzip1/anos1a/kalrnb/ank3a/evlb/lama4/ppp1r12a/nrcama/efna3a/robo3/sema5ba/hif1ab/epha3/nexn/scrib/ephb2b/robo2/sema6d/apc/spast/plxna2/vegfaa/tenm4/tenm3/tncb/unc5ca/nrxn2a/plxna3/nfasca/cntn2/cntn3a.2/plod3/dscaml1/kif5c/usp33/chodl/trioa/rest/rab33a/chn1/lamc1/ahi1/dscama/rtn4a/enah/cdh11/kif1b/unc5a/stat3/ext2/rbpms2b/si:ch211-113g11.6/sema5a/col15a1b,54
BP,GO:0051656,establishment of organelle localization,46/1661,258/21022,0.178294574,2.256537343,5.948087556,1.48E-07,0.000145529,0.000132223,clasp1a/exoc5/spire2/kif23/kat2b/npm1a/bbs5/ift88/scrib/ccdc186/dnm1b/psen2/sec16b/exoc6/klhl12/prkcz/rcc2/cadpsb/kif1aa/unc13a/si:ch211-235m3.5/picalma/spast/dtnbp1a/lrmp/llgl2/dctn1a/cadpsa/rab3ip/abraxas1/kif5c/snap91a/pard3ab/syne1b/dnm3a/baiap3/kif1b/terb1/snapin/diaph2/ndel1b/rhot1b/clasp2/inpp5e/snap91b/mdn1,46
MF,GO:0005085,guanyl-nucleotide exchange factor activity,45/1639,256/20660,0.17578125,2.215766092,5.745658422,3.42E-07,9.75E-05,8.67E-05,kalrnb/cyth1a/arhgef10/dennd4a/rasgrf1/vps9d1/arhgef12b/rapgef4a/ect2/prex2/rcc1l/tiam1a/rap1gds1/dennd4a/rin2a/dennd5a/dock10/dennd4c/vav2/arhgef12a/si:dkey-33c9.6/dock7/arhgef7a/mcf2a/dennd1a/dennd1c/fgd4a/rab3ip/rin3/rapgef1b/madd/arhgef10la/trioa/iqsec2b/sbf2/rgl2/ccdc88c/itsn1/rgl3a/mcf2l2/mcf2la/bcar3/iqsec1b/dock3/ralgds,45
BP,GO:0050808,synapse organization,42/1661,235/21022,0.178723404,2.261964723,5.698136487,4.74E-07,0.000350068,0.000318062,ank3a/tlcd3ba/ppfia3/gphna/gabrg1/gphnb/ppfibp1b/tjp1b/dbn1/gabrg2/ctnnd2a/sncb/arhgap44a/lgi2a/robo2/nedd4a/si:dkey-40c11.2/myo9aa/nlgn2a/cacna1da/plxna2/dock10/sdk2b/ctnnd2b/ctbp2a/tncb/ache/nrxn2a/plxna3/erc2/cntn3a.2/nbeaa/chodl/prkcg/sdk2a/pcloa/nlgn3a/dbnlb/gfpt1/cdh6/ptprsa/tanc2a,42
CC,GO:0014069,postsynaptic density,32/1691,162/21740,0.197530864,2.539515664,5.711908635,8.23E-07,0.000129736,0.000110401,kalrnb/camk2g1/shank2b/ppp1r9a/dbn1/gria4b/ctnnd2a/scrib/arhgap44a/gria1a/camk2b1/usp8/si:dkey-40c11.2/camk2d2/grik1a/grin2aa/dtnbp1a/ctnnd2b/add3a/dlg1b/grin3ba/gria1b/gria3b/shank3b/grin2da/adgrb1a/grin2bb/camk2g2/gria2b/dlg3/dbnlb/grid2,32
BP,GO:0051640,organelle localization,54/1661,344/21022,0.156976744,1.986733965,5.404713078,9.20E-07,0.000455436,0.000413796,clasp1a/exoc5/spire2/kif23/kat2b/nup98/npm1a/bbs5/ift88/scrib/stx1b/ccdc186/esyt2b/si:dkey-32e23.4/dnm1b/psen2/sec16b/exoc6/klhl12/prkcz/rcc2/cadpsb/kif1aa/unc13a/si:ch211-235m3.5/picalma/spast/rims1a/dtnbp1a/lrmp/llgl2/dctn1a/cadpsa/rab3ip/abraxas1/kif5c/snap91a/pard3ab/stx3b/syne1b/dnm3a/snphb/baiap3/kif1b/terb1/snapin/diaph2/ndel1b/rhot1b/clasp2/inpp5e/snap91b/mdn1/nsfa,54
