ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0007411,axon guidance,33/749,322/21022,0.102484472,2.876406637,6.521962666,5.77E-08,6.58E-05,6.08E-05,dzip1/lama4/nrcama/sema5ba/hif1ab/epha3/nexn/robo2/sema6d/ank3a/neo1a/spast/robo3/tenm3/unc5ca/plxna3/cdh2/plxnb1b/cntn3a.2/ppp1r12a/plod3/rbpms2b/usp33/scn8aa/rtn4a/mycbp2/unc5a/robo1/nfasca/slit3/nfasca/dscaml1/ext2,33
BP,GO:0097485,neuron projection guidance,33/749,322/21022,0.102484472,2.876406637,6.521962666,5.77E-08,6.58E-05,6.08E-05,dzip1/lama4/nrcama/sema5ba/hif1ab/epha3/nexn/robo2/sema6d/ank3a/neo1a/spast/robo3/tenm3/unc5ca/plxna3/cdh2/plxnb1b/cntn3a.2/ppp1r12a/plod3/rbpms2b/usp33/scn8aa/rtn4a/mycbp2/unc5a/robo1/nfasca/slit3/nfasca/dscaml1/ext2,33
MF,GO:0005085,guanyl-nucleotide exchange factor activity,28/732,256/20660,0.109375,3.087004781,6.439677233,1.34E-07,9.10E-05,8.36E-05,arhgef10/rasgrf1/vps9d1/dennd3a/arhgef12b/als2b/farp1/dock9b/si:dkey-191g9.5/arhgef25a/dennd4c/vav2/arhgef12a/arhgef7a/mcf2a/rin3/cyth3b/arhgef10la/sbf2/ccdc88c/itsn1/rapgefl1/mycbp2/rapgef6/plekhg5b/dock7/arhgef16/rasgrf2b,28
BP,GO:0051047,positive regulation of secretion,8/749,28/21022,0.285714286,8.01907305,7.143643387,4.13E-06,0.00235241,0.00217321,ptbp1a/c2cd2l/doc2g/cadpsa/doc2a/baiap3/cacna1ia/cacna1ha,8
BP,GO:1903532,positive regulation of secretion by cell,8/749,28/21022,0.285714286,8.01907305,7.143643387,4.13E-06,0.00235241,0.00217321,ptbp1a/c2cd2l/doc2g/cadpsa/doc2a/baiap3/cacna1ia/cacna1ha,8
BP,GO:0008038,neuron recognition,9/749,38/21022,0.236842105,6.647389502,6.697365281,5.68E-06,0.002590305,0.002392982,nexn/robo2/robo3/cdh2/cntn3a.2/erbb3b/mycbp2/robo1/dscaml1,9
BP,GO:0045921,positive regulation of exocytosis,6/749,15/21022,0.4,11.22670227,7.615664599,7.62E-06,0.002895013,0.002674478,ptbp1a/doc2g/cadpsa/doc2a/cacna1ia/cacna1ha,6
BP,GO:0048675,axon extension,14/749,101/21022,0.138613861,3.890441381,5.596831319,1.37E-05,0.003852901,0.003559398,sema5ba/ulk1b/robo2/myo9aa/zfyve27/spast/robo3/katna1/plxna3/plxnb1b/mycbp2/grnb/slit3/ext2,14
BP,GO:1990138,neuron projection extension,15/749,115/21022,0.130434783,3.660881175,5.499676272,1.44E-05,0.003852901,0.003559398,sema5ba/spag6/ulk1b/robo2/myo9aa/zfyve27/spast/robo3/katna1/plxna3/plxnb1b/mycbp2/grnb/slit3/ext2,15
BP,GO:0006814,sodium ion transport,20/749,190/21022,0.105263158,2.954395334,5.201544508,1.57E-05,0.003852901,0.003559398,wnk1a/slc13a5a/slc5a5/slc6a1a/tpcn3/atp1b3a/commd3/wnk2/slc6a6a/slc6a1b/slc17a6b/scn8ab/scn8aa/asic4a/atp1b4/cacna1ia/asic1c/slc9a1b/slc5a6a/cacna1ha,20
