ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0044282,small molecule catabolic process,17/322,269/21022,0.063197026,4.125862985,6.435393151,9.64E-07,0.001646396,0.001551317,zgc:85777/zgc:172295/hal/fah/decr1/acadm/gatd1/tdo2a/kmo/gls2b/adh8a/oat/aass/abcd3a/hpda/cyp24a1/haao,17
BP,GO:0009074,aromatic amino acid family catabolic process,6/322,35/21022,0.171428571,11.19183673,7.52628653,1.38E-05,0.006830239,0.006435794,hal/fah/tdo2a/kmo/hpda/haao,6
BP,GO:0016054,organic acid catabolic process,13/322,203/21022,0.064039409,4.18085855,5.679784948,1.60E-05,0.006830239,0.006435794,zgc:85777/hal/fah/decr1/acadm/tdo2a/kmo/gls2b/oat/aass/abcd3a/hpda/haao,13
BP,GO:0046395,carboxylic acid catabolic process,13/322,203/21022,0.064039409,4.18085855,5.679784948,1.60E-05,0.006830239,0.006435794,zgc:85777/hal/fah/decr1/acadm/tdo2a/kmo/gls2b/oat/aass/abcd3a/hpda/haao,13
BP,GO:1901606,alpha-amino acid catabolic process,9/322,106/21022,0.08490566,5.543126685,5.848411367,3.71E-05,0.012657268,0.011926313,hal/fah/tdo2a/kmo/gls2b/oat/aass/hpda/haao,9
BP,GO:0042537,benzene-containing compound metabolic process,4/322,14/21022,0.285714286,18.65306122,8.240643759,4.79E-05,0.013629255,0.012842167,fah/tdo2a/kmo/haao,4
BP,GO:0009063,amino acid catabolic process,9/322,116/21022,0.077586207,5.065270936,5.475861637,7.53E-05,0.016691793,0.015727845,hal/fah/tdo2a/kmo/gls2b/oat/aass/hpda/haao,9
BP,GO:0043605,amide catabolic process,4/322,16/21022,0.25,16.32142857,7.646400135,8.50E-05,0.016691793,0.015727845,pm20d1.2/hal/tdo2a/aass,4
BP,GO:0009072,aromatic amino acid metabolic process,6/322,48/21022,0.125,8.160714286,6.194493217,8.80E-05,0.016691793,0.015727845,hal/fah/tdo2a/kmo/hpda/haao,6
BP,GO:0032787,monocarboxylic acid metabolic process,17/322,389/21022,0.043701799,2.853103195,4.601110524,0.000114963,0.01962425,0.018490953,zgc:85777/acot20/pm20d1.2/hpgd/acsl1a/hal/fah/decr1/pparaa/acadm/gatd1/acsf3/kmo/pdk2a/peds1/abcd3a/haao,17
BP,GO:0006520,amino acid metabolic process,13/322,280/21022,0.046428571,3.031122449,4.267359746,0.000409495,0.063546201,0.059876419,pm20d1.2/hal/fah/cars1/apip/tdo2a/kmo/gtpbp3/gls2b/oat/aass/hpda/haao,13
BP,GO:0006631,fatty acid metabolic process,12/322,249/21022,0.048192771,3.146299484,4.249226031,0.000487312,0.069320073,0.065316851,zgc:85777/acot20/pm20d1.2/hpgd/acsl1a/decr1/pparaa/acadm/acsf3/pdk2a/peds1/abcd3a,12
BP,GO:1901605,alpha-amino acid metabolic process,10/322,193/21022,0.051813472,3.382679497,4.147434361,0.000817971,0.107405919,0.101203246,hal/fah/apip/tdo2a/kmo/gls2b/oat/aass/hpda/haao,10
BP,GO:0007005,mitochondrion organization,12/322,271/21022,0.044280443,2.890880337,3.907496748,0.001022485,0.117286322,0.110513058,ndufb8/mtfr1l/msto1/micu1/cox18/mffa/tafazzin/immt/phb2a/letm2/tmem70/ndufa12,12
BP,GO:0170039,proteinogenic amino acid metabolic process,9/322,165/21022,0.054545455,3.561038961,4.119093841,0.001030636,0.117286322,0.110513058,hal/fah/apip/kmo/gls2b/oat/aass/hpda/haao,9
BP,GO:0043650,dicarboxylic acid biosynthetic process,3/322,14/21022,0.214285714,13.98979592,6.063780061,0.001143314,0.121977304,0.114933136,kmo/gls2b/haao,3
BP,GO:0170033,L-amino acid metabolic process,9/322,170/21022,0.052941176,3.456302521,4.01053126,0.001270379,0.127561009,0.120194383,hal/fah/apip/kmo/gls2b/oat/aass/hpda/haao,9
