ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0042692,muscle cell differentiation,31/720,349/21022,0.088825215,2.593449538,5.652919468,1.41E-06,0.003141705,0.002945148,dmd/mrtfba/mef2aa/mef2d/dusp27/pygma/hnrnpl2/neb/mbnl2/nexn/mybpc2b/lrrc39/mybpc3/myo9aa/alpk2/nfixa/wasla/mrtfbb/si:dkeyp-69b9.3/flncb/mybphb/fhod3a/ttn.1/ppp2r2d/mapk14b/myot/qkia/rbpms2b/nrap/rbfox1l/vcla,31
BP,GO:0051146,striated muscle cell differentiation,26/720,282/21022,0.092198582,2.691942474,5.386780679,5.04E-06,0.003141705,0.002945148,dmd/mef2aa/mef2d/dusp27/pygma/hnrnpl2/neb/nexn/mybpc2b/lrrc39/mybpc3/myo9aa/alpk2/nfixa/wasla/flncb/mybphb/fhod3a/ttn.1/ppp2r2d/mapk14b/myot/qkia/nrap/rbfox1l/vcla,26
BP,GO:0007517,muscle organ development,25/720,271/21022,0.092250923,2.693470685,5.284042912,7.55E-06,0.003141705,0.002945148,spega/dmd/fermt2/lama4/pygma/hnrnpl2/mbnl2/dpf3/lrrc39/hdgfl2/mybpc3/myo9aa/large1/nfixa/postnb/pleca/lamc1/hspg2/arhgef28a/ttn.1/myot/qkia/mylpfa/fbxo32/rbfox1l,25
BP,GO:0010927,cellular component assembly involved in morphogenesis,17/720,142/21022,0.11971831,3.495442097,5.618882428,7.56E-06,0.003141705,0.002945148,dmd/mef2aa/mef2d/dusp27/neb/mybpc2b/agfg1a/lrrc39/mybpc3/flncb/mybphb/fhod3a/ttn.1/myot/qkia/nrap/vcla,17
BP,GO:0032989,cellular anatomical entity morphogenesis,17/720,142/21022,0.11971831,3.495442097,5.618882428,7.56E-06,0.003141705,0.002945148,dmd/mef2aa/mef2d/dusp27/neb/mybpc2b/agfg1a/lrrc39/mybpc3/flncb/mybphb/fhod3a/ttn.1/myot/qkia/nrap/vcla,17
BP,GO:0055002,striated muscle cell development,23/720,238/21022,0.096638655,2.821580299,5.322255933,8.12E-06,0.003141705,0.002945148,dmd/mef2aa/mef2d/dusp27/pygma/hnrnpl2/neb/nexn/mybpc2b/lrrc39/mybpc3/myo9aa/alpk2/nfixa/flncb/mybphb/fhod3a/ttn.1/myot/qkia/nrap/rbfox1l/vcla,23
BP,GO:0030239,myofibril assembly,16/720,133/21022,0.120300752,3.512447786,5.473782832,1.31E-05,0.004337696,0.004066314,dmd/mef2aa/mef2d/dusp27/neb/mybpc2b/lrrc39/mybpc3/flncb/mybphb/fhod3a/ttn.1/myot/qkia/nrap/vcla,16
BP,GO:0043254,regulation of protein-containing complex assembly,18/720,170/21022,0.105882353,3.091470588,5.15615408,2.27E-05,0.006335005,0.005938663,napbb/twf1b/dbn1/evlb/svila/camsap1b/aida/napab/si:ch211-176g13.8/zgc:66447/vegfaa/add3a/clip1a/svilc/dbnlb/twf2b/nek7/arpc3,18
BP,GO:0044087,regulation of cellular component biogenesis,29/720,364/21022,0.07967033,2.32615232,4.806439579,2.46E-05,0.006335005,0.005938663,napbb/twf1b/dbn1/evlb/rab3gap1/abcc4/svila/camsap1b/aida/tapt1b/napab/si:ch211-176g13.8/macf1a/zgc:66447/pla2g6/vegfaa/dock11/add3a/arhgap24/ift74/clip1a/akirin1/svilc/mycbp2/tesk1b/dbnlb/twf2b/nek7/arpc3,29
BP,GO:0045214,sarcomere organization,11/720,71/21022,0.154929577,4.523513302,5.60049268,2.78E-05,0.006444651,0.006041449,dmd/neb/mybpc2b/lrrc39/mybpc3/flncb/mybphb/fhod3a/ttn.1/nrap/vcla,11
