ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0010927,cellular component assembly involved in morphogenesis,24/678,142/21022,0.169014085,5.240433753,9.255770279,2.78E-11,3.08E-08,2.84E-08,mef2aa/mef2d/dusp27/neb/ttn.2/mybpc2b/agfg1a/lrrc39/mybpha/mybpc3/unc45b/smo/myo18ab/lmod2b/mybphb/fhod3a/csrp2/ttn.1/tnni2a.4/myot/tnnt1/dmd/myom2a/vcla,24
BP,GO:0032989,cellular anatomical entity morphogenesis,24/678,142/21022,0.169014085,5.240433753,9.255770279,2.78E-11,3.08E-08,2.84E-08,mef2aa/mef2d/dusp27/neb/ttn.2/mybpc2b/agfg1a/lrrc39/mybpha/mybpc3/unc45b/smo/myo18ab/lmod2b/mybphb/fhod3a/csrp2/ttn.1/tnni2a.4/myot/tnnt1/dmd/myom2a/vcla,24
BP,GO:0030239,myofibril assembly,23/678,133/21022,0.172932331,5.361922505,9.21230484,4.45E-11,3.28E-08,3.03E-08,mef2aa/mef2d/dusp27/neb/ttn.2/mybpc2b/lrrc39/mybpha/mybpc3/unc45b/smo/myo18ab/lmod2b/mybphb/fhod3a/csrp2/ttn.1/tnni2a.4/myot/tnnt1/dmd/myom2a/vcla,23
BP,GO:0042692,muscle cell differentiation,37/678,349/21022,0.106017192,3.287158421,7.865576656,2.39E-10,1.32E-07,1.22E-07,mef2aa/mef2d/dusp27/neb/mbnl2/ttn.2/wasla/mybpc2b/lrrc39/mybpha/plekho1b/mybpc3/alpk2/apc/unc45b/nfixa/mrtfbb/si:dkeyp-69b9.3/smo/myo18ab/lmod2b/mybphb/fhod3a/csrp2/pbx4/ttn.1/ppp2r2d/tnni2a.4/mapk14b/myot/mef2cb/rbpms2b/tnnt1/dmd/sox6/myom2a/vcla,37
BP,GO:0031032,actomyosin structure organization,25/678,191/21022,0.130890052,4.058363836,7.751292637,2.88E-09,1.07E-06,9.89E-07,mef2aa/mef2d/dusp27/neb/ttn.2/mybpc2b/lrrc39/mybpha/mybpc3/unc45b/smo/myo18ab/lmod2b/mybphb/gna13a/fhod3a/csrp2/ttn.1/tnni2a.4/myot/tesk1b/tnnt1/dmd/myom2a/vcla,25
BP,GO:0051146,striated muscle cell differentiation,31/678,282/21022,0.109929078,3.408449968,7.433291538,2.90E-09,1.07E-06,9.89E-07,mef2aa/mef2d/dusp27/neb/ttn.2/wasla/mybpc2b/lrrc39/mybpha/plekho1b/mybpc3/alpk2/unc45b/nfixa/smo/myo18ab/lmod2b/mybphb/fhod3a/csrp2/pbx4/ttn.1/ppp2r2d/tnni2a.4/mapk14b/myot/mef2cb/tnnt1/dmd/myom2a/vcla,31
BP,GO:0055002,striated muscle cell development,27/678,238/21022,0.113445378,3.517476017,7.130378976,1.56E-08,4.93E-06,4.56E-06,mef2aa/mef2d/dusp27/neb/ttn.2/mybpc2b/lrrc39/mybpha/mybpc3/alpk2/unc45b/nfixa/smo/myo18ab/lmod2b/mybphb/fhod3a/csrp2/pbx4/ttn.1/tnni2a.4/myot/mef2cb/tnnt1/dmd/myom2a/vcla,27
BP,GO:0055001,muscle cell development,29/678,282/21022,0.102836879,3.18854997,6.754605738,4.17E-08,1.15E-05,1.07E-05,mef2aa/mef2d/dusp27/neb/mbnl2/ttn.2/mybpc2b/lrrc39/mybpha/mybpc3/alpk2/apc/unc45b/nfixa/smo/myo18ab/lmod2b/mybphb/fhod3a/csrp2/pbx4/ttn.1/tnni2a.4/myot/mef2cb/tnnt1/dmd/myom2a/vcla,29
BP,GO:0045214,sarcomere organization,14/678,71/21022,0.197183099,6.113839378,7.879474211,5.07E-08,1.25E-05,1.15E-05,neb/ttn.2/mybpc2b/lrrc39/mybpha/mybpc3/mybphb/fhod3a/csrp2/ttn.1/tnnt1/dmd/myom2a/vcla,14
BP,GO:0140694,non-membrane-bounded organelle assembly,27/678,301/21022,0.089700997,2.781260106,5.682358022,1.83E-06,0.000404004,0.000373697,mef2aa/mef2d/dusp27/neb/ttn.2/mybpc2b/lrrc39/mybpha/mybpc3/efl1/unc45b/smo/myo18ab/lmod2b/mybphb/fhod3a/csrp2/ttn.1/tnni2a.4/myot/clasp2/atxn2/mapre2/tnnt1/dmd/myom2a/vcla,27
BP,GO:0032984,protein-containing complex disassembly,17/678,172/21022,0.098837209,3.064536599,4.963147011,4.35E-05,0.008009085,0.007408261,eef2k/twf1b/pcf11/snx14/rubcn/svila/napab/apc/camsap2a/add3a/lmod2b/fyco1a/zfand1/svilc/clec16a/twf2b/gak,17
BP,GO:0043244,regulation of protein-containing complex disassembly,12/678,93/21022,0.129032258,4.000761252,5.294464468,4.40E-05,0.008009085,0.007408261,twf1b/pcf11/rubcn/svila/apc/camsap2a/add3a/lmod2b/fyco1a/svilc/clec16a/twf2b,12
BP,GO:0060537,muscle tissue development,24/678,301/21022,0.079734219,2.472231206,4.696531838,4.71E-05,0.008009085,0.007408261,fermt2/neb/ttn.2/mybpc2b/dpf3/lrrc39/mybpc3/alpk2/unc45b/nfixa/smo/myo18ab/fhod3a/csrp2/fbxo32/pleca/hspg2/pbx4/ttn.1/myot/mef2cb/dmd/sox6/myl1,24
