ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0002098,tRNA wobble uridine modification,5/357,22/21022,0.227272727,13.38298956,7.6378353,2.85E-05,0.037635535,0.037355253,elp3/kti12/elp2/elp5/gtpbp3,5
BP,GO:0002097,tRNA wobble base modification,5/357,24/21022,0.208333333,12.26774043,7.259330651,4.48E-05,0.037635535,0.037355253,elp3/kti12/elp2/elp5/gtpbp3,5
BP,GO:0008033,tRNA processing,10/357,132/21022,0.075757576,4.46099652,5.242784389,8.77E-05,0.041495782,0.041186752,elp3/kti12/elp2/trmt1l/wdr4/elp5/tsen54/trmt12/gtpbp3/pop4,10
BP,GO:0006400,tRNA modification,8/357,85/21022,0.094117647,5.542132147,5.515121581,9.87E-05,0.041495782,0.041186752,elp3/kti12/elp2/trmt1l/wdr4/elp5/trmt12/gtpbp3,8
BP,GO:0006399,tRNA metabolic process,11/357,202/21022,0.054455446,3.2066173,4.141955516,0.000706053,0.237516261,0.235747412,elp3/kti12/elp2/trmt1l/wdr4/elp5/aars2/tsen54/trmt12/gtpbp3/pop4,11
BP,GO:0048532,anatomical structure arrangement,3/357,13/21022,0.230769231,13.58888171,5.967593437,0.001223914,0.319357706,0.316979361,camk2g1/pi4kb/camk2g2,3
BP,GO:0043414,macromolecule methylation,7/357,98/21022,0.071428571,4.206082433,4.181272345,0.001416047,0.319357706,0.316979361,setd6/smyd2b/trmt1l/wdr4/trmt12/gtpbp3/ntmt2,7
BP,GO:0043484,regulation of RNA splicing,8/357,128/21022,0.0625,3.680322129,3.997829524,0.001563364,0.319357706,0.316979361,mbnl2/cirbpb/rbfox1/hnrpkl/ythdc1/mbnl1/clk4a/rbm8a,8
BP,GO:1905475,regulation of protein localization to membrane,4/357,31/21022,0.129032258,7.598084395,4.831981226,0.001791072,0.319357706,0.316979361,camk2g1/c2cd5/camk2d1/camk2g2,4
BP,GO:1903076,regulation of protein localization to plasma membrane,3/357,15/21022,0.2,11.77703081,5.487895408,0.001898678,0.319357706,0.316979361,camk2g1/camk2d1/camk2g2,3
BP,GO:1904375,regulation of protein localization to cell periphery,3/357,16/21022,0.1875,11.04096639,5.280887471,0.002307611,0.343425986,0.340868398,camk2g1/camk2d1/camk2g2,3
BP,GO:0032880,regulation of protein localization,7/357,108/21022,0.064814815,3.816630356,3.857147712,0.002472233,0.343425986,0.340868398,camk2g1/pxna/afdna/c2cd5/uhmk1/camk2d1/camk2g2,7
BP,GO:0006611,protein export from nucleus,3/357,17/21022,0.176470588,10.39149778,5.091445122,0.002767087,0.343425986,0.340868398,desi1a/uhmk1/xpo4,3
BP,GO:0009451,RNA modification,8/357,143/21022,0.055944056,3.294274353,3.618275331,0.003124293,0.343425986,0.340868398,elp3/kti12/elp2/trmt1l/wdr4/elp5/trmt12/gtpbp3,8
BP,GO:0072114,pronephros morphogenesis,4/357,36/21022,0.111111111,6.542794896,4.374801112,0.003137169,0.343425986,0.340868398,camk2g1/pi4kb/invs/camk2g2,4
BP,GO:0050684,regulation of mRNA processing,6/357,86/21022,0.069767442,4.108266562,3.7963279,0.003458475,0.343425986,0.340868398,cirbpb/rbfox1/hnrpkl/ythdc1/si:ch211-220i18.4/rbm8a,6
BP,GO:0030488,tRNA methylation,4/357,37/21022,0.108108108,6.365962601,4.293753477,0.003471012,0.343425986,0.340868398,trmt1l/wdr4/trmt12/gtpbp3,4
BP,GO:0048168,regulation of neuronal synaptic plasticity,3/357,21/21022,0.142857143,8.412164866,4.466607799,0.005147186,0.480975932,0.477393972,camk2g1/camk2d1/camk2g2,3
BP,GO:0032868,response to insulin,5/357,70/21022,0.071428571,4.206082433,3.531458046,0.006746496,0.581556612,0.5772256,grb10b/socs7/khk/slc39a14/pik3r2,5
BP,GO:0141188,nucleic acid catabolic process,10/357,234/21022,0.042735043,2.516459575,3.066023658,0.006915061,0.581556612,0.5772256,rnaseh1/ythdc1/endog/tbrg4/cnot3a/plex9.2/smg1/gtpbp3/ythdf1/rbm8a,10
BP,GO:0048675,axon extension,6/357,101/21022,0.059405941,3.498127964,3.307708562,0.007552464,0.60491643,0.600411451,hnrnpr/myo10l1/zfyve27/mycbp2/grnb/fus,6
