ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
CC,GO:0098798,mitochondrial protein-containing complex,60/3237,113/19331,0.530973451,3.170913743,10.37965631,9.12E-19,4.78E-16,4.18E-16,mrpl44/timm50/mrpl10/tomm40/mrpl58/mrpl43/mrpl34/mrpl22/timm29/mrps24/timm22/micos10/chchd6a/mrps22/mrpl47/mrpl52/mrps35/mrpl41/timm13/dnajc15/tomm20a/mrps5/mrps7/mrpl32/mrps31/mrps26/smdt1b/mrpl12/mrpl46/mrpl51/hadhb/apoob/pam16/mrps6/grpel1/mrpl24/agk/hadhab/afg3l2/mrps14/mrpl2/mrpl21/mrps18c/supv3l1/mrps28/mrpl17/mrpl54/immp2l/mrps11/nsun4/mrps17/tomm6/mrpl13/micu3a/mrps9/mrpl27/mrps10/micu1/mrpl53/chchd3a,60
CC,GO:0000313,organellar ribosome,39/3237,62/19331,0.629032258,3.756509911,9.749471922,4.62E-16,8.08E-14,7.06E-14,mrpl44/mrpl10/mrpl58/mrpl43/mrpl34/mrpl22/mrps24/mrps22/mrpl47/mrpl52/mrps35/mrpl41/mrpl20/mrps5/mrps7/mrpl32/mrps31/mrps26/mrpl12/mrpl46/mrpl57/mrpl51/mrps6/mrpl24/mrps14/mrpl2/mrpl21/mrps18c/mrps28/mrpl17/mrpl54/mrps11/nsun4/mrps17/mrpl13/mrps9/mrpl27/mrps10/mrpl53,39
CC,GO:0005761,mitochondrial ribosome,39/3237,62/19331,0.629032258,3.756509911,9.749471922,4.62E-16,8.08E-14,7.06E-14,mrpl44/mrpl10/mrpl58/mrpl43/mrpl34/mrpl22/mrps24/mrps22/mrpl47/mrpl52/mrps35/mrpl41/mrpl20/mrps5/mrps7/mrpl32/mrps31/mrps26/mrpl12/mrpl46/mrpl57/mrpl51/mrps6/mrpl24/mrps14/mrpl2/mrpl21/mrps18c/mrps28/mrpl17/mrpl54/mrps11/nsun4/mrps17/mrpl13/mrps9/mrpl27/mrps10/mrpl53,39
CC,GO:0005740,mitochondrial envelope,145/3237,457/19331,0.317286652,1.894800207,8.681754063,1.24E-15,1.63E-13,1.42E-13,cox4i2/slc25a48/timm50/oxa1l/uqcc6/cyc1/hk2/mul2/tomm40/triap1/tomm22/spata18/adck1/nme3/fundc1/hccsb/atpsckmt/uqcrq/cisd2/mcl1b/yme1l1a/timm29/maip1/ndufb10/bnip3lb/alas2/slc25a19/coq4/tmem14a/uqcr10/atp5mea/slc25a4/abcb8/cmc4/lpin1a/acad11/timm22/qtrt1/zgc:112052/micos10/coa7/chchd6a/zgc:56235/mgst1.2/flvcr2b/pet100/coa3a/timm8a/becn1/timm13/atp5pd/timm10/hk1/slc25a12/dnajc15/ndufc2/ndufa8/tomm20a/uqcrh/mpc1/samm50/gdap1/coq5/cox8a/vdac3/tigarb/ndufv1/tamm41/slc25a33/mtch2/cox17/smdt1b/alas1/ndufb8/atp5meb/kmo/atp5f1d/uqcc4/tmem14ca/coq10b/zgc:172295/slc25a42/hadhb/apoob/cox14/pam16/zdhhc8b/grpel1/them4/cox5aa/agk/mfn1b/slc25a18/afg3l2/thop1/prelid1a/tmem186/chchd4a/rcc1l/dhodh/agpat4/ngrn/cox5ba/atp5pf/rhot2/ndufs5/vdac2/immp2l/timmdc1/atp5f1c/uqcrb/ciapin1/ndufb7/cox7a1/rps6kb1b/cox4i1/atp5po/armc1/sfxn4/cox15/cox6a2/ckmt1/tomm6/micu3a/ndufaf3/nat8l/zgc:73226/ak2/micu1/cox5b2/ndufb3/fkbp8/cox7b/cox20/cox6a1/prelid1b/slc25a43/ppox/sdhdb/atp5mc3b/sfxn1/atp5mf/fech/mpv17l2/chchd3a,145
CC,GO:0031966,mitochondrial membrane,132/3237,426/19331,0.309859155,1.85044403,7.960080753,1.74E-13,1.83E-11,1.60E-11,cox4i2/slc25a48/timm50/oxa1l/uqcc6/cyc1/hk2/mul2/tomm40/tomm22/spata18/adck1/nme3/fundc1/hccsb/atpsckmt/uqcrq/cisd2/mcl1b/yme1l1a/timm29/maip1/ndufb10/bnip3lb/alas2/slc25a19/coq4/tmem14a/uqcr10/atp5mea/slc25a4/abcb8/lpin1a/acad11/timm22/qtrt1/zgc:112052/micos10/chchd6a/zgc:56235/mgst1.2/flvcr2b/pet100/coa3a/timm8a/becn1/timm13/atp5pd/timm10/hk1/slc25a12/dnajc15/ndufc2/ndufa8/tomm20a/uqcrh/mpc1/samm50/gdap1/coq5/cox8a/vdac3/tigarb/ndufv1/tamm41/slc25a33/mtch2/smdt1b/alas1/ndufb8/atp5meb/kmo/atp5f1d/uqcc4/tmem14ca/coq10b/zgc:172295/slc25a42/hadhb/apoob/cox14/pam16/zdhhc8b/grpel1/them4/cox5aa/agk/mfn1b/slc25a18/afg3l2/tmem186/rcc1l/dhodh/agpat4/ngrn/atp5pf/rhot2/ndufs5/vdac2/immp2l/timmdc1/atp5f1c/uqcrb/ndufb7/cox7a1/rps6kb1b/cox4i1/atp5po/armc1/sfxn4/cox15/cox6a2/ckmt1/tomm6/micu3a/ndufaf3/nat8l/zgc:73226/micu1/ndufb3/cox7b/cox20/cox6a1/slc25a43/ppox/sdhdb/atp5mc3b/sfxn1/atp5mf/fech/mpv17l2/chchd3a,132
CC,GO:0005759,mitochondrial matrix,68/3237,169/19331,0.402366864,2.402889665,8.214889546,2.95E-13,2.58E-11,2.25E-11,mrpl44/mrpl10/got2a/acadm/mrpl58/mrpl43/mrpl34/mrpl22/hspe1/mrps24/alas2/lyrm7/bola3/mrps22/dhx30/mrpl47/dlat/pyroxd2/mrpl52/adprs/atad3/mrps35/mrpl41/mrpl20/dnajc15/mrps5/mrps7/fastk/mrpl32/mrps31/mrps26/pccb/mrpl12/mrpl46/mrpl57/alas1/dlst/mrpl51/hadhb/mrps6/grpel1/mrpl24/hadhab/mrps14/mrpl2/mrpl21/mrps18c/c1qbp/supv3l1/pdk2a/mrps28/sod2/mrpl17/mrpl54/mlycd/mrps11/acadl/nsun4/mrps17/hspa9/mrpl13/mrps9/mrpl27/mrps10/ndufa10/aldh2.2/tbrg4/mrpl53,68
BP,GO:0006412,translation,138/3139,473/18773,0.291754757,1.744858888,7.351820703,6.27E-12,1.92E-08,1.73E-08,ptcd3/abce1/mif4gdb/trim2a/mrpl44/mrpl30/mrpl10/eif4a2/lrpprc/rpl5a/gars1/tsfm/hars/nars2/polr2g/mars1/mrpl58/ssb/mrpl43/mrpl49/eef2k/mrpl34/eif3eb/mrpl22/eef1b2/mrps24/nanos1/rida/mrps21/gspt1l/etf1b/pdf/eif4ba/ogfod1/mrpl47/srp9/mrps18b/eif4e1c/mrpl52/coa3a/eif4h/mrps35/rps27.1/gtpbp1l/eif1ad/aarsd1/mrpl41/rars1/rmnd1/mrpl20/supt5h/nars1/mrps5/mrps7/mrpl18/caprin1a/eef1da/mrpl32/mrpl9/gfm2/mrpl37/ngdn/mtrfr/ncbp2/trmt10c/cnot7/mrpl12/farsb/eif2s3/eif4a1a/mrpl33/mrpl51/eef2b/aars1/eif4eb/mettl5/mrps6/cnbpa/mrpl24/ddx61/dap1b/eif2b1/dhx29/mrps14/trnau1apb/eif4a3/sars1/mrpl2/rpl3/rpl22l1/mrps23/rcc1l/yars1/eef1e1/mrps18c/magoh/mrps12/rpl19/qars1/drg1/mcts1/vars1/mrpl17/lars1b/mrps11/igf2bp2a/tars1/mrps17/eif4g2a/eif5a/mettl17/eefsec/cnot9/skic8/eif3ba/rpl35/mrpl13/gfm1/mrps9/rps13/mrpl27/mrps10/cnot6l/dap/supt6h/zc3h15/pcif1/iars1/msi1b/rps9/eif3c/igf2bp1/impact/farsa/ddrgk1/larp1b/denr/trim3b,138
BP,GO:0022613,ribonucleoprotein complex biogenesis,101/3139,319/18773,0.31661442,1.893533771,7.212352285,2.78E-11,4.27E-08,3.83E-08,las1l/mrm1/mrpl44/tsr1/nup88/rpl5a/imp3/srfbp1/nop10/c1d/prmt7/grwd1/gemin5/fcf1/rrs1/eif3eb/mphosph10/utp6/snrpd2/ruvbl2/tsr2/riok2/yju2/exosc7/rrp36/xpo1b/snrpe/xpo1a/tma16/rps27.1/snrpd3l/pop7/mak16/exosc6/bud23/exosc2/ran/ptges3a/mrps7/emg1/bxdc2/snrpc/pih1d1/ngdn/prpf31/npm1a/znf593/wdr75/ddx31/prpf39/nop2/eif2s3/mettl5/zgc:86811/rrp1/noc4l/pak1ip1/polr1d/gtpbp10/trnau1apb/wdr3/dcaf13/nip7/trmt2b/rpf2/clns1a/mrto4/nop14/ftsj3/c1qbp/ddx54/mcts1/rrp7a/ybey/clp1/mtg2/sbds/pop5/nsun4/sart1/ddx28/eif3ba/rpl7l1/rpl35/ddx49/nop16/aar2/ruvbl1/isy1/srpk1b/dimt1l/lsm4/ddx10/tsr3/dkc1/rps9/eif3c/znhit3/riok1/mpv17l2/denr,101
CC,GO:0005743,mitochondrial inner membrane,87/3237,266/19331,0.327067669,1.953211342,7.020481396,1.11E-10,8.32E-09,7.27E-09,cox4i2/slc25a48/timm50/oxa1l/uqcc6/cyc1/adck1/hccsb/uqcrq/yme1l1a/timm29/maip1/ndufb10/alas2/slc25a19/coq4/uqcr10/atp5mea/slc25a4/abcb8/timm22/micos10/chchd6a/pet100/coa3a/timm8a/timm13/atp5pd/timm10/slc25a12/dnajc15/ndufc2/ndufa8/uqcrh/mpc1/coq5/cox8a/ndufv1/tamm41/slc25a33/smdt1b/alas1/ndufb8/atp5meb/atp5f1d/uqcc4/coq10b/slc25a42/apoob/pam16/grpel1/them4/cox5aa/agk/slc25a18/afg3l2/tmem186/rcc1l/dhodh/atp5pf/ndufs5/immp2l/atp5f1c/uqcrb/ndufb7/cox7a1/cox4i1/atp5po/sfxn4/cox15/cox6a2/ckmt1/micu3a/ndufaf3/micu1/ndufb3/cox7b/cox20/cox6a1/slc25a43/ppox/sdhdb/sfxn1/atp5mf/fech/mpv17l2/chchd3a,87
CC,GO:0005840,ribosome,64/3237,177/19331,0.361581921,2.159326572,6.948930369,3.28E-10,2.15E-08,1.88E-08,ptcd3/mrpl44/mrpl30/mrpl10/rpl5a/mrpl58/mrpl43/mrpl49/mrpl34/mrpl22/mrps24/mrps21/mrps22/mrpl47/mrps18b/mrpl52/mrps35/rps27.1/mrpl41/mrpl20/mrps5/mrps7/mrpl18/mrpl32/mrpl9/mrps31/mrpl37/mrps26/mrpl12/mrpl46/mrpl57/mrpl33/mrps27/mrpl51/mrps6/mrpl24/mrps14/mrpl2/rpl3/rpl22l1/mrps23/mrpl21/mrps18c/mrps12/rpl19/mrps28/hspa14/mrpl17/mrpl54/mrps11/mrps25/mrpl39/nsun4/mrps17/rpl7l1/rpl35/mrpl13/mrps9/rps13/mrpl27/mrps10/mrpl1/rps9/mrpl53,64
