ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0008203,cholesterol metabolic process,14/622,75/18773,0.186666667,5.633912111,7.443565824,1.44E-07,0.000294591,0.000271583,nsdhl/hmgcs1/hsd17b7/insig1/dhcr7/mvda/apoa4b.2/cyp51/lss/sqlea/soat1/nfe2l1b/ldlra/sc5d,14
MF,GO:0017017,MAP kinase tyrosine/serine/threonine phosphatase activity,7/613,16/18430,0.4375,13.15354812,9.020961705,3.83E-07,0.000105005,0.000100686,dusp2/dusp5/dusp8a/dusp1/dusp16/dusp4/si:ch1073-184j22.2,7
BP,GO:0016125,sterol metabolic process,14/622,82/18773,0.170731707,5.152968395,6.976690708,4.57E-07,0.000294591,0.000271583,nsdhl/hmgcs1/hsd17b7/insig1/dhcr7/mvda/apoa4b.2/cyp51/lss/sqlea/soat1/nfe2l1b/ldlra/sc5d,14
BP,GO:1902652,secondary alcohol metabolic process,14/622,82/18773,0.170731707,5.152968395,6.976690708,4.57E-07,0.000294591,0.000271583,nsdhl/hmgcs1/hsd17b7/insig1/dhcr7/mvda/apoa4b.2/cyp51/lss/sqlea/soat1/nfe2l1b/ldlra/sc5d,14
MF,GO:0008330,protein tyrosine/threonine phosphatase activity,6/613,11/18430,0.545454545,16.39922883,9.476023378,5.29E-07,0.000105005,0.000100686,dusp2/dusp5/dusp8a/dusp1/dusp16/dusp4,6
MF,GO:0033550,MAP kinase tyrosine phosphatase activity,6/613,11/18430,0.545454545,16.39922883,9.476023378,5.29E-07,0.000105005,0.000100686,dusp2/dusp5/dusp8a/dusp1/dusp16/dusp4,6
BP,GO:0008202,steroid metabolic process,17/622,124/18773,0.137096774,4.137809874,6.489479729,7.19E-07,0.000294591,0.000271583,nsdhl/hmgcs1/hsd17b7/insig1/dhcr7/hsd17b12a/mvda/apoa4b.2/cyp51/lss/sqlea/soat1/nfe2l1b/ldlra/hsd11b2/sc5d/dhcr24,17
BP,GO:0006695,cholesterol biosynthetic process,8/622,25/18773,0.32,9.658135048,8.018942036,9.12E-07,0.000294591,0.000271583,hmgcs1/hsd17b7/insig1/dhcr7/mvda/cyp51/lss/sc5d,8
BP,GO:1902653,secondary alcohol biosynthetic process,8/622,25/18773,0.32,9.658135048,8.018942036,9.12E-07,0.000294591,0.000271583,hmgcs1/hsd17b7/insig1/dhcr7/mvda/cyp51/lss/sc5d,8
BP,GO:0006066,alcohol metabolic process,20/622,170/18773,0.117647059,3.550784944,6.184534255,9.45E-07,0.000294591,0.000271583,nsdhl/hmgcs1/hsd17b7/adh8a/insig1/nus1/dhcr7/mvda/dhdds/apoa4b.2/cyp51/lss/sqlea/gch2/soat1/dgat2/nfe2l1b/ldlra/hsd11b2/sc5d,20
BP,GO:0016126,sterol biosynthetic process,9/622,36/18773,0.25,7.545418006,7.27677247,1.92E-06,0.000523307,0.000482435,hmgcs1/hsd17b7/insig1/dhcr7/mvda/cyp51/lss/sqlea/sc5d,9
MF,GO:0004722,protein serine/threonine phosphatase activity,14/613,95/18430,0.147368421,4.430668842,6.218189827,2.98E-06,0.000443947,0.000425687,dusp2/pdp1/dusp5/dusp8a/dusp1/ppm1db/dusp16/ssh2a/dusp4/ssh2b/pdp2/ppm1ka/si:ch211-203d1.3/ppp1r3da,14
BP,GO:0008610,lipid biosynthetic process,32/622,394/18773,0.081218274,2.451303312,5.389463624,3.12E-06,0.000756755,0.00069765,nsdhl/hmgcs1/lipg/hsd17b7/ddit3/insig1/acsbg2/nus1/pdss1/elovl8b/elovl6l/ptgs2b/dhcr7/hsd17b12a/mvda/dhdds/acaca/b4galt5/cyp51/lss/sqlea/idi1/pgap1/etnk2/smpd5/sgms2a/aclya/dgat2/cers1/cers6/sc5d/pld1a,32
MF,GO:0033549,MAP kinase phosphatase activity,7/613,22/18430,0.318181818,9.566216817,7.456944871,4.80E-06,0.000571255,0.000547758,dusp2/dusp5/dusp8a/dusp1/dusp16/dusp4/si:ch1073-184j22.2,7
BP,GO:0044283,small molecule biosynthetic process,26/622,307/18773,0.084690554,2.556102517,5.088867744,1.25E-05,0.00272971,0.002516511,hmgcs1/lipg/hsd17b7/insig1/acsbg2/nus1/glulb/pdss1/elovl8b/elovl6l/ptgs2b/dhcr7/hsd17b12a/mvda/dhdds/acaca/cyp51/lss/g6pc1a.2/coq3/aclya/gch2/coq8b/sc5d/bhmt/cbsb,26
BP,GO:0006470,protein dephosphorylation,16/622,138/18773,0.115942029,3.499324293,5.455036261,1.38E-05,0.00272971,0.002516511,dusp2/pdp1/dusp5/dusp8a/dusp1/dusp11/ppm1db/dusp16/ssh2a/dusp4/ssh2b/si:ch1073-184j22.2/dusp23b/pdp2/ppm1ka/si:ch211-203d1.3,16
MF,GO:0017018,myosin phosphatase activity,12/613,81/18430,0.148148148,4.454111534,5.778784488,1.43E-05,0.001419057,0.001360688,dusp2/dusp5/dusp8a/dusp1/ppm1db/dusp16/ssh2a/dusp4/ssh2b/ppm1ka/si:ch211-203d1.3/ppp1r3da,12
BP,GO:0031099,regeneration,21/622,225/18773,0.093333333,2.816956056,5.075599266,2.03E-05,0.003684568,0.003396792,junbb/dusp2/ccn2a/igfbp1a/mycb/gck/smarca4a/col1a1a/c2cd4a/srebf1/hbegfa/apoda.2/serpinh1b/il4r.1/mycbp2/csrp1a/hdac1/tgif1/col12a1b/gemin5/anxa1a,21
MF,GO:0008138,protein tyrosine/serine/threonine phosphatase activity,7/613,27/18430,0.259259259,7.794695185,6.553470971,2.16E-05,0.001838068,0.001762465,dusp2/dusp5/dusp8a/dusp1/dusp16/dusp4/si:ch1073-184j22.2,7
BP,GO:0008299,isoprenoid biosynthetic process,7/622,28/18773,0.25,7.545418006,6.41614052,2.73E-05,0.004588549,0.004230169,hmgcs1/nus1/pdss1/mvda/dhdds/lss/idi1,7
BP,GO:0043603,amide metabolic process,22/622,252/18773,0.087301587,2.634907875,4.836837835,3.64E-05,0.005677413,0.00523399,hmgcs1/pdk2a/acsl3b/acss2/gstt1a/mvda/acaca/b4galt5/gstz1/oplah/acot20/tdo2a/allc/smpd5/sgms2a/aclya/cers1/cers6/gstr/gstt2/gss/aanat1,22
BP,GO:0006694,steroid biosynthetic process,11/622,76/18773,0.144736842,4.368399898,5.446840581,3.92E-05,0.005699574,0.005254419,nsdhl/hmgcs1/hsd17b7/insig1/dhcr7/hsd17b12a/mvda/cyp51/lss/sqlea/sc5d,11
BP,GO:0046165,alcohol biosynthetic process,11/622,78/18773,0.141025641,4.256389645,5.334836555,5.01E-05,0.006836038,0.006302122,hmgcs1/hsd17b7/insig1/nus1/dhcr7/mvda/dhdds/cyp51/lss/gch2/sc5d,11
BP,GO:0016311,dephosphorylation,18/622,196/18773,0.091836735,2.771786206,4.615850648,9.59E-05,0.011737888,0.010821122,dusp2/pdp1/dusp5/dusp8a/dusp1/dusp11/ppm1db/dusp16/ssh2a/dusp4/ssh2b/si:ch1073-184j22.2/dusp23b/pdp2/ppm1ka/fig4a/si:ch211-203d1.3/plppr4a,18
BP,GO:1901615,organic hydroxy compound metabolic process,20/622,232/18773,0.086206897,2.601868278,4.544691451,9.68E-05,0.011737888,0.010821122,nsdhl/hmgcs1/hsd17b7/adh8a/insig1/nus1/dhcr7/mvda/dhdds/apoa4b.2/cyp51/lss/sqlea/gch2/soat1/dgat2/nfe2l1b/ldlra/hsd11b2/sc5d,20
BP,GO:0043409,negative regulation of MAPK cascade,7/622,34/18773,0.205882353,6.213873652,5.632833865,0.000104508,0.012001912,0.011064525,dusp2/dusp5/dusp8a/dusp1/spry4/dusp16/dusp4,7
MF,GO:0004721,phosphoprotein phosphatase activity,18/613,197/18430,0.091370558,2.747078941,4.572781059,0.000107215,0.007974108,0.007646115,dusp2/pdp1/dusp5/dusp8a/dusp1/dusp11/ppm1db/dusp16/ssh2a/dusp4/ssh2b/si:ch1073-184j22.2/dusp23b/pdp2/pgp/ppm1ka/si:ch211-203d1.3/ppp1r3da,18
BP,GO:0006790,sulfur compound metabolic process,19/622,221/18773,0.085972851,2.594804382,4.414772983,0.000148755,0.016229119,0.014961574,hmgcs1/pdk2a/acsl3b/chpfa/acss2/gstt1a/mvda/acaca/gstz1/tstd1/oplah/acot20/tdo2a/aclya/gstr/gstt2/gss/bhmt/cbsb,19
BP,GO:0006084,acetyl-CoA metabolic process,6/622,27/18773,0.222222222,6.707038228,5.493366112,0.000210837,0.021906929,0.020195929,hmgcs1/pdk2a/acss2/mvda/tdo2a/aclya,6
CC,GO:0022626,cytosolic ribosome,10/631,79/19331,0.126582278,3.877911292,4.708285892,0.000242452,0.065588148,0.064285894,rplp1/rpl37/rpl34/rps5/rpl27/rpl6/rpl36/rps19/rps26/rpl14,10
BP,GO:0048863,stem cell differentiation,21/622,271/18773,0.077490775,2.338801153,4.109524478,0.00028931,0.028324113,0.026111911,atf3/hmgcs1/fosl2/irf7/radil2a/mych/hspg2/polr1a/smarca4a/f2r/dlc/bmp2b/etsrp/tbx1/hdac1/tgfbr2b/sema5ba/smyd5/edn1/polr1b/sema3e,21
BP,GO:0006637,acyl-CoA metabolic process,9/622,66/18773,0.136363636,4.115682549,4.693785977,0.000311539,0.028324113,0.026111911,hmgcs1/pdk2a/acsl3b/acss2/mvda/acaca/acot20/tdo2a/aclya,9
BP,GO:0035383,thioester metabolic process,9/622,66/18773,0.136363636,4.115682549,4.693785977,0.000311539,0.028324113,0.026111911,hmgcs1/pdk2a/acsl3b/acss2/mvda/acaca/acot20/tdo2a/aclya,9
MF,GO:0042578,phosphoric ester hydrolase activity,28/613,413/18430,0.06779661,2.038322227,3.958491985,0.000312022,0.018699069,0.017929934,dusp2/pdp1/pfkfb3/dusp5/dusp8a/dusp1/pde4d/dusp11/ppm1db/minpp1b/dusp16/ssh2a/dusp4/ssh2b/si:ch1073-184j22.2/g6pc1a.2/smpd5/dusp23b/pdp2/pgp/pde6ha/ppm1ka/plcd3a/fig4a/si:ch211-203d1.3/plppr4a/ppp1r3da/pld1a,28
MF,GO:0016791,phosphatase activity,23/613,311/18430,0.073954984,2.223475292,4.036194789,0.00031427,0.018699069,0.017929934,dusp2/pdp1/pfkfb3/dusp5/dusp8a/dusp1/dusp11/ppm1db/minpp1b/dusp16/ssh2a/dusp4/ssh2b/si:ch1073-184j22.2/g6pc1a.2/dusp23b/pdp2/pgp/ppm1ka/fig4a/si:ch211-203d1.3/plppr4a/ppp1r3da,23
BP,GO:1901617,organic hydroxy compound biosynthetic process,12/622,112/18773,0.107142857,3.233750574,4.38910953,0.000339414,0.029624051,0.02731032,hmgcs1/hsd17b7/insig1/nus1/dhcr7/mvda/dhdds/cyp51/lss/sqlea/gch2/sc5d,12
BP,GO:0009308,amine metabolic process,8/622,55/18773,0.145454545,4.390061386,4.660788248,0.000427658,0.035890409,0.033087255,odc1/aoc2/hnmt/amd1/tdo2a/dhps/sat1a.2/cbsb,8
CC,GO:0032040,small-subunit processome,7/631,43/19331,0.162790698,4.98717429,4.808013215,0.000442579,0.065588148,0.064285894,utp20/utp25/fcf1/nol6/wdr3/nop58/wdr75,7
BP,GO:1902532,negative regulation of intracellular signal transduction,16/622,188/18773,0.085106383,2.568652938,4.001517274,0.000541056,0.043725321,0.040310237,ddit4/dusp2/dusp5/dusp8a/insig1/dusp1/arhgap29a/spry4/dusp16/tnfaip3/dusp4/mdm2/tank/cd74a/rasip1/bcl6aa,16
BP,GO:0006575,cellular modified amino acid metabolic process,11/622,102/18773,0.107843137,3.254886199,4.227086272,0.000561405,0.043749517,0.040332542,gstt1a/gstz1/oplah/cpt1b/fpgs/gch2/gstr/gstt2/gss/bhmt/ckmb,11
CC,GO:0022625,cytosolic large ribosomal subunit,7/631,45/19331,0.155555556,4.765522099,4.645368597,0.000589115,0.065588148,0.064285894,rplp1/rpl37/rpl34/rpl27/rpl6/rpl36/rpl14,7
