ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
CC,GO:0005840,ribosome,90/3989,177/19331,0.508474576,2.464106802,9.977841618,3.61E-19,1.87E-16,1.49E-16,mrpl10/mrpl33/mrpl30/mrpl20/mrpl44/ptcd3/mrps21/eif2a/mrps35/rpl15/rpsa/rps16/mrps24/mrps15/rpl6/mrpl21/rpl10/rps6/rpl4/rps4x/mrps18b/faua/rack1/mrpl4/mrpl43/rplp1/rpl28/rps3/rpl13/mrps14/rplp0/rplp2/rps8b/rps19/mrpl14/rpl32/rpl34/mrps34/rps14/rpl18/rpl3/rpl22/mrpl51/mrpl53/rpl5a/hspa14/mrpl19/mrpl27/rpl24/mrpl48/rpl22l1/mrpl17/mrps17/rpl30/mrpl58/rps7/rpl10a/mrps22/zgc:171772/mrps16/mrps31/mrpl54/rpl21/rps17/rpl7/rpl7a/mrpl1/mrps18a/gadd45gip1/rps10/rps27a/mrpl52/rps5/rps27.2/rpl12/rps26/kgd4/rpl7l1/dap3/mrpl47/mrpl32/mrpl41/uba52/rpl11/mrps18c/mrps10/mrpl28/mrpl22/rpl8/mrps11,90
BP,GO:0006412,translation,176/3864,473/18773,0.372093023,1.807790457,9.058438038,2.60E-17,8.13E-14,6.98E-14,eif4e3/dap1b/msi1b/igf2bp2a/mrpl10/rbm24a/lrrc47/mrpl33/mrpl30/farsa/eif2ak2/mrpl20/gcn1/mrpl44/ptcd3/kbtbd8/mrps21/eif2a/mrps35/mettl17/igf2bp3/eif4a2/rpl15/rpsa/rps16/eif4ebp2/gfm1/coa3a/ddx6/si:ch211-256m1.8/eif3ha/secisbp2/mrps24/fxr2/ybx1/mknk1/mrps15/rpl6/rpl10/rps6/rpl4/rps4x/larp4b/mrps18b/eef1a1b/faua/tnrc6c1/eef2b/trmt10c/eif3d/rack1/mrpl4/caprin1b/mrpl43/rplp1/rpl28/rps3/mif4gdb/rpl13/rida/mrps14/rplp0/rplp2/eif4e1c/rps8b/yars1/kars1/dhx29/nanos1/eefsec/rps19/eif3ea/mrpl14/eif4enif1/gtdc1/rpl32/wars2/rpl34/gspt1l/mrps34/eif1/rps14/rpl18/dars1/eif3s6ip/rpl3/eif5b/rpl22/paip1/eif2s3/eif4g1a/eif6/mrpl51/ncbp2/drg1/rpl5a/gtpbp1l/mrpl19/mrpl27/eif5/gfm2/rpl24/tars1/rpl22l1/mrpl17/farsb/eif2ak1/mrps17/rmnd1/uhmk1/mars2/mrpl58/rps7/rpl10a/eif3ba/ascc3/eif3ja/elof1/eif4h/mettl3/ogfod1/trim3b/tsfm/zgc:171772/mrps16/rpl21/eif4ebp1/rps17/casc3/nars2/mtg1/eif3s10/mrps18a/ltn1/rps27a/mrpl52/ngdn/iars1/rps5/rps27.2/eif4eb/rars1/eef1b2/rpl12/rps26/eif3k/rnf14/eif1ad/mrpl47/eif5a/mrpl32/mrpl41/serbp1a/eif3m/uba52/ddx61/rpl11/eif4a1a/mrps18c/mrps10/mars1/mtrfr/eif2ak4/mrpl22/rpl8/eif2d/znf598/lars2/gtpbp2b/eif2s2/tcea3/eif2b3/aars2/zar1l/caprin1a/mrps11,176
MF,GO:0003735,structural constituent of ribosome,78/3742,154/18430,0.506493506,2.494568499,9.400632063,4.19E-17,3.82E-14,3.35E-14,mrpl10/mrpl33/mrpl30/mrpl20/mrps21/mrps35/rpl15/rpsa/rps16/mrps24/mrps15/rpl6/mrpl21/rpl10/rps6/rpl4/rps4x/mrps18b/faua/mrpl4/mrpl43/rplp1/rpl28/rps3/rpl13/mrps14/rplp0/rplp2/rps8b/rps19/mrpl14/rpl32/rpl34/mrps34/rps14/rpl18/rpl3/rpl22/mrpl51/rpl5a/mrpl19/mrpl27/rpl24/rpl22l1/mrpl17/mrps17/rpl30/rps7/rpl10a/mrps22/zgc:171772/mrps16/mrps31/mrpl54/rpl21/rps17/rpl7/mrps18a/rps10/rps27a/mrpl52/rps5/rps27.2/rpl12/rps26/rpl7l1/dap3/mrpl47/mrpl32/mrpl41/uba52/rpl11/mrps18c/mrps10/mrpl28/mrpl22/rpl8/mrps11,78
CC,GO:0044391,ribosomal subunit,73/3989,141/19331,0.517730496,2.508961701,9.169744652,2.29E-16,5.93E-14,4.74E-14,mrpl10/mrpl30/mrpl44/eif2a/mrps35/rpl15/rpsa/rps16/mrps24/mrps15/rpl6/mrpl21/rpl10/rpl4/rps4x/faua/mrpl4/mrpl43/rplp1/rpl28/rps3/rpl13/mrps14/rplp0/rplp2/rps8b/rps19/mrpl14/rpl32/rpl34/mrps34/rps14/rpl18/rpl3/mrpl51/mrpl53/rpl5a/mrpl19/mrpl27/rpl24/mrpl17/mrps17/rpl30/mrpl58/rps7/rpl10a/mrps22/zgc:171772/mrps16/mrps31/mrpl54/rpl21/rpl7/rpl7a/mrps18a/rps10/mrpl52/rps5/rps27.2/rpl12/rps26/rpl7l1/dap3/mrpl47/mrpl32/mrpl41/rpl11/mrps18c/mrps10/mrpl28/mrpl22/rpl8/mrps11,73
CC,GO:0005740,mitochondrial envelope,165/3989,457/19331,0.361050328,1.749677587,8.270039954,8.06E-15,1.39E-12,1.11E-12,uqcr10/slc25a55a/yme1l1a/marchf5l/abcb6a/spata18/ndufs6/uqcrq/atad1b/si:dkey-237i9.1/cpt2/etfdh/slc25a24/cox17/cox15/ndufb6/ndufa6/atp5meb/cox19/coq6/micos10/zgc:112052/ndufa7/dnm1l/tamm41/tmem65/smdt1b/acad9/atp5mea/prelid3b/dhodh/slc44a2/atpsckmt/tomm7/myoc/grpel1/mcu/timm8a/uqcrh/coa8/ndufb10/pet100/coa3a/coa7/slc25a46/hccsb/slc25a42/bcl2l16/uqcrb/sh3glb1a/sdhdb/bnip3lb/ndufaf5/uqcc6/sdhb/alas2/chchd6a/prelid1a/ndufc2/micu2/ndufb8/apoob/gpam/cyc1/tomm22/cpt1b/phb2a/acad11/cox4i2/sfxn4/bcl2b/tomm20b/zdhhc8b/rps3/ndufs5/coq2/slc25a55b/atp5f1c/tafazzin/vdac2/slc25a1a/zgc:172295/chchd4a/timm21/slc25a16/tigara/ndufa8/cibar1/mcl1b/antkmt/sdha/slc30a9/ndufb2/slc25a12/slc25a19/bida/atp5pf/zgc:56235/afg3l1/cyp11c1/acadvl/vdac1/mix23/micos13/ndufv1/tomm40/apooa/sfxn3/ifi27.6/lpin1a/timm10b/ndufa11/gper1/opa1/timm13/fundc1/ciapin1/ndufs4/atp5pd/timm17a/slc25a28/yme1l1b/mpc1/coq10b/mtx2/spg7/cox6c/timm23a/endog/mtg1/surf1/smpd5/tspo/atad1a/prelid1b/zgc:110843/mao/slc25a3b/tmem160/cox20/rhot1a/gatm/ndufb7/cox4i1/bcs1l/cox8a/slc25a43/timm44/coq8b/becn1/prkcaa/abcb8/rps6kb1b/eral1/cox7c/pink1/cox18/chchd7/sord/flvcr2a/coq5/src/immt/ndufb4/bcl2l10,165
CC,GO:0031966,mitochondrial membrane,154/3989,426/19331,0.361502347,1.751868107,8.001383342,5.68E-14,7.36E-12,5.88E-12,uqcr10/slc25a55a/yme1l1a/marchf5l/abcb6a/spata18/ndufs6/uqcrq/atad1b/cpt2/etfdh/slc25a24/cox15/ndufb6/ndufa6/atp5meb/coq6/micos10/zgc:112052/ndufa7/dnm1l/tamm41/tmem65/smdt1b/acad9/atp5mea/dhodh/slc44a2/atpsckmt/tomm7/myoc/grpel1/mcu/timm8a/uqcrh/coa8/ndufb10/pet100/coa3a/slc25a46/hccsb/slc25a42/bcl2l16/uqcrb/sh3glb1a/sdhdb/bnip3lb/ndufaf5/uqcc6/sdhb/alas2/chchd6a/ndufc2/micu2/ndufb8/apoob/gpam/cyc1/tomm22/cpt1b/phb2a/acad11/cox4i2/sfxn4/bcl2b/tomm20b/zdhhc8b/rps3/ndufs5/coq2/slc25a55b/atp5f1c/tafazzin/vdac2/slc25a1a/zgc:172295/timm21/slc25a16/tigara/ndufa8/cibar1/mcl1b/antkmt/sdha/slc30a9/ndufb2/slc25a12/slc25a19/bida/atp5pf/zgc:56235/afg3l1/cyp11c1/acadvl/vdac1/micos13/ndufv1/tomm40/apooa/sfxn3/ifi27.6/lpin1a/timm10b/ndufa11/gper1/opa1/timm13/fundc1/ndufs4/atp5pd/timm17a/slc25a28/yme1l1b/mpc1/coq10b/mtx2/spg7/cox6c/timm23a/endog/mtg1/surf1/smpd5/tspo/atad1a/zgc:110843/mao/slc25a3b/tmem160/cox20/rhot1a/gatm/ndufb7/cox4i1/bcs1l/cox8a/slc25a43/timm44/coq8b/becn1/prkcaa/abcb8/rps6kb1b/eral1/cox7c/pink1/cox18/sord/flvcr2a/coq5/src/immt/ndufb4/bcl2l10,154
CC,GO:0005743,mitochondrial inner membrane,107/3989,266/19331,0.402255639,1.949361684,7.949889083,1.87E-13,1.94E-11,1.55E-11,uqcr10/slc25a55a/yme1l1a/ndufs6/uqcrq/cpt2/etfdh/slc25a24/cox15/ndufb6/ndufa6/atp5meb/coq6/micos10/ndufa7/tamm41/tmem65/smdt1b/acad9/atp5mea/dhodh/myoc/grpel1/mcu/timm8a/uqcrh/coa8/ndufb10/pet100/coa3a/hccsb/slc25a42/uqcrb/sdhdb/ndufaf5/uqcc6/sdhb/alas2/chchd6a/ndufc2/micu2/ndufb8/apoob/cyc1/phb2a/cox4i2/sfxn4/rps3/ndufs5/coq2/slc25a55b/atp5f1c/tafazzin/slc25a1a/timm21/slc25a16/ndufa8/cibar1/sdha/ndufb2/slc25a12/slc25a19/atp5pf/afg3l1/cyp11c1/acadvl/micos13/ndufv1/apooa/sfxn3/timm10b/ndufa11/opa1/timm13/ndufs4/atp5pd/timm17a/slc25a28/yme1l1b/mpc1/coq10b/spg7/cox6c/timm23a/endog/mtg1/surf1/smpd5/slc25a3b/tmem160/cox20/gatm/ndufb7/cox4i1/bcs1l/cox8a/slc25a43/timm44/abcb8/eral1/cox7c/pink1/cox18/coq5/src/immt/ndufb4,107
CC,GO:1990204,oxidoreductase complex,53/3989,99/19331,0.535353535,2.5943643,8.109608513,4.91E-13,4.24E-11,3.38E-11,ndufs6/ndufs3/uqcrq/ndufb6/ndufa6/ndufa7/coa6/uqcrh/ndufb10/uqcrb/abhd11/sdhdb/ndufs8a/ndufv2/dldh/rrm1/sdhb/ndufc2/gcsha/ndufab1b/ndufb8/ogdha/cyc1/cox4i2/ogdhb/ndufs5/ndufa8/sdha/ndufa10/ndufb2/kat2a/cyba/ndufv1/ndufc1/dlst/ndufa11/gmpr/ncf2/ndufa4l2a/ndufs4/ndufb11/ndufb5/kgd4/dlat/bckdha/ndufb7/cox4i1/cox8a/cybb/cox7c/pdhx/cox6b1/ndufb4,53
CC,GO:0019866,organelle inner membrane,110/3989,283/19331,0.38869258,1.883634057,7.635683679,1.22E-12,9.04E-11,7.22E-11,uqcr10/slc25a55a/tmem120b/yme1l1a/ndufs6/uqcrq/sirt1/cpt2/etfdh/slc25a24/cox15/ndufb6/ndufa6/atp5meb/coq6/micos10/ndufa7/tamm41/tmem65/smdt1b/acad9/atp5mea/nemp1/dhodh/myoc/grpel1/mcu/timm8a/uqcrh/coa8/ndufb10/pet100/coa3a/hccsb/slc25a42/uqcrb/sdhdb/ndufaf5/uqcc6/sdhb/alas2/chchd6a/ndufc2/micu2/ndufb8/apoob/cyc1/phb2a/cox4i2/sfxn4/rps3/ndufs5/coq2/slc25a55b/atp5f1c/tafazzin/slc25a1a/timm21/slc25a16/ndufa8/cibar1/sdha/ndufb2/slc25a12/slc25a19/atp5pf/afg3l1/cyp11c1/acadvl/micos13/ndufv1/apooa/sfxn3/timm10b/ndufa11/opa1/timm13/ndufs4/atp5pd/timm17a/slc25a28/yme1l1b/mpc1/coq10b/spg7/cox6c/timm23a/endog/mtg1/surf1/smpd5/slc25a3b/tmem160/cox20/gatm/ndufb7/cox4i1/bcs1l/cox8a/slc25a43/timm44/abcb8/eral1/cox7c/pink1/cox18/coq5/src/immt/ndufb4,110
BP,GO:0061061,muscle structure development,152/3864,437/18773,0.347826087,1.689891079,7.42879753,2.25E-12,3.52E-09,3.02E-09,mylpfb/col6a2/col6a1/tpm3/vcla/chrna1/klhl41a/tnni2a.4/tnnt1/dok7b/si:dkeyp-69b9.3/igfn1.3/myorg/dyrk3/smyd2a/lmod3/fhod3a/myom2a/rbm24a/mybpc2b/lgals2a/lurap1/homer1b/apobec2b/ryr1a/myf5/myom1b/mef2aa/col22a1/myo18ab/ctsd/cct5/cmlc1/six1b/itgb1a/sox6/chchd10/zgc:112052/actn2b/mybpha/desma/dock5/tcap/postnb/inpp5ka/smpx/pdlim3b/dag1/atp1a2a/smyhc2/mybpc1/thrab/adss1/rbx1/lama4/dnajb6b/cxcr4a/hsp90ab1/tgfbi/pdlim7/myl2b/pip4k2aa/pdlim4/nrap/hspg2/rbfox1l/ddx39ab/mapk14b/dmrt2a/mrtfbb/smyd1b/ltbp3/tardbpa/csrp1a/lmna/lamb2/csrp3/hmgcra/kif5ba/ryr3/mymk/apobec2a/mybpc2a/igf2b/mef2cb/dmd/alpk2/septin15/akap12b/ache/lamc1/selenon/klhl40a/b3galnt2/arhgef28a/cert1a/megf10/disp1/ldb3b/pdlim5a/sgcb/tnnt2c/pleca/icam3/spega/vcp/fer1l6/ctcf/axin1/nexn/fermt2/ilk/hsp90aa1.1/smad4a/crk/tpcn2/jam3b/rbfox2/opa1/arrb2b/mrtfab/cemip2/naca/tln1/mylk5/ttn.1/hdgfl2/noc3l/smo/ngly1/ttn.2/mybphb/lmod2b/flncb/ppp2r3a/b4gat1/lamb1a/carm1/nr2f1a/mbnl2/tmem182a/plekho1b/foxc1a/myo9aa/unc45b/kmt5b/dpf3/grk3/neu1/rbfox1/mat2aa/gli2a,152
