ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
CC,GO:0022626,cytosolic ribosome,29/745,79/19331,0.367088608,9.525087078,15.20111834,3.09E-21,1.15E-18,1.09E-18,rps29/rpl37/rpl17/rpl35a/zgc:171772/rps23/rps26/rpl39/rpl36/rpl14/rpl38/rpl35/rpl36a/rpl31/rps11/rpl23/rps15a/rpl34/rpl26/rpl18a/rps27.2/rps13/rps19/rpl24/rpl23a/rps16/rps21/rpl5a/rpl27,29
MF,GO:0003735,structural constituent of ribosome,36/715,154/18430,0.233766234,6.025610753,12.58177637,1.56E-18,9.73E-16,9.40E-16,rps29/rpl37/rpl17/rpl35a/zgc:171772/rps23/rps26/rpl39/rpl36/rpl14/rpl38/rpl35/rpl36a/rpl31/rps18/rps11/rpl23/zgc:114188/rps15a/rpl34/rpl26/rpl18a/dap3/rps27.2/rps13/rps19/rps17/rpl24/rps24/rpl23a/rps16/rps21/rpl5a/rps27a/mrpl49/rpl27,36
CC,GO:0005840,ribosome,36/745,177/19331,0.203389831,5.27748834,11.44581766,1.57E-16,2.92E-14,2.79E-14,rps29/rpl37/rpl17/rpl35a/zgc:171772/rps23/rps26/rpl39/rpl36/rpl14/rpl38/rpl35/rpl36a/rpl31/rps18/rps11/rpl23/zgc:114188/rps15a/rpl34/rpl26/rpl18a/dap3/rps27.2/rps13/rps19/rps17/rpl24/rps24/rpl23a/rps16/rps21/rpl5a/rps27a/mrpl49/rpl27,36
CC,GO:0044391,ribosomal subunit,32/745,141/19331,0.226950355,5.888828597,11.66481827,2.74E-16,3.39E-14,3.23E-14,rps29/rpl37/rpl17/rpl35a/zgc:171772/rps23/rps26/rpl39/rpl36/rpl14/rpl38/rpl35/rpl36a/rpl31/rps18/rps11/rpl23/rps15a/rpl34/rpl26/rpl18a/dap3/rps27.2/rps13/rps19/rpl24/rps24/rpl23a/rps16/rps21/rpl5a/rpl27,32
CC,GO:0022625,cytosolic large ribosomal subunit,19/745,45/19331,0.422222222,10.95567487,13.38618978,1.03E-15,9.56E-14,9.12E-14,rpl37/rpl17/rpl35a/zgc:171772/rpl39/rpl36/rpl14/rpl38/rpl35/rpl36a/rpl31/rpl23/rpl34/rpl26/rpl18a/rpl24/rpl23a/rpl5a/rpl27,19
CC,GO:0015934,large ribosomal subunit,19/745,84/19331,0.226190476,5.869111537,8.953831968,3.38E-10,2.52E-08,2.40E-08,rpl37/rpl17/rpl35a/zgc:171772/rpl39/rpl36/rpl14/rpl38/rpl35/rpl36a/rpl31/rpl23/rpl34/rpl26/rpl18a/rpl24/rpl23a/rpl5a/rpl27,19
BP,GO:0006412,translation,44/726,473/18773,0.093023256,2.405407137,6.209094277,7.35E-08,9.31E-05,8.99E-05,rps29/rpl37/rpl17/eif4g2a/rpl35a/eef1a1b/zgc:171772/rps23/rps26/rpl39/rpl36/rpl14/rpl38/rpl35/rpl36a/rpl31/rps18/rps11/igf2bp2a/larp4b/rpl23/ago1/zgc:114188/rps15a/rpl34/fars2/rpl26/rpl18a/ago3a/rps27.2/rps13/rps19/rps17/rpl24/gtpbp2b/rps24/rpl23a/rps16/rps21/rpl5a/tcea3/rps27a/mrpl49/rpl27,44
BP,GO:0007043,cell-cell junction assembly,16/726,82/18773,0.195121951,5.045488141,7.363472408,8.18E-08,9.31E-05,8.99E-05,cldn23.1/cldne/cldnb/cldn19/znf703/cldna/cldn8.2/oclna/cdh1/oclnb/cldn7a/cldnf/dsc2l/lsr/pof1b/cdh6,16
CC,GO:0022627,cytosolic small ribosomal subunit,10/745,32/19331,0.3125,8.10864094,8.057406257,2.03E-07,1.26E-05,1.20E-05,rps29/rps23/rps26/rps11/rps15a/rps27.2/rps13/rps19/rps16/rps21,10
CC,GO:0070160,tight junction,17/745,102/19331,0.166666667,4.324608501,6.740053506,3.40E-07,1.81E-05,1.72E-05,cldn23.1/cldne/cldnb/f11r.1/cldn19/cldna/cldn8.2/oclna/oclnb/cldn7a/amot/cldnf/amotl2a/cgnl1/jam2b/lsr/pof1b,17
