ONTOLOGY,ID,Description,pvalue_ASG_muscle_AF,pvalue_ASG_muscle_AR,pvalue_ASG_muscle_FR,pvalue_DEG_muscle_AF,pvalue_DEG_muscle_AR,pvalue_DEG_muscle_FR
BP,GO:0042692,muscle cell differentiation,1.41e-6,2.39e-10,NA,1.12e-7,1.54e-9,NA
BP,GO:0051146,striated muscle cell differentiation,5.04e-6,2.9e-9,NA,3.46e-8,7.63e-9,NA
BP,GO:0007517,muscle organ development,7.55e-6,2.04216e-4,0.017928721,1.98e-6,1.69e-9,0.032037715
BP,GO:0010927,cellular component assembly involved in morphogenesis,7.56e-6,2.78e-11,0.010848239,5.96e-7,6.32e-7,0.028157076
BP,GO:0032989,cellular anatomical entity morphogenesis,7.56e-6,2.78e-11,0.010848239,5.96e-7,6.32e-7,0.028157076
BP,GO:0055002,striated muscle cell development,8.12e-6,1.56e-8,NA,3.34e-9,5.87e-10,0.016755898
BP,GO:0030239,myofibril assembly,1.31e-5,4.45e-11,0.026177249,2.78e-8,8.65e-8,0.017087011
BP,GO:0043254,regulation of protein-containing complex assembly,2.27e-5,0.022233138,NA,0.014656817,NA,NA
BP,GO:0044087,regulation of cellular component biogenesis,2.46e-5,0.027776915,NA,4.6e-5,NA,NA
BP,GO:0045214,sarcomere organization,2.78e-5,5.07e-8,0.032665311,3.1e-6,3.22e-6,NA
BP,GO:0031032,actomyosin structure organization,3.27e-5,2.88e-9,0.045051986,2.54e-7,1.52e-5,0.015676035
BP,GO:0055001,muscle cell development,4.28e-5,4.17e-8,NA,4.83e-9,2.31e-9,0.031057735
BP,GO:1902903,regulation of supramolecular fiber organization,6.1e-5,0.004704752,NA,9.27087e-4,NA,NA
BP,GO:0060537,muscle tissue development,1.1894e-4,4.71e-5,NA,3.09e-6,3.33e-6,NA
BP,GO:0060415,muscle tissue morphogenesis,1.5627e-4,8.03938e-4,NA,NA,0.01823699,NA
BP,GO:0022604,regulation of cell morphogenesis,1.74402e-4,0.001566019,NA,NA,NA,NA
BP,GO:0014706,striated muscle tissue development,1.86073e-4,2.06626e-4,NA,2.71e-5,1.56e-5,NA
BP,GO:0048644,muscle organ morphogenesis,1.88309e-4,9.38739e-4,NA,NA,0.024041865,NA
BP,GO:0030032,lamellipodium assembly,2.02374e-4,0.001287988,NA,NA,NA,NA
BP,GO:0046471,phosphatidylglycerol metabolic process,2.42974e-4,0.039366795,NA,NA,NA,NA
BP,GO:0031641,regulation of myelination,2.7464e-4,0.018990063,NA,NA,NA,NA
BP,GO:0000245,spliceosomal complex assembly,3.7348e-4,0.00889792,NA,NA,NA,NA
BP,GO:0006892,post-Golgi vesicle-mediated transport,3.98387e-4,0.019474647,NA,NA,NA,NA
BP,GO:0043484,regulation of RNA splicing,4.55758e-4,0.002907349,0.001563364,NA,NA,NA
BP,GO:0006897,endocytosis,5.24896e-4,0.018977618,NA,0.018342023,NA,NA
BP,GO:1905475,regulation of protein localization to membrane,5.59442e-4,0.016905932,0.001791072,NA,NA,NA
BP,GO:0051656,establishment of organelle localization,6.10659e-4,0.020731893,NA,NA,0.002402815,NA
BP,GO:0002098,tRNA wobble uridine modification,7.5344e-4,0.004936933,2.85e-5,NA,NA,NA
BP,GO:0048532,anatomical structure arrangement,7.61974e-4,NA,0.001223914,NA,NA,NA
BP,GO:0097581,lamellipodium organization,7.94018e-4,0.003859648,NA,NA,NA,NA
BP,GO:0008380,RNA splicing,8.06598e-4,0.013526168,0.031966114,0.001059614,7.22186e-4,NA
BP,GO:0002097,tRNA wobble base modification,0.001149084,0.006815697,4.48e-5,NA,NA,NA
BP,GO:0051145,smooth muscle cell differentiation,0.001377319,0.011374102,NA,NA,NA,NA
BP,GO:1903076,regulation of protein localization to plasma membrane,0.001377319,0.001101922,0.001898678,NA,NA,NA
BP,GO:0055008,cardiac muscle tissue morphogenesis,0.001396284,0.001068358,NA,NA,NA,NA
BP,GO:0060538,skeletal muscle organ development,0.001418392,0.002077113,NA,3.53e-6,3.09e-7,NA
BP,GO:0022411,cellular component disassembly,0.001494127,8.96e-5,NA,5.70279e-4,0.001961522,NA
BP,GO:0048738,cardiac muscle tissue development,0.001504629,2.57067e-4,NA,0.008956971,0.005069628,NA
BP,GO:0032271,regulation of protein polymerization,0.001561319,0.047227473,NA,0.015562032,NA,NA
BP,GO:0051493,regulation of cytoskeleton organization,0.001719021,NA,NA,0.009846598,NA,NA
BP,GO:0042554,superoxide anion generation,0.001787018,NA,NA,NA,NA,NA
BP,GO:1904375,regulation of protein localization to cell periphery,0.001787018,0.001431989,0.002307611,NA,NA,NA
BP,GO:0099518,vesicle cytoskeletal trafficking,0.001965565,0.001448903,NA,NA,0.005635664,0.030480698
BP,GO:0003015,heart process,0.001998518,3.8781e-4,NA,1.63096e-4,2.15e-8,NA
BP,GO:0042552,myelination,0.002115324,0.017651877,NA,NA,NA,NA
BP,GO:0006893,Golgi to plasma membrane transport,0.002246522,NA,NA,NA,NA,NA
BP,GO:0048892,lateral line nerve development,0.002274076,0.001825191,0.033059432,NA,0.049675419,NA
BP,GO:0006631,fatty acid metabolic process,0.002431759,0.015559227,NA,0.006739886,0.002740409,NA
BP,GO:0032984,protein-containing complex disassembly,0.002451904,4.35e-5,NA,0.009959723,0.027263302,NA
BP,GO:0007272,ensheathment of neurons,0.002494753,0.019873468,NA,NA,NA,NA
BP,GO:0008366,axon ensheathment,0.002494753,0.019873468,NA,NA,NA,NA
BP,GO:0007044,cell-substrate junction assembly,0.002845344,0.00228733,NA,NA,NA,NA
BP,GO:0150115,cell-substrate junction organization,0.002845344,0.00228733,NA,NA,NA,NA
BP,GO:0051258,protein polymerization,0.002874742,NA,NA,7.5997e-4,0.03070372,NA
BP,GO:0120035,regulation of plasma membrane bounded cell projection organization,0.002885767,0.001509454,NA,4.08294e-4,0.00214793,NA
BP,GO:0051650,establishment of vesicle localization,0.003011306,NA,NA,NA,NA,NA
BP,GO:0048915,posterior lateral line system development,0.003230776,0.006887546,NA,NA,NA,NA
BP,GO:0031344,regulation of cell projection organization,0.003270859,0.001720259,NA,1.98156e-4,0.003086665,NA
BP,GO:0046486,glycerolipid metabolic process,0.003492716,NA,NA,NA,0.038952186,NA
BP,GO:0007411,axon guidance,0.003820299,3.39629e-4,NA,NA,0.034516419,NA
BP,GO:0097485,neuron projection guidance,0.003820299,3.39629e-4,NA,NA,0.034516419,NA
BP,GO:0060047,heart contraction,0.00388801,2.9544e-4,NA,1.60277e-4,4.58e-8,NA
BP,GO:0008154,actin polymerization or depolymerization,0.003889327,0.037490108,NA,9.35061e-4,NA,0.033763502
BP,GO:0001736,establishment of planar polarity,0.004008963,1.92831e-4,NA,NA,NA,NA
BP,GO:0061550,cranial ganglion development,0.004008963,0.003382473,NA,NA,NA,NA
BP,GO:0032787,monocarboxylic acid metabolic process,0.004199271,0.008100853,NA,6.09765e-4,0.003522814,NA
BP,GO:0048881,mechanosensory lateral line system development,0.004229426,0.008732334,NA,NA,NA,NA
BP,GO:0098876,vesicle-mediated transport to the plasma membrane,0.004229426,0.024799616,NA,NA,NA,NA
BP,GO:0051130,positive regulation of cellular component organization,0.004258395,0.010153178,NA,NA,NA,NA
BP,GO:0060560,developmental growth involved in morphogenesis,0.004601537,0.006590784,0.023652062,NA,0.034542577,NA
BP,GO:0001885,endothelial cell development,0.004978575,0.020907039,NA,NA,NA,NA
BP,GO:0022613,ribonucleoprotein complex biogenesis,0.005037011,NA,NA,4.83e-7,1.43e-7,NA
BP,GO:0048168,regulation of neuronal synaptic plasticity,0.005130064,0.028826096,0.005147186,NA,NA,NA
BP,GO:0007164,establishment of tissue polarity,0.005373018,2.95297e-4,NA,NA,NA,NA
BP,GO:0016203,muscle attachment,0.005373018,0.004540164,NA,7.74e-5,7.85e-5,NA
BP,GO:0044282,small molecule catabolic process,0.005466342,NA,NA,0.038047342,0.018826858,NA
BP,GO:0006397,mRNA processing,0.00555498,0.034464109,NA,0.012007315,0.012565859,NA
BP,GO:0008045,motor neuron axon guidance,0.00562934,0.004068598,NA,NA,0.046588953,NA
BP,GO:0051648,vesicle localization,0.005856549,NA,NA,NA,NA,NA
BP,GO:0120032,regulation of plasma membrane bounded cell projection assembly,0.006033423,NA,NA,0.001151477,NA,NA
BP,GO:0055013,cardiac muscle cell development,0.006315252,0.020376958,NA,0.003395323,0.003463448,NA
BP,GO:0060491,regulation of cell projection assembly,0.006499185,NA,NA,6.02919e-4,NA,NA
BP,GO:0031033,myosin filament organization,0.006983304,4.31668e-4,0.016961746,0.013297277,NA,NA
BP,GO:0046626,regulation of insulin receptor signaling pathway,0.006983304,NA,NA,NA,NA,NA
BP,GO:0008360,regulation of cell shape,0.006991672,0.049094603,NA,NA,NA,NA
BP,GO:0072329,monocarboxylic acid catabolic process,0.006991672,0.004916034,NA,NA,NA,NA
