ID	GeneID	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	obscurus0000680	chrContig145	-	61874	62048	77537	77711	59464	59684	78638	78937	0	"6,0,0"	"18,25,11"	"1,1,0"	"10,16,17"	298	298	1	1	"0.25,0.0,0.0"	"0.091,0.059,0.0"	0.033
1	obscurus0000651	chrContig137	+	28797	28971	36300	36474	27431	27866	42469	42640	1	"1,0,0"	"15,6,3"	"0,0,0"	"11,10,3"	298	298	1	1	"0.062,0.0,0.0"	"0.0,0.0,0.0"	0.021
2	obscurus0000651	chrContig137	+	36300	36474	42469	42640	31929	31987	44849	45023	2	"7,4,3"	"21,16,4"	"10,3,3"	"2,5,3"	298	298	0.013917125	0.119245137	"0.25,0.2,0.429"	"0.833,0.375,0.5"	-0.276
3	obscurus0000651	chrContig137	+	42469	42640	44849	45023	36300	36474	58832	59010	3	"11,4,3"	"13,1,4"	"10,8,3"	"2,8,0"	298	298	0.153857853	0.400869015	"0.458,0.8,0.429"	"0.833,0.5,1.0"	-0.215
5	obscurus0000235	chrContig20	+	111225	111432	113748	113912	107230	107318	115099	115219	5	"32,21,35"	"27,1,25"	"38,41,37"	"19,39,24"	298	298	0.291021435	0.579047795	"0.542,0.955,0.583"	"0.667,0.512,0.607"	0.098
6	obscurus0000192	chrContig13	+	281607	281781	282174	282348	278609	278783	282650	282963	6	"7,1,3"	"18,3,10"	"2,14,9"	"5,3,12"	298	298	0.031060623	0.181056898	"0.28,0.25,0.231"	"0.286,0.824,0.429"	-0.259
7	obscurus0000183	chrContig12	-	64084	64258	276679	276853	63624	63798	276950	277124	7	"1,0,0"	"0,0,0"	"0,0,0"	"0,0,2"	298	298	1	1	"1.0,NA,NA"	"NA,NA,0.0"	1
8	obscurus2200381	chrChromosome22	+	9119953	9120054	9120304	9120340	9118762	9118797	9120706	9120758	8	"12,11,12"	"5,5,4"	"12,14,11"	"3,3,1"	250	185	0.080478599	0.293569731	"0.64,0.619,0.689"	"0.747,0.775,0.891"	-0.155
9	obscurus2200272	chrChromosome22	+	6604795	6604966	6605330	6605406	6604461	6604665	6605839	6605957	9	"304,86,289"	"312,96,205"	"284,147,477"	"207,161,350"	298	225	0.458985397	0.739476473	"0.424,0.403,0.516"	"0.509,0.408,0.507"	-0.027
10	obscurus2200216	chrChromosome22	-	4904871	4904948	4915782	4915947	4903074	4903164	4918473	4918714	10	"47,62,46"	"21,3,16"	"20,41,16"	"6,9,4"	298	226	0.770005782	0.950428141	"0.629,0.94,0.686"	"0.717,0.776,0.752"	0.003
11	obscurus2200017	chrChromosome22	-	231679	231867	232727	233047	230962	231403	233845	233977	11	"407,912,282,577"	"40,637,732,237"	"356,333,433,754"	"331,530,573,483"	298	298	0.266985962	0.561057457	"0.501,0.614,0.535"	"0.518,0.522,0.519"	0.03
12	obscurus2200017	chrChromosome22	-	232457	232575	233845	233977	231679	231867	234085	234199	12	"29,469,012,206"	"29,479,671,895"	"283,325,162,756"	"207,522,242,179"	281	267	0.024391976	0.158958943	"0.487,0.47,0.525"	"0.565,0.518,0.546"	-0.049
13	obscurus2200017	chrChromosome22	-	232727	233047	233845	233977	232457	232575	234085	234199	13	"29,469,012,206"	"352,413,292,444"	"283,125,162,755"	"298,628,263,038"	281	298	0.130122836	0.379252486	"0.47,0.418,0.489"	"0.501,0.486,0.49"	-0.033
14	obscurus2200001	chrChromosome22	-	11854	11888	21311	21425	10560	10788	23253	23336	14	"1,0,0"	"0,0,1"	"0,1,0"	"0,0,1"	263	183	1	1	"1.0,NA,0.0"	"NA,1.0,0.0"	0
15	obscurus2100980	chrChromosome21	-	25491208	25491447	25492378	25492517	25490857	25491019	25492633	25492771	15	"425,61,508"	"339,34,393"	"334,255,415"	"183,205,246"	288	298	0.208993149	0.47722845	"0.565,0.65,0.572"	"0.654,0.563,0.636"	-0.022
16	obscurus0000034	chrContig1	-	1962174	1962351	1965205	1965373	1958519	1958617	1970282	1970399	16	"134,3,74"	"82,14,62"	"55,83,81"	"55,67,75"	298	298	0.610759936	0.858765486	"0.62,0.176,0.544"	"0.5,0.553,0.519"	-0.077
