ID	GeneID	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	obscurus0000654	chrContig138	+	95403	95577	97998	98045	94922	95113	99886	100201	0	"6,1,0"	"0,0,2"	"8,6,0"	"2,0,6"	298	196	0.079309769	0.254241522	"1.0,1.0,0.0"	"0.725,1.0,0.0"	0.092
1	obscurus0000651	chrContig137	+	42469	42640	44849	45023	36300	36474	58832	59010	1	"1,1,1"	"8,2,6"	"9,1,5"	"6,2,2"	298	298	0.000216363	0.002775708	"0.111,0.333,0.143"	"0.6,0.333,0.714"	-0.353
2	obscurus0000241	chrContig20	+	276536	276614	281669	281783	276335	276452	282233	282346	2	"100,517,812,624"	"84,114,112,095"	"121,520,852,869"	"117,915,271,722"	227	263	0.49735224	0.764855575	"0.581,0.594,0.592"	"0.544,0.613,0.659"	-0.016
3	obscurus2200381	chrChromosome22	+	9119953	9120054	9120304	9120340	9118762	9118797	9120706	9120758	3	"19,16,10"	"1,0,5"	"17,18,9"	"12,7,1"	250	185	0.025190069	0.123418681	"0.934,1.0,0.597"	"0.512,0.656,0.869"	0.165
4	obscurus2200300	chrChromosome22	+	7270490	7270556	7274589	7274655	7269702	7269741	7276365	7276524	4	"162,142,201"	"40,21,63"	"127,128,125"	"26,12,14"	215	215	0.004415843	0.034443579	"0.802,0.871,0.761"	"0.83,0.914,0.899"	-0.07
5	obscurus2200160	chrChromosome22	+	3672904	3672937	3677853	3677919	3671345	3671442	3678874	3679179	5	"13,9,8"	"6,3,9"	"20,7,10"	"7,6,13"	182	215	0.640540006	0.872881477	"0.719,0.78,0.512"	"0.771,0.58,0.476"	0.061
6	obscurus2200098	chrChromosome22	+	1944611	1944687	1947913	1947967	1944198	1944254	1948534	1948636	6	"0,0,0"	"43,83,87"	"3,0,0"	"254,170,207"	225	203	1	1	"0.0,0.0,0.0"	"0.011,0.0,0.0"	-0.004
7	obscurus2100913	chrChromosome21	+	23521618	23521845	23527752	23527803	23520000	23520283	23530394	23530595	7	"26,14,16"	"8,8,6"	"21,11,7"	"8,3,4"	298	200	0.901277039	1	"0.686,0.54,0.642"	"0.638,0.711,0.54"	-0.007
8	obscurus2100883	chrChromosome21	-	22718915	22719059	22727190	22727530	22716412	22716569	22732186	22732618	8	"2,8,8"	"1,0,2"	"7,7,2"	"4,3,8"	298	293	0.001098554	0.010710903	"0.663,1.0,0.797"	"0.632,0.696,0.197"	0.312
9	obscurus2100697	chrChromosome21	+	17429237	17429363	17429461	17429497	17429011	17429074	17429578	17429630	9	"161,89,225"	"35,42,54"	"539,472,533"	"169,127,165"	275	185	0.813429983	0.968369027	"0.756,0.588,0.737"	"0.682,0.714,0.685"	0
10	obscurus2100518	chrChromosome21	-	14738884	14739002	14739162	14739296	14738646	14738767	14739383	14739469	10	"652,166,915,687,682"	"594,746,441,690,078"	"521,105,089,946,639"	"440,645,103,252,385"	283	267	0.725820497	0.933608159	"0.508,0.503,0.479"	"0.527,0.485,0.457"	0.007
11	obscurus2100518	chrChromosome21	-	14739162	14739296	14739383	14739469	14738884	14739002	14740177	14740380	11	"457,804,701,164,284"	"717,417,787,492,877"	"320,112,456,224,664"	"533,905,874,858,668"	235	283	0.000841257	0.008725804	"0.435,0.421,0.455"	"0.419,0.335,0.336"	0.074
12	obscurus2100518	chrChromosome21	-	14743693	14743832	14744443	14744548	14743102	14743183	14745213	14745296	12	"506,324,942,157,530"	"641,466,594,378,179"	"381,672,283,626,920"	"404,204,104,040,450"	254	288	0.526681988	0.782692441	"0.472,0.459,0.455"	"0.517,0.387,0.43"	0.017
13	obscurus2100222	chrChromosome21	-	10386546	10386616	10386714	10386736	10386359	10386469	10386826	10386914	13	"2,0,5"	"0,1,3"	"3,0,3"	"17,6,4"	171	219	0.01342744	0.08182346	"1.0,0.0,0.681"	"0.184,0.0,0.49"	0.336
14	obscurus2100218	chrChromosome21	-	10273974	10274115	10274641	10274791	10273644	10273720	10274919	10275001	14	"115,139,143"	"86,127,122"	"45,33,70"	"64,59,45"	298	290	0.177896342	0.427878895	"0.565,0.516,0.533"	"0.406,0.352,0.602"	0.085
15	obscurus2100027	chrChromosome21	+	1999261	1999320	2000088	2000166	1998413	1998526	2000668	2000804	15	"21,13,28"	"10,25,37"	"13,12,14"	"22,18,16"	208	227	0.458512787	0.73166934	"0.696,0.362,0.452"	"0.392,0.421,0.488"	0.07
16	obscurus2000958	chrChromosome20	+	27090732	27090781	27091411	27091468	27090137	27090355	27093677	27093866	16	"4,0,1"	"18,21,34"	"2,0,0"	"9,12,9"	198	206	0.224704091	0.481095031	"0.188,0.0,0.03"	"0.188,0.0,0.0"	0.01
17	obscurus2000958	chrChromosome20	+	27090880	27091018	27091411	27091468	27090732	27090781	27093677	27093866	17	"0,0,7"	"12,21,35"	"2,2,0"	"3,12,8"	287	206	0.389013654	0.666689431	"0.0,0.0,0.126"	"0.324,0.107,0.0"	-0.102
