ID	GeneID	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	obscurus0000651	chrContig137	+	42469	42640	44849	45023	36300	36474	58832	59010	0	"1,1,1"	"8,2,6"	"2,3,2"	"3,1,5"	298	298	0.008586386	0.099291507	"0.111,0.333,0.143"	"0.4,0.75,0.286"	-0.283
1	obscurus0000340	chrContig40	-	81577	81818	83250	83306	80651	80815	103708	103826	1	"1,0,3"	"13,1,6"	"2,0,1"	"7,2,6"	205	298	0.676371169	0.947442604	"0.101,0.0,0.421"	"0.293,0.0,0.195"	0.011
2	obscurus2200381	chrChromosome22	+	9119953	9120054	9120304	9120340	9118762	9118797	9120706	9120758	2	"19,16,10"	"1,0,5"	"16,21,11"	"4,5,0"	250	185	0.469918454	0.834830938	"0.934,1.0,0.597"	"0.747,0.757,1.0"	0.009
3	obscurus2200300	chrChromosome22	+	7270490	7270556	7274589	7274655	7269702	7269741	7276365	7276524	3	"162,142,201"	"40,21,63"	"129,123,40"	"20,18,13"	215	215	0.164167506	0.517246605	"0.802,0.871,0.761"	"0.866,0.872,0.755"	-0.02
4	obscurus2200160	chrChromosome22	+	3672904	3672937	3677853	3677919	3671345	3671442	3678874	3679179	4	"13,9,8"	"6,3,9"	"5,12,4"	"21,12,11"	182	215	0.006523483	0.08342384	"0.719,0.78,0.512"	"0.22,0.542,0.3"	0.316
5	obscurus2200027	chrChromosome22	-	413837	413905	414122	414248	413544	413607	414320	414387	5	"150,311,831,863"	"340,239,316"	"259,217,501,196"	"540,385,294"	275	217	0.203989535	0.579225529	"0.777,0.796,0.823"	"0.791,0.782,0.762"	0.02
6	obscurus2200001	chrChromosome22	-	24319	24402	26628	26700	23841	23978	26809	26871	6	"0,1,0"	"0,4,2"	"9,7,0"	"6,7,0"	221	232	1	1	"NA,0.208,0.0"	"0.612,0.512,NA"	-0.458
7	obscurus0000034	chrContig1	-	1962174	1962351	1965205	1965373	1958519	1958617	1970282	1970399	7	"98,71,115"	"101,52,71"	"138,118,88"	"65,139,57"	298	298	0.71964446	0.970659925	"0.492,0.577,0.618"	"0.68,0.459,0.607"	-0.02
8	obscurus2100913	chrChromosome21	+	23521618	23521845	23527752	23527803	23520000	23520283	23530394	23530595	8	"26,14,16"	"8,8,6"	"19,3,8"	"2,0,2"	298	200	0.008548373	0.099291507	"0.686,0.54,0.642"	"0.864,1.0,0.729"	-0.242
9	obscurus2100622	chrChromosome21	-	16429685	16429810	16429967	16430034	16402951	16403053	16430167	16430356	9	"23,20,24"	"41,85,38"	"16,31,12"	"60,61,22"	216	274	0.889594132	1	"0.416,0.23,0.445"	"0.253,0.392,0.409"	0.012
10	obscurus2100518	chrChromosome21	-	14738884	14739002	14739162	14739296	14738646	14738767	14739383	14739469	10	"652,166,915,687,682"	"594,746,441,690,078"	"732,156,530,423,545"	"621,036,231,320,277"	283	267	0.362683787	0.742443082	"0.508,0.503,0.479"	"0.527,0.497,0.523"	-0.019
11	obscurus2100518	chrChromosome21	-	14739162	14739296	14739383	14739469	14738884	14739002	14740177	14740380	11	"457,804,701,164,284"	"717,417,787,492,877"	"486,374,239,715,090"	"759,636,845,724,930"	235	283	0.672453088	0.946556461	"0.435,0.421,0.455"	"0.435,0.427,0.422"	0.009
12	obscurus2100518	chrChromosome21	-	14743102	14743183	14743693	14743832	14742923	14743009	14744443	14744548	12	"633,026,330,776,629"	"354,773,635,042,455"	"690,695,799,022,059"	"380,783,060,112,415"	288	230	0.731978144	0.971411792	"0.588,0.582,0.59"	"0.592,0.602,0.587"	-0.007
13	obscurus2100518	chrChromosome21	-	14743693	14743832	14744443	14744548	14743102	14743183	14745213	14745296	13	"506,324,942,157,530"	"641,466,594,378,179"	"576,844,284,617,602"	"676,745,636,121,114"	254	288	0.382112231	0.752409928	"0.472,0.459,0.455"	"0.491,0.463,0.486"	-0.018
