ID	GeneID	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	obscurus0000654	chrContig138	+	95403	95577	97998	98045	94922	95113	99886	100201	0	"5,2,7"	"1,3,2"	"8,6,0"	"2,0,6"	298	196	0.843617486	1	"0.767,0.305,0.697"	"0.725,1.0,0.0"	0.015
1	obscurus0000651	chrContig137	+	42469	42640	44849	45023	36300	36474	58832	59010	1	"2,3,2"	"3,1,5"	"9,1,5"	"6,2,2"	298	298	0.384252088	0.659145881	"0.4,0.75,0.286"	"0.6,0.333,0.714"	-0.07
2	obscurus0000626	chrContig118	-	85184	85295	86885	87011	84608	84793	87243	87365	2	"13,1,14"	"1,0,4"	"14,3,16"	"7,0,4"	275	260	0.172108887	0.41188496	"0.925,1.0,0.768"	"0.654,1.0,0.791"	0.083
3	obscurus0000386	chrContig51	-	51365	51536	56046	56220	46614	46785	63379	63553	3	"1,0,0"	"0,1,1"	"5,0,0"	"1,0,2"	298	298	1	1	"1.0,0.0,0.0"	"0.833,NA,0.0"	-0.083
4	obscurus0000340	chrContig40	-	81577	81818	83250	83306	80651	80815	103708	103826	4	"2,0,1"	"7,2,6"	"3,0,1"	"3,1,1"	205	298	0.169371427	0.408347549	"0.293,0.0,0.195"	"0.592,0.0,0.592"	-0.232
5	obscurus0000241	chrContig20	+	276536	276614	281669	281783	276335	276452	282233	282346	5	"1,570,915,814"	"1,396,944,814"	"121,520,852,869"	"117,915,271,722"	227	263	0.018719187	0.093595933	"0.566,0.529,0.537"	"0.544,0.613,0.659"	-0.061
6	obscurus0000241	chrContig20	+	281669	281783	282233	282346	276536	276614	282590	282722	6	"1,545,796,677"	"167,410,101,044"	"110,017,992,187"	"179,921,432,232"	263	262	0.872150938	1	"0.479,0.44,0.392"	"0.379,0.455,0.494"	-0.006
7	obscurus2200391	chrChromosome22	+	9451668	9451835	9452405	9452494	9449561	9449744	9452627	9452803	7	"47,61,33"	"23,28,31"	"68,7,29"	"20,14,6"	298	238	0.645881806	0.883943996	"0.62,0.635,0.46"	"0.731,0.285,0.794"	-0.032
8	obscurus2200381	chrChromosome22	+	9119953	9120054	9120304	9120340	9118762	9118797	9120706	9120758	8	"16,21,11"	"4,5,0"	"17,18,9"	"12,7,1"	250	185	0.090330889	0.265856797	"0.747,0.757,1.0"	"0.512,0.656,0.869"	0.156
9	obscurus2200300	chrChromosome22	+	7270490	7270556	7274589	7274655	7269702	7269741	7276365	7276524	9	"129,123,40"	"20,18,13"	"127,128,125"	"26,12,14"	215	215	0.268149067	0.5254478	"0.866,0.872,0.755"	"0.83,0.914,0.899"	-0.05
