ID	GeneID	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	obscurus0000680	chrContig145	-	61874	62048	77537	77711	59464	59684	78638	78937	0	"6,0,0"	"18,25,11"	"1,0,0"	"12,6,10"	298	298	0.025767769	0.118577344	"0.25,0.0,0.0"	"0.077,0.0,0.0"	0.058
1	obscurus0000654	chrContig138	+	95403	95577	97998	98045	94922	95113	99886	100201	1	"15,0,0"	"1,0,4"	"6,13,4"	"2,1,6"	298	196	1	1	"0.908,NA,0.0"	"0.664,0.895,0.305"	-0.167
2	obscurus0000651	chrContig137	+	28797	28971	36300	36474	27431	27866	42469	42640	2	"1,0,0"	"15,6,3"	"0,0,0"	"3,3,7"	298	298	1	1	"0.062,0.0,0.0"	"0.0,0.0,0.0"	0.021
3	obscurus0000651	chrContig137	+	36300	36474	42469	42640	31929	31987	44849	45023	3	"7,4,3"	"21,16,4"	"6,5,4"	"5,7,13"	298	298	0.264551612	0.512992177	"0.25,0.2,0.429"	"0.545,0.417,0.235"	-0.106
4	obscurus0000651	chrContig137	+	42469	42640	44849	45023	36300	36474	58832	59010	4	"11,4,3"	"13,1,4"	"5,1,5"	"5,6,9"	298	298	0.202529076	0.432505623	"0.458,0.8,0.429"	"0.5,0.143,0.357"	0.229
6	obscurus0000386	chrContig51	-	51365	51536	53753	53924	46614	46785	56046	56220	6	"9,11,1"	"0,4,0"	"6,12,8"	"1,3,0"	298	298	0.642906776	0.833694573	"1.0,0.733,1.0"	"0.857,0.8,1.0"	0.025
7	obscurus0000058	chrContig1	+	3314324	3314552	3314616	3314712	3313727	3313919	3314827	3314956	7	"53,54,55"	"43,17,64"	"71,74,90"	"54,53,83"	298	245	0.604365447	0.796628726	"0.503,0.723,0.414"	"0.519,0.534,0.471"	0.039
8	obscurus2200381	chrChromosome22	+	9119953	9120054	9120304	9120340	9118762	9118797	9120706	9120758	8	"12,11,12"	"5,5,4"	"13,24,28"	"12,11,7"	250	185	0.667980214	0.849371366	"0.64,0.619,0.689"	"0.445,0.618,0.747"	0.046
9	obscurus2200324	chrChromosome22	-	7524581	7524694	7524991	7525026	7523330	7523376	7525973	7526047	9	"82,6,30"	"168,117,121"	"36,63,38"	"75,108,82"	184	262	0.004198193	0.035021763	"0.41,0.068,0.261"	"0.406,0.454,0.398"	-0.173
10	obscurus2200300	chrChromosome22	+	7270490	7270556	7274589	7274655	7269702	7269741	7276365	7276524	10	"0,0,0"	"0,0,2"	"1,0,1"	"1,2,4"	215	215	1	1	"NA,NA,0.0"	"0.5,0.0,0.2"	-0.233
11	obscurus2200216	chrChromosome22	-	4904871	4904948	4915782	4915947	4903074	4903164	4918473	4918714	11	"47,62,46"	"21,3,16"	"33,46,23"	"13,18,4"	298	226	0.388495873	0.632293753	"0.629,0.94,0.686"	"0.658,0.66,0.813"	0.041
12	obscurus2200027	chrChromosome22	-	414122	414248	414550	414689	413837	413905	414789	414912	12	"11,351,781,055"	"11,101,855,698"	"164,025,031,557"	"135,719,071,134"	288	275	0.028428541	0.124453336	"0.494,0.084,0.591"	"0.536,0.556,0.567"	-0.163
13	obscurus2200027	chrChromosome22	-	414320	414387	414789	414912	414122	414248	415689	415769	13	"693,100,891"	"651,605,498"	"119,615,871,142"	"547,835,619"	272	216	0.00441644	0.035883578	"0.458,0.116,0.587"	"0.635,0.601,0.594"	-0.223
14	obscurus2200017	chrChromosome22	-	232457	232575	233845	233977	231679	231867	234085	234199	14	"29,469,012,206"	"29,479,671,895"	"168,111,021,165"	"186,013,201,429"	281	267	0.028217604	0.124453336	"0.487,0.47,0.525"	"0.462,0.442,0.437"	0.047
15	obscurus2200017	chrChromosome22	-	232727	233047	233845	233977	232457	232575	234085	234199	15	"29,469,012,206"	"352,413,292,444"	"167,711,021,165"	"221,614,181,632"	281	298	0.41458378	0.654677234	"0.47,0.418,0.489"	"0.445,0.452,0.431"	0.016
16	obscurus2100980	chrChromosome21	-	25491208	25491447	25492378	25492517	25490857	25491019	25492633	25492771	16	"425,61,508"	"339,34,393"	"702,886,852"	"857,868,745"	288	298	0.007794635	0.051633254	"0.565,0.65,0.572"	"0.459,0.514,0.542"	0.091
17	obscurus2100968	chrChromosome21	-	25254004	25254104	25254604	25254717	25253860	25253917	25256412	25256550	17	"28,9,16"	"2,1,0"	"0,1,2"	"0,5,0"	262	249	1	1	"0.93,0.895,1.0"	"NA,0.16,1.0"	0.362
18	obscurus2100968	chrChromosome21	-	25254604	25254717	25256412	25256550	25254004	25254104	25256703	25256828	18	"15,6,7"	"23,14,5"	"2,11,0"	"0,7,3"	287	262	0.673853692	0.851528359	"0.373,0.281,0.561"	"1.0,0.589,0.0"	-0.125
19	obscurus2100968	chrChromosome21	-	25254604	25254717	25257020	25257165	25254004	25254104	25257446	25257704	19	"49,1,10"	"22,14,5"	"10,19,12"	"0,8,3"	294	262	0.014286715	0.082113301	"0.665,0.06,0.641"	"1.0,0.679,0.781"	-0.365
20	obscurus2100961	chrChromosome21	-	25102291	25102355	25104010	25104106	25102175	25102217	25106058	25106179	20	"36,4,34"	"19,26,10"	"33,62,81"	"30,50,47"	245	213	0.656607932	0.841061459	"0.622,0.118,0.747"	"0.489,0.519,0.6"	-0.04
21	obscurus2100913	chrChromosome21	+	23521618	23521845	23527752	23527803	23520000	23520283	23530394	23530595	21	"47,1,36"	"10,0,4"	"21,35,24"	"10,10,5"	298	200	0.089332775	0.261198892	"0.759,1.0,0.858"	"0.585,0.701,0.763"	0.189
22	obscurus2100883	chrChromosome21	-	22718915	22719059	22727190	22727530	22716412	22716569	22732186	22732618	22	"19,7,5"	"10,0,4"	"6,3,10"	"4,3,12"	298	293	0.084536772	0.255444974	"0.651,1.0,0.551"	"0.596,0.496,0.45"	0.22
23	obscurus2100824	chrChromosome21	+	20726238	20726298	20733803	20733858	20712050	20712145	20734009	20734075	23	"48,11,28"	"39,8,27"	"33,40,15"	"38,44,19"	209	204	0.186143358	0.411017182	"0.546,0.573,0.503"	"0.459,0.47,0.435"	0.086
24	obscurus2100713	chrChromosome21	-	17814160	17814276	17814857	17814967	17813589	17814089	17815035	17815253	24	"595,615,433,991"	"473,632,242,572"	"241,631,993,501"	"186,328,542,867"	259	265	0.365144481	0.609550979	"0.563,0.329,0.614"	"0.57,0.534,0.555"	-0.051
25	obscurus2100622	chrChromosome21	-	16356356	16356429	16357356	16357407	16352349	16352833	16358123	16358172	25	"6,0,2"	"0,3,0"	"3,2,0"	"0,0,0"	200	222	1	1	"1.0,0.0,1.0"	"1.0,1.0,NA"	-0.333
26	obscurus2100013	chrChromosome21	-	1147937	1147999	1149472	1149573	1147330	1147398	1149649	1149744	26	"1,11,3"	"1,5,2"	"13,10,4"	"5,4,0"	250	211	0.429755442	0.666477083	"0.458,0.65,0.559"	"0.687,0.678,1.0"	-0.233
27	obscurus2000958	chrChromosome20	+	27090732	27090781	27091411	27091468	27090137	27090355	27093677	27093866	27	"1,0,1"	"17,0,6"	"0,0,0"	"2,6,3"	198	206	1	1	"0.058,NA,0.148"	"0.0,0.0,0.0"	0.103
28	obscurus2000889	chrChromosome20	+	24907806	24907945	24910585	24910719	24906801	24907149	24915083	24915267	28	"732,305,625"	"587,147,427"	"166,194,76"	"140,165,67"	288	283	0.051233878	0.188279977	"0.551,0.671,0.59"	"0.538,0.536,0.527"	0.07
29	obscurus2000889	chrChromosome20	+	24907806	24907945	24915083	24915267	24906801	24907149	24915795	24916080	29	"716,286,593"	"731,471,623"	"162,193,74"	"228,266,127"	288	298	0.138755896	0.348565537	"0.503,0.386,0.496"	"0.424,0.429,0.376"	0.052
30	obscurus2000844	chrChromosome20	+	23574765	23574814	23597330	23597411	23495810	23495880	23606070	23606137	30	"11,6,8"	"29,12,8"	"30,26,42"	"65,35,97"	198	230	0.974767782	1	"0.306,0.367,0.537"	"0.349,0.463,0.335"	0.021
31	obscurus2000447	chrChromosome20	+	14807704	14807827	14808046	14808119	14807473	14807599	14810017	14810118	31	"601,131,601"	"232,88,207"	"4,737,211,327"	"123,212,453"	272	222	0.019734268	0.102107656	"0.679,0.549,0.703"	"0.758,0.735,0.705"	-0.089
32	obscurus2000444	chrChromosome20	-	14711619	14711697	14716868	14717012	14707479	14707961	14726385	14726490	32	"4,0,2"	"0,0,0"	"0,4,5"	"0,5,0"	293	227	1	1	"1.0,NA,1.0"	"NA,0.383,1.0"	0.308
33	obscurus2000444	chrChromosome20	-	14716868	14717012	14726385	14726490	14711619	14711697	14727536	14727693	33	"0,1,1"	"18,0,0"	"1,2,2"	"0,5,3"	254	293	0.409809945	0.653915579	"0.0,1.0,1.0"	"1.0,0.316,0.435"	0.083
34	obscurus0000054	chrContig1	+	3194136	3194288	3194357	3194516	3193570	3193662	3194597	3194690	34	"65,22,63"	"54,13,60"	"42,25,24"	"56,30,38"	298	298	0.019149575	0.09957779	"0.546,0.629,0.512"	"0.429,0.455,0.387"	0.139
35	obscurus0000054	chrContig1	+	3200049	3200189	3202416	3202605	3199877	3199972	3202693	3202769	35	"57,48,55"	"85,0,67"	"70,37,41"	"62,70,62"	289	298	0.041240075	0.16123939	"0.409,1.0,0.458"	"0.538,0.353,0.405"	0.19
36	obscurus2000222	chrChromosome20	-	11212152	11212236	11214813	11214903	11210998	11211058	11223424	11223509	36	"31,7,38"	"53,1,38"	"1,3,1"	"6,8,8"	239	233	0.001912954	0.01969774	"0.363,0.872,0.494"	"0.14,0.268,0.109"	0.404
37	obscurus2000222	chrChromosome20	-	11214813	11214903	11223424	11223509	11212152	11212236	11227498	11227560	37	"46,49,49"	"22,0,19"	"5,3,11"	"5,5,3"	234	239	0.068429102	0.230311542	"0.681,1.0,0.725"	"0.505,0.38,0.789"	0.244
38	obscurus2000188	chrChromosome20	-	10382098	10382227	10391513	10391747	10373578	10373804	10409478	10409635	38	"43,34,41"	"90,5,52"	"50,23,25"	"64,40,36"	298	278	0.222329688	0.459687626	"0.308,0.864,0.424"	"0.422,0.349,0.393"	0.144
39	obscurus2000146	chrChromosome20	+	8415353	8415913	8417830	8417992	8413540	8414744	8430397	8430619	39	"42,4,24"	"46,1,24"	"16,21,10"	"11,11,8"	298	298	0.406472455	0.652363199	"0.477,0.8,0.5"	"0.593,0.656,0.556"	-0.009
40	obscurus2000094	chrChromosome20	-	4293153	4293203	4299746	4299821	4287012	4287142	4302018	4302164	40	"2,1,0"	"1,0,0"	"1,3,1"	"1,6,0"	224	199	1	1	"0.64,1.0,NA"	"0.47,0.308,1.0"	0.227
41	obscurus2000037	chrChromosome20	-	2386747	2386899	2387399	2387476	2386568	2386675	2387543	2387788	41	"24,1,33"	"38,19,22"	"30,40,14"	"55,58,22"	226	298	0.638142372	0.828549397	"0.454,0.065,0.664"	"0.418,0.476,0.456"	-0.056
42	obscurus1900861	chrChromosome19	-	25090820	25090905	25092376	25092508	25089527	25089633	25095385	25095459	42	"35,4,28"	"17,6,8"	"27,25,30"	"13,10,14"	281	234	0.770250258	0.918647097	"0.632,0.357,0.745"	"0.634,0.676,0.641"	-0.072
43	obscurus1900833	chrChromosome19	-	23148858	23149034	23151862	23152027	23146142	23146308	23152627	23152888	43	"100,23,89"	"88,10,51"	"47,50,40"	"35,41,31"	298	298	0.45487971	0.686391233	"0.532,0.697,0.636"	"0.573,0.549,0.563"	0.06
