ID	GeneID	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	obscurus0000654	chrContig138	+	95403	95577	97998	98045	94922	95113	99886	100201	0	"2,1,2"	"1,1,2"	"6,13,4"	"2,1,6"	298	196	0.34535659	0.529854268	"0.568,0.397,0.397"	"0.664,0.895,0.305"	-0.167
1	obscurus0000651	chrContig137	+	42469	42640	44849	45023	36300	36474	58832	59010	1	"10,8,3"	"2,8,0"	"5,1,5"	"5,6,9"	298	298	0.009223846	0.032330958	"0.833,0.5,1.0"	"0.5,0.143,0.357"	0.444
2	obscurus0000386	chrContig51	-	51365	51536	53753	53924	46614	46785	56046	56220	2	"11,10,3"	"1,1,0"	"6,12,8"	"1,3,0"	298	298	1	1	"0.917,0.909,1.0"	"0.857,0.8,1.0"	0.056
3	obscurus0000235	chrContig20	+	111225	111432	113748	113912	107230	107318	115099	115219	3	"38,41,37"	"19,39,24"	"77,56,59"	"54,59,67"	298	298	0.183466242	0.340617124	"0.667,0.512,0.607"	"0.588,0.487,0.468"	0.081
4	obscurus0000192	chrContig13	+	281607	281781	282174	282348	278609	278783	282650	282963	4	"2,14,9"	"5,3,12"	"3,4,3"	"3,5,8"	298	298	0.289688272	0.47035958	"0.286,0.824,0.429"	"0.5,0.444,0.273"	0.107
5	obscurus0000020	chrContig1	+	1653253	1653387	1654147	1654302	1651079	1651287	1668606	1668750	5	"7,3,11"	"17,11,12"	"2,5,2"	"4,13,12"	283	298	0.229680369	0.401516727	"0.302,0.223,0.491"	"0.345,0.288,0.149"	0.078
6	obscurus2200381	chrChromosome22	+	9119953	9120054	9120304	9120340	9118762	9118797	9120706	9120758	6	"12,14,11"	"3,3,1"	"13,24,28"	"12,11,7"	250	185	0.026472625	0.076167734	"0.747,0.775,0.891"	"0.445,0.618,0.747"	0.201
7	obscurus2200300	chrChromosome22	+	7270490	7270556	7274589	7274655	7269702	7269741	7276365	7276524	7	"0,2,0"	"0,0,2"	"1,0,1"	"1,2,4"	215	215	1	1	"NA,1.0,0.0"	"0.5,0.0,0.2"	0.267
8	obscurus2200272	chrChromosome22	+	6604795	6604966	6605330	6605406	6604461	6604665	6605839	6605957	8	"284,147,477"	"207,161,350"	"222,114,173"	"227,134,186"	298	225	0.037540525	0.101172264	"0.509,0.408,0.507"	"0.425,0.391,0.413"	0.065
9	obscurus2200216	chrChromosome22	-	4904871	4904948	4915782	4915947	4903074	4903164	4918473	4918714	9	"20,41,16"	"6,9,4"	"33,46,23"	"13,18,4"	298	226	0.355995992	0.541656154	"0.717,0.776,0.752"	"0.658,0.66,0.813"	0.038
10	obscurus2200027	chrChromosome22	-	414122	414248	414550	414689	413837	413905	414789	414912	10	"120,815,561,285"	"132,715,601,294"	"164,025,031,557"	"135,719,071,134"	288	275	0.000752112	0.004042053	"0.465,0.488,0.487"	"0.536,0.556,0.567"	-0.073
11	obscurus2200027	chrChromosome22	-	414320	414387	414789	414912	414122	414248	415689	415769	11	"7,091,066,821"	"786,869,664"	"119,615,871,142"	"547,835,619"	272	216	3.13E-09	5.76E-08	"0.417,0.493,0.495"	"0.635,0.601,0.594"	-0.142
12	obscurus2200017	chrChromosome22	-	231679	231867	232727	233047	230962	231403	233845	233977	12	"356,333,433,754"	"331,530,573,483"	"254,816,441,546"	"188,012,621,733"	298	298	0.493336372	0.682012645	"0.518,0.522,0.519"	"0.575,0.566,0.471"	-0.018
13	obscurus2200017	chrChromosome22	-	232727	233047	233845	233977	232457	232575	234085	234199	13	"283,125,162,755"	"298,628,263,038"	"167,711,021,165"	"221,614,181,632"	281	298	0.019732445	0.059456121	"0.501,0.486,0.49"	"0.445,0.452,0.431"	0.05
14	obscurus2200001	chrChromosome22	-	11854	11888	21311	21425	10560	10788	23253	23336	14	"0,1,0"	"0,0,1"	"0,2,0"	"0,0,0"	263	183	1	1	"NA,1.0,0.0"	"NA,1.0,NA"	-0.5
15	obscurus0000034	chrContig1	-	1962174	1962351	1965205	1965373	1958519	1958617	1970282	1970399	15	"55,83,81"	"55,67,75"	"36,38,33"	"26,33,36"	298	298	0.929281459	1	"0.5,0.553,0.519"	"0.581,0.535,0.478"	-0.007
16	obscurus2100968	chrChromosome21	-	25254604	25254717	25256703	25256828	25254004	25254104	25257020	25257165	16	"11,11,8"	"5,14,15"	"4,11,2"	"0,7,3"	274	262	0.218394239	0.38746005	"0.678,0.429,0.338"	"1.0,0.6,0.389"	-0.181
17	obscurus2100824	chrChromosome21	+	20726238	20726298	20733803	20733858	20712050	20712145	20734009	20734075	17	"21,28,14"	"18,25,13"	"33,40,15"	"38,44,19"	209	204	0.291734919	0.471765138	"0.532,0.522,0.512"	"0.459,0.47,0.435"	0.067
18	obscurus2100867	chrChromosome21	+	22312631	22312691	22315916	22316017	22310468	22310705	22319949	22320010	18	"65,80,19"	"133,131,58"	"24,30,58"	"45,52,91"	209	250	0.337687548	0.519990277	"0.369,0.422,0.282"	"0.389,0.408,0.433"	-0.052
19	obscurus2100715	chrChromosome21	-	17864563	17864662	17866724	17866748	17863652	17863751	17867022	17867208	19	"0,2,0"	"8,4,0"	"0,0,0"	"4,0,2"	173	248	1	1	"0.0,0.418,NA"	"0.0,NA,0.0"	0.209
20	obscurus2100713	chrChromosome21	-	17814160	17814276	17814357	17814463	17813589	17814089	17814857	17814967	20	"836,662,265,347"	"411,640,013,670"	"273,739,203,938"	"186,328,542,867"	255	265	0.047174772	0.121210707	"0.679,0.618,0.602"	"0.604,0.588,0.588"	0.04
21	obscurus2100713	chrChromosome21	-	17814160	17814276	17814857	17814967	17813589	17814089	17815035	17815253	21	"557,747,213,652"	"411,740,003,674"	"241,631,993,501"	"186,328,542,867"	259	265	0.674859118	0.840373346	"0.581,0.547,0.504"	"0.57,0.534,0.555"	-0.009
22	obscurus2100713	chrChromosome21	-	17814357	17814463	17814857	17814967	17814160	17814276	17815035	17815253	22	"557,947,213,654"	"640,753,284,960"	"241,631,993,501"	"238,332,933,297"	259	255	0.015680576	0.049520445	"0.462,0.466,0.42"	"0.5,0.489,0.511"	-0.051
